"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part","stimulus","slider_start","value","rndSet","rndV1","rndV2"
"true","false","[]","[]","[]","preload","0","3622","0.0-0.0","2024-05-22T09:51:47.669Z","3_david1","","","","","","","","",""
"","","","","","survey-text","1","17168","0.0-1.0","2024-05-22T09:51:47.669Z","3_david1","13526","{""subject_id"":""3_david1""}","welcome","","","","","",""
"","","","","","html-slider-response","2","43049","0.0-2.0","2024-05-22T09:51:47.669Z","3_david1","25878","1","successBelief","<p>Before we begin, we would like to ask you about your attitude to the experiment.</p>
            <p style=""font-weight: bold;"">How likely do you think it is that you personally will succeed in your precognitive test today?</p>","50","","","",""
"","","","","","html-slider-response","3","68159","0.0-3.0","2024-05-22T09:51:47.669Z","3_david1","25109","98","comfortable","<p style=""font-weight: bold;"">Do you feel comfortable with the Ganzfeld setup?</p>","50","","","",""
"","","","","","html-button-response","4","69902","0.0-4.0","2024-05-22T09:51:47.669Z","3_david1","1740","0","restIntro","<p>Next we would like you to rest in a reclining chair for 3 minutes. Press Continue when you are ready, then make yourself comfortable in the chair, and rest until you hear a beep signaling the end of the three minute interval. Afterwards you can return to this program to proceed.</p>","","","","",""
"","","","","","html-keyboard-response","5","252468","0.0-5.0","2024-05-22T09:51:47.669Z","3_david1","null","null","rest","","","","","",""
"","","","","","call-function","6","252469","0.0-6.0-0.0","2024-05-22T09:51:47.669Z","3_david1","","","","","","","","",""
"","","","","","survey","7","280840","0.0-6.0-1.0","2024-05-22T09:51:47.669Z","3_david1","28273","{""PCIRest1"":6,""PCIRest2"":6,""PCIRest3"":6,""PCIRest4"":6,""PCIRest5"":6,""PCIRest6"":6,""PCIRest7"":6,""PCIRest8"":6,""PCIRest9"":6,""PCIRest10"":6,""PCIRest11"":6,""PCIRest12"":6,""PCIRest13"":6,""PCIIntro"":null}","PCIRest","","","","","",""
"","","","","","call-function","8","280840","0.0-6.0-2.0","2024-05-22T09:51:47.669Z","3_david1","","","","","","","","",""
"","","","","","html-button-response","9","287472","0.0-7.0","2024-05-22T09:51:47.669Z","3_david1","6627","0","GanzfeldIntro","<p>Please tell the experimenter to assist you with the Ganzfeld equipment. The experimenter will click ""Continue"" when you are ready to begin.</p>
            <p>The audio level for the ganzfeld can be adjusted while playing the audio sample below.</p>
            <audio controls>
                <source src=""../audio/pinknoise30.mp3"" type=""audio/mpeg"">
                Your browser does not support the audio element.
            </audio>","","","","",""
"","","","","","audio-keyboard-response","10","664933","0.0-8.0","2024-05-22T09:51:47.669Z","3_david1","null","null","GanzfeldPlayR","../audio/relaxation-for-ganzfeld-CSM.mp3","","","","",""
"","","","","","audio-keyboard-response","11","2464936","0.0-9.0","2024-05-22T09:51:47.669Z","3_david1","null","null","GanzfeldPlay","../audio/pinknoise30.mp3","","","","",""
"","","","","","call-function","12","2464938","0.0-10.0-0.0","2024-05-22T09:51:47.669Z","3_david1","","","","","","","","",""
"","","","","","survey","13","4385350","0.0-10.0-1.0","2024-05-22T09:51:47.669Z","3_david1","1920353","{""PCIGanz1"":0,""PCIGanz2"":1,""PCIGanz3"":2,""PCIGanz4"":3,""PCIGanz5"":4,""PCIGanz6"":5,""PCIGanz7"":6,""PCIGanz8"":5,""PCIGanz9"":4,""PCIGanz10"":3,""PCIGanz11"":2,""PCIGanz12"":1,""PCIGanz13"":0,""PCIIntro"":null}","PCIGanzfeld","","","","","",""
"","","","","","call-function","14","4385351","0.0-10.0-2.0","2024-05-22T09:51:47.669Z","3_david1","","","","","","","","",""
"","","","","","survey","15","4441840","0.0-11.0","2024-05-22T09:51:47.669Z","3_david1","56465","{""DSSQIntro"":null}","DSSQ","","","","","",""
"","","","","","html-slider-response","16","4450546","0.0-12.0","2024-05-22T09:51:47.669Z","3_david1","8705","100","time1","<p><i>Please answer the following two questions about your experiences during the 30 minutes of Ganzfeld.</i></p>
            <p>1. How often did you think about time <b>during the task</b>?</p>","50","","","",""
"","","","","","html-slider-response","17","4494915","0.0-13.0","2024-05-22T09:51:47.669Z","3_david1","44369","0","time2","<p><i>Please answer the following two questions about your experiences during the 30 minutes of Ganzfeld.</i></p>
            <p>2. How fast did time pass for you <b>during the task</b>?</p>","50","","","",""
"","","","","","html-button-response","18","4540351","0.0-14.0","2024-05-22T09:51:47.669Z","3_david1","45435","0","videoIntro","<p>Now we would like you to watch two short videos and rate how similar they are to your Ganzfeld experience.</p><p>Please click ""Continue"" when you are ready.</p>","","","14","0","2"
"true","false","[]","[]","[]","preload","19","4544364","0.0-15.0","2024-05-22T09:51:47.669Z","3_david1","","","","","","","","",""
"","","","","","survey-html-form","20","4698387","0.0-16.0-0.0","2024-05-22T09:51:47.669Z","3_david1","154020","{""ClipA"":""3"",""ClipB"":""86""}","videoRating","","","","","",""
"","","","","","html-button-response","21","4729271","0.0-17.0","2024-05-22T09:51:47.669Z","3_david1","30884","0","videoTargetIntro","<p>We will now select the target video.</p><p>Please watch the selected video a second time.</p>","","","","",""
"","","","","","video-keyboard-response","22","4793302","0.0-18.0","2024-05-22T09:51:47.669Z","3_david1","null","null","videoTarget","[""../video/22 C The paparazzi.mp4""]","","","","",""
