"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part","stimulus","slider_start","value","rndSet","rndV1","rndV2","videoA","videoB"
"true","false","[]","[]","[]","preload","0","8744","0.0-0.0","2024-05-30T18:57:59.167Z","1_rdtfkv","","","","","","","","","","",""
"","","","","","survey-text","1","44629","0.0-1.0","2024-05-30T18:57:59.167Z","1_rdtfkv","35880","{""subject_id"":""1_rdtfkv""}","welcome","","","","","","","",""
"","","","","","html-slider-response","2","57278","0.0-2.0","2024-05-30T18:57:59.167Z","1_rdtfkv","12649","62","successBelief","<p>Innan vi börjar skulle vi vilja fråga dig om din inställning till experimentet.</p>
            <p style=""font-weight: bold;"">Hur sannolikt tror du att det är att du personligen kommer att lyckas med ditt prekognitiva test idag?</p>","50","","","","","",""
"","","","","","html-slider-response","3","61026","0.0-3.0","2024-05-30T18:57:59.167Z","1_rdtfkv","3748","62","comfortable","<p style=""font-weight: bold;"">Känner du dig bekväm med Ganzfeld-miljön?</p>","50","","","","","",""
"","","","","","html-button-response","4","168453","0.0-4.0","2024-05-30T18:57:59.167Z","1_rdtfkv","107425","0","restIntro","<p>Härnäst vill vi att du vilar i en lutande fåtölj i 3 minuter. Tryck på Continue när du är redo, gör dig bekväm i fåtöljen och vila tills du hör ett pip som signalerar slutet på treminutersintervallet. Därefter kan du gå tillbaka till det här programmet för att fortsätta.</p>","","","","","","",""
"","","","","","html-keyboard-response","5","350979","0.0-5.0","2024-05-30T18:57:59.167Z","1_rdtfkv","null","null","rest","","","","","","","",""
"","","","","","call-function","6","350980","0.0-6.0-0.0","2024-05-30T18:57:59.167Z","1_rdtfkv","","","","","","","","","","",""
"","","","","","survey","7","555912","0.0-6.0-1.0","2024-05-30T18:57:59.167Z","1_rdtfkv","204877","{""PCIRest1"":1,""PCIRest2"":0,""PCIRest3"":5,""PCIRest4"":1,""PCIRest5"":6,""PCIRest6"":6,""PCIRest7"":5,""PCIRest8"":2,""PCIRest9"":5,""PCIRest10"":6,""PCIRest11"":1,""PCIRest12"":0,""PCIRest13"":0,""PCIIntro"":null}","PCIRest","","","","","","","",""
"","","","","","call-function","8","555913","0.0-6.0-2.0","2024-05-30T18:57:59.167Z","1_rdtfkv","","","","","","","","","","",""
"","","","","","html-button-response","9","581889","0.0-7.0","2024-05-30T18:57:59.167Z","1_rdtfkv","25974","0","GanzfeldIntro","<p>Säg åt försöksledaren att hjälpa dig med Ganzfeld-utrustningen. Försöksledaren kommer att klicka på Nästa när du är redo att börja.</p>
            <p>Ljudnivån för Ganzfeld kan justeras medan du spelar upp ljud-exemplet nedan.</p>
            <audio controls>
                <source src=""../audio/pinknoise_7min_128.mp3"" type=""audio/mpeg"">
                Your browser does not support the audio element.
            </audio>","","","","","","",""
"","","","","","audio-keyboard-response","10","2381890","0.0-8.0","2024-05-30T18:57:59.167Z","1_rdtfkv","null","null","GanzfeldPlay","../audio/English_Ganzfeld_Induction_v3.mp3","","","","","","",""
"","","","","","call-function","11","2381891","0.0-9.0-0.0","2024-05-30T18:57:59.167Z","1_rdtfkv","","","","","","","","","","",""
"","","","","","survey","12","2714817","0.0-9.0-1.0","2024-05-30T18:57:59.167Z","1_rdtfkv","332889","{""PCIGanz1"":0,""PCIGanz2"":6,""PCIGanz3"":6,""PCIGanz4"":6,""PCIGanz5"":6,""PCIGanz6"":0,""PCIGanz7"":0,""PCIGanz8"":0,""PCIGanz9"":0,""PCIGanz10"":0,""PCIGanz11"":0,""PCIGanz12"":0,""PCIGanz13"":0,""PCIIntro"":null}","PCIGanzfeld","","","","","","","",""
"","","","","","call-function","13","2714817","0.0-9.0-2.0","2024-05-30T18:57:59.167Z","1_rdtfkv","","","","","","","","","","",""
"","","","","","survey","14","2763247","0.0-10.0","2024-05-30T18:57:59.167Z","1_rdtfkv","48412","{""DSSQ"":{""DSSQ01"":1,""DSSQ02"":1,""DSSQ03"":1,""DSSQ04"":1,""DSSQ05"":1,""DSSQ06"":1,""DSSQ07"":1,""DSSQ08"":1},""DSSQIntro"":null}","DSSQ","","","","","","","",""
"","","","","","html-slider-response","15","2768996","0.0-11.0","2024-05-30T18:57:59.167Z","1_rdtfkv","5749","56","time1","<p><i>Vänligen besvara följande två frågor om dina upplevelser under de 30 minuterna av Ganzfeld.</i></p>
            <p>1. Hur ofta tänkte du på tiden <b>under uppgiften</b>?</p>","50","","","","","",""
"","","","","","html-slider-response","16","2770968","0.0-12.0","2024-05-30T18:57:59.167Z","1_rdtfkv","1971","58","time2","<p><i>Vänligen besvara följande två frågor om dina upplevelser under de 30 minuterna av Ganzfeld.</i></p>
            <p>2. Hur snabbt gick tiden för dig <b>under uppgiften</b>?</p>","50","","","","","",""
"","","","","","html-button-response","17","2893281","0.0-13.0","2024-05-30T18:57:59.167Z","1_rdtfkv","122312","0","videoIntro","<p>Nu vill vi att du tittar på två korta videoklipp och bedömer hur lika de är din Ganzfeld-upplevelse.</p>
            <p>Klicka på Nästa när du är klar.</p>","","","8","0","1","../video/16 A Glacier Falling.mp4","../video/16 B Cheetah hunt.mp4"
"true","false","[]","[]","[]","preload","18","2911536","0.0-14.0","2024-05-30T18:57:59.167Z","1_rdtfkv","","","","","","","","","","",""
"","","","","","survey-html-form","19","2950970","0.0-15.0-0.0","2024-05-30T18:57:59.167Z","1_rdtfkv","39432","{""ClipA"":""9"",""ClipB"":""76""}","videoRating","","","","","","","",""
