"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part","stimulus","slider_start","value","rndSet","rndV1","rndV2","videoA","videoB"
"true","false","[]","[]","[]","preload","0","7955","0.0-0.0","2024-06-04T16:51:18.104Z","6_hj7fd5","","","","","","","","","","",""
"","","","","","survey-text","1","23232","0.0-1.0","2024-06-04T16:51:18.104Z","6_hj7fd5","15273","{""subject_id"":""6_hj7fd5""}","welcome","","","","","","","",""
"","","","","","html-slider-response","2","24648","0.0-2.0","2024-06-04T16:51:18.104Z","6_hj7fd5","1415","49","successBelief","<p>Bevor wir beginnen, möchten wir Sie nach Ihrer Einstellung zum Experiment fragen.</p>
            <p style=""font-weight: bold;"">Wie wahrscheinlich halten Sie es, dass Sie persönlich bei Ihrem heutigen präkognitiven Test erfolgreich sein werden?</p>","50","","","","","",""
"","","","","","html-slider-response","3","26223","0.0-3.0","2024-06-04T16:51:18.104Z","6_hj7fd5","1575","51","comfortable","<p style=""font-weight: bold;"">Fühlen Sie sich wohl mit dem Ganzfeld-Setup?</p>","50","","","","","",""
"","","","","","html-button-response","4","26704","0.0-4.0","2024-06-04T16:51:18.104Z","6_hj7fd5","480","0","restIntro","<p>Als nächstes möchten wir Sie bitten, sich für 3 Minuten in einen Liegestuhl zu setzen. Drücken Sie auf ""Weiter"", wenn Sie bereit sind, machen Sie es sich dann im Stuhl bequem und ruhen Sie sich aus, bis Sie ein Signalton am Ende des dreiminütigen Intervalls hören. Danach können Sie zu diesem Programm zurückkehren, um fortzufahren.</p>","","","","","","",""
"","","","","","html-keyboard-response","5","209214","0.0-5.0","2024-06-04T16:51:18.104Z","6_hj7fd5","null","null","rest","","","","","","","",""
"","","","","","call-function","6","209214","0.0-6.0-0.0","2024-06-04T16:51:18.104Z","6_hj7fd5","","","","","","","","","","",""
"","","","","","survey","7","226961","0.0-6.0-1.0","2024-06-04T16:51:18.104Z","6_hj7fd5","17688","{""PCIRest1"":2,""PCIRest2"":3,""PCIRest3"":4,""PCIRest4"":4,""PCIRest5"":3,""PCIRest6"":3,""PCIRest7"":5,""PCIRest8"":3,""PCIRest9"":5,""PCIRest10"":5,""PCIRest11"":5,""PCIRest12"":3,""PCIRest13"":3,""PCIIntro"":null}","PCIRest","","","","","","","",""
"","","","","","call-function","8","226961","0.0-6.0-2.0","2024-06-04T16:51:18.104Z","6_hj7fd5","","","","","","","","","","",""
"","","","","","html-button-response","9","228258","0.0-7.0","2024-06-04T16:51:18.104Z","6_hj7fd5","1289","0","GanzfeldIntro","<p>Bitte sagen Sie dem Versuchsleiter, dass er Ihnen bei der Ganzfeld-Ausrüstung behilflich sein soll. Der Versuchsleiter wird auf ""Weiter"" klicken, wenn Sie bereit sind, um zu beginnen.</p>
            <p>Der Audiopegel für das Ganzfeld kann während der Wiedergabe der unten stehenden Audiodatei angepasst werden.</p>
            <audio controls>
                <source src=""../audio/pinknoise_7min_128.mp3"" type=""audio/mpeg"">
                Your browser does not support the audio element.
            </audio>","","","","","","",""
"","","","","","audio-keyboard-response","10","2035549","0.0-8.0","2024-06-04T16:51:18.104Z","6_hj7fd5","null","null","GanzfeldPlay","../audio/German_Ganzfeld_Induction_v3.mp3","","","","","","",""
"","","","","","call-function","11","2035550","0.0-9.0-0.0","2024-06-04T16:51:18.104Z","6_hj7fd5","","","","","","","","","","",""
"","","","","","survey","12","2491309","0.0-9.0-1.0","2024-06-04T16:51:18.104Z","6_hj7fd5","455707","{""PCIGanz1"":2,""PCIGanz2"":3,""PCIGanz3"":3,""PCIGanz4"":3,""PCIGanz5"":2,""PCIGanz6"":3,""PCIGanz7"":6,""PCIGanz8"":5,""PCIGanz9"":5,""PCIGanz10"":3,""PCIGanz11"":6,""PCIGanz12"":5,""PCIGanz13"":4,""PCIIntro"":null}","PCIGanzfeld","","","","","","","",""
"","","","","","call-function","13","2491310","0.0-9.0-2.0","2024-06-04T16:51:18.104Z","6_hj7fd5","","","","","","","","","","",""
"","","","","","survey","14","2567089","0.0-10.0","2024-06-04T16:51:18.104Z","6_hj7fd5","75767","{""DSSQ"":{""DSSQ01"":2,""DSSQ02"":2,""DSSQ03"":2,""DSSQ04"":2,""DSSQ05"":2,""DSSQ06"":2,""DSSQ07"":3,""DSSQ08"":3},""DSSQIntro"":null}","DSSQ","","","","","","","",""
"","","","","","html-slider-response","15","2570481","0.0-11.0","2024-06-04T16:51:18.104Z","6_hj7fd5","3392","59","time1","<p><i>Bitte beantworten Sie die folgenden beiden Fragen zu Ihren Erfahrungen während der 30 Minuten Ganzfeld.</i></p>
            <p>1. Wie oft haben Sie <b>während der Aufgabe</b> an die Zeit gedacht?</p>","50","","","","","",""
"","","","","","html-slider-response","16","2572199","0.0-12.0","2024-06-04T16:51:18.104Z","6_hj7fd5","1717","62","time2","<p><i>Bitte beantworten Sie die folgenden beiden Fragen zu Ihren Erfahrungen während der 30 Minuten Ganzfeld.</i></p>
            <p>2. Wie schnell verging die Zeit für Sie <b>während der Aufgabe</b>?</p>","50","","","","","",""
"","","","","","html-button-response","17","2574787","0.0-13.0","2024-06-04T16:51:18.104Z","6_hj7fd5","2586","0","videoIntro","<p>Jetzt möchten wir, dass Sie sich zwei kurze Videos ansehen und bewerten, wie ähnlich sie Ihrem Ganzfeld-Erlebnis sind.</p>
            <p>Bitte klicken Sie auf ""Weiter"", wenn Sie bereit sind.</p>","","","0","3","2","../video/1 D City Zoom.mp4","../video/1 C Futuristic Interrogation.mp4"
"true","false","[]","[]","[]","preload","18","2576717","0.0-14.0","2024-06-04T16:51:18.104Z","6_hj7fd5","","","","","","","","","","",""
"","","","","","survey-html-form","19","2597266","0.0-15.0-0.0","2024-06-04T16:51:18.104Z","6_hj7fd5","20541","{""ClipA"":""43"",""ClipB"":""77""}","videoRating","","","","","","","",""
