"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part","stimulus","slider_start","value","rndSet","rndV1","rndV2","videoA","videoB"
"true","false","[]","[]","[]","preload","0","6047","0.0-0.0","2024-06-12T10:44:27.561Z","1_mtbswk","","","","","","","","","","",""
"","","","","","survey-text","1","102224","0.0-1.0","2024-06-12T10:44:27.561Z","1_mtbswk","96142","{""subject_id"":""1_mtbswk""}","welcome","","","","","","","",""
"","","","","","html-slider-response","2","104943","0.0-2.0","2024-06-12T10:44:27.561Z","1_mtbswk","2716","54","successBelief","<p>Innan vi börjar skulle vi vilja fråga dig om din inställning till experimentet.</p>
            <p style=""font-weight: bold;"">Hur sannolikt tror du att det är att du personligen kommer att lyckas med ditt prekognitiva test idag?</p>","50","","","","","",""
"","","","","","html-slider-response","3","106446","0.0-3.0","2024-06-12T10:44:27.561Z","1_mtbswk","1503","57","comfortable","<p style=""font-weight: bold;"">Känner du dig bekväm med Ganzfeld-miljön?</p>","50","","","","","",""
"","","","","","html-button-response","4","139935","0.0-4.0","2024-06-12T10:44:27.561Z","1_mtbswk","33487","0","restIntro","<p>Härnäst vill vi att du vilar i en lutande fåtölj i 3 minuter. Tryck på Continue när du är redo, gör dig bekväm i fåtöljen och vila tills du hör ett pip som signalerar slutet på treminutersintervallet. Därefter kan du gå tillbaka till det här programmet för att fortsätta.</p>","","","","","","",""
"","","","","","html-keyboard-response","5","322508","0.0-5.0","2024-06-12T10:44:27.561Z","1_mtbswk","null","null","rest","","","","","","","",""
"","","","","","call-function","6","322510","0.0-6.0-0.0","2024-06-12T10:44:27.561Z","1_mtbswk","","","","","","","","","","",""
"","","","","","survey","7","346217","0.0-6.0-1.0","2024-06-12T10:44:27.561Z","1_mtbswk","23532","{""PCIRest1"":6,""PCIRest2"":6,""PCIRest3"":6,""PCIRest4"":6,""PCIRest5"":6,""PCIRest6"":6,""PCIRest7"":6,""PCIRest8"":6,""PCIRest9"":6,""PCIRest10"":6,""PCIRest11"":6,""PCIRest12"":6,""PCIRest13"":6,""PCIIntro"":null}","PCIRest","","","","","","","",""
"","","","","","call-function","8","346218","0.0-6.0-2.0","2024-06-12T10:44:27.561Z","1_mtbswk","","","","","","","","","","",""
"","","","","","html-button-response","9","373556","0.0-7.0","2024-06-12T10:44:27.561Z","1_mtbswk","27332","0","GanzfeldIntro","<p>Säg åt försöksledaren att hjälpa dig med Ganzfeld-utrustningen. Försöksledaren kommer att klicka på Nästa när du är redo att börja.</p>
            <p>Ljudnivån för Ganzfeld kan justeras medan du spelar upp ljud-exemplet nedan.</p>
            <audio controls>
                <source src=""../audio/pinknoise_7min_128.mp3"" type=""audio/mpeg"">
                Your browser does not support the audio element.
            </audio>","","","","","","",""
"","","","","","audio-keyboard-response","10","2173571","0.0-8.0","2024-06-12T10:44:27.561Z","1_mtbswk","null","null","GanzfeldPlay","../audio/English_Ganzfeld_Induction_v3.mp3","","","","","","",""
"","","","","","call-function","11","2173573","0.0-9.0-0.0","2024-06-12T10:44:27.561Z","1_mtbswk","","","","","","","","","","",""
"","","","","","survey","12","2434616","0.0-9.0-1.0","2024-06-12T10:44:27.561Z","1_mtbswk","260969","{""PCIGanz1"":6,""PCIGanz2"":6,""PCIGanz3"":6,""PCIGanz4"":6,""PCIGanz5"":6,""PCIGanz6"":6,""PCIGanz7"":6,""PCIGanz8"":6,""PCIGanz9"":6,""PCIGanz10"":6,""PCIGanz11"":6,""PCIGanz12"":6,""PCIGanz13"":6,""PCIIntro"":null}","PCIGanzfeld","","","","","","","",""
"","","","","","call-function","13","2434617","0.0-9.0-2.0","2024-06-12T10:44:27.561Z","1_mtbswk","","","","","","","","","","",""
"","","","","","survey","14","2451987","0.0-10.0","2024-06-12T10:44:27.561Z","1_mtbswk","17349","{""DSSQ"":{""DSSQ01"":1,""DSSQ02"":1,""DSSQ03"":1,""DSSQ04"":1,""DSSQ05"":1,""DSSQ06"":1,""DSSQ07"":1,""DSSQ08"":1},""DSSQIntro"":null}","DSSQ","","","","","","","",""
"","","","","","html-slider-response","15","2454373","0.0-11.0","2024-06-12T10:44:27.561Z","1_mtbswk","2384","57","time1","<p><i>Vänligen besvara följande två frågor om dina upplevelser under de 30 minuterna av Ganzfeld.</i></p>
            <p>1. Hur ofta tänkte du på tiden <b>under uppgiften</b>?</p>","50","","","","","",""
"","","","","","html-slider-response","16","2457181","0.0-12.0","2024-06-12T10:44:27.561Z","1_mtbswk","2806","55","time2","<p><i>Vänligen besvara följande två frågor om dina upplevelser under de 30 minuterna av Ganzfeld.</i></p>
            <p>2. Hur snabbt gick tiden för dig <b>under uppgiften</b>?</p>","50","","","","","",""
"","","","","","html-button-response","17","2460525","0.0-13.0","2024-06-12T10:44:27.561Z","1_mtbswk","3342","0","videoIntro","<p>Nu vill vi att du tittar på två korta videoklipp och bedömer hur lika de är din Ganzfeld-upplevelse.</p>
            <p>Klicka på Nästa när du är klar.</p>","","","10","2","3","../video/18 C Mountian Crash.mp4","../video/18 D Painted Villa.mp4"
"true","false","[]","[]","[]","preload","18","2467073","0.0-14.0","2024-06-12T10:44:27.561Z","1_mtbswk","","","","","","","","","","",""
"","","","","","survey-html-form","19","2511862","0.0-15.0-0.0","2024-06-12T10:44:27.561Z","1_mtbswk","44786","{""ClipA"":""58"",""ClipB"":""46""}","videoRating","","","","","","","",""
"","","","","","html-button-response","20","2513837","0.0-16.0","2024-06-12T10:44:27.561Z","1_mtbswk","1974","0","videoTargetIntro","<p>Vi kommer nu att visa det klipp som är måltavlan.</p><p>Vänligen titta noggrant på hela klippet en andra gång.</p>","","","","","","",""
"","","","","","video-keyboard-response","21","2519040","0.0-17.0","2024-06-12T10:44:27.561Z","1_mtbswk","null","null","videoTarget","[""../video/18 C Mountian Crash.mp4""]","","","","","","",""
