"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part","stimulus","slider_start","value","rndSet","rndV1","rndV2","videoA","videoB"
"true","false","[]","[]","[]","preload","0","10669","0.0-0.0","2024-06-15T15:29:25.172Z","6_123123","","","","","","","","","","",""
"","","","","","survey-text","1","17595","0.0-1.0","2024-06-15T15:29:25.172Z","6_123123","6922","{""subject_id"":""6_123123""}","welcome","","","","","","","",""
"","","","","","html-slider-response","2","19588","0.0-2.0","2024-06-15T15:29:25.172Z","6_123123","1992","50","successBelief","<p>Bevor wir beginnen, möchten wir Sie nach Ihrer Einstellung zum Experiment fragen.</p>
            <p style=""font-weight: bold;"">Wie wahrscheinlich halten Sie es, dass Sie persönlich bei Ihrem heutigen präkognitiven Test erfolgreich sein werden?</p>","50","","","","","",""
"","","","","","html-slider-response","3","20723","0.0-3.0","2024-06-15T15:29:25.172Z","6_123123","1133","49","comfortable","<p style=""font-weight: bold;"">Fühlen Sie sich wohl mit dem Ganzfeld-Setup?</p>","50","","","","","",""
"","","","","","html-button-response","4","21384","0.0-4.0","2024-06-15T15:29:25.172Z","6_123123","661","0","restIntro","<p>Als nächstes möchten wir Sie bitten, sich für 3 Minuten in einen Liegestuhl zu setzen. Drücken Sie auf ""Weiter"", wenn Sie bereit sind, machen Sie es sich dann im Stuhl bequem und ruhen Sie sich aus, bis Sie ein Signalton am Ende des dreiminütigen Intervalls hören. Danach können Sie zu diesem Programm zurückkehren, um fortzufahren.</p>","","","","","","",""
"","","","","","html-keyboard-response","5","203890","0.0-5.0","2024-06-15T15:29:25.172Z","6_123123","null","null","rest","","","","","","","",""
"","","","","","call-function","6","203890","0.0-6.0-0.0","2024-06-15T15:29:25.172Z","6_123123","","","","","","","","","","",""
"","","","","","survey","7","683991","0.0-6.0-1.0","2024-06-15T15:29:25.172Z","6_123123","480063","{""PCIRest1"":1,""PCIRest2"":1,""PCIRest3"":1,""PCIRest4"":2,""PCIRest5"":6,""PCIRest6"":1,""PCIRest7"":3,""PCIRest8"":1,""PCIRest9"":4,""PCIRest10"":2,""PCIRest11"":5,""PCIRest12"":2,""PCIRest13"":6,""PCIIntro"":null}","PCIRest","","","","","","","",""
"","","","","","call-function","8","683992","0.0-6.0-2.0","2024-06-15T15:29:25.172Z","6_123123","","","","","","","","","","",""
"","","","","","html-button-response","9","685387","0.0-7.0","2024-06-15T15:29:25.172Z","6_123123","1386","0","GanzfeldIntro","<p>Bitte sagen Sie dem Versuchsleiter, dass er Ihnen bei der Ganzfeld-Ausrüstung behilflich sein soll. Der Versuchsleiter wird auf ""Weiter"" klicken, wenn Sie bereit sind, um zu beginnen.</p>
            <p>Der Audiopegel für das Ganzfeld kann während der Wiedergabe der unten stehenden Audiodatei angepasst werden.</p>
            <audio controls>
                <source src=""../audio/pinknoise_7min_128.mp3"" type=""audio/mpeg"">
                Your browser does not support the audio element.
            </audio>","","","","","","",""
"","","","","","audio-keyboard-response","10","2485390","0.0-8.0","2024-06-15T15:29:25.172Z","6_123123","null","null","GanzfeldPlay","../audio/German_Ganzfeld_Induction_v3.mp3","","","","","","",""
"","","","","","call-function","11","2485390","0.0-9.0-0.0","2024-06-15T15:29:25.172Z","6_123123","","","","","","","","","","",""
"","","","","","survey","12","2527524","0.0-9.0-1.0","2024-06-15T15:29:25.172Z","6_123123","42101","{""PCIGanz9"":2,""PCIGanz1"":3,""PCIGanz2"":4,""PCIGanz3"":6,""PCIGanz4"":5,""PCIGanz5"":2,""PCIGanz6"":2,""PCIGanz7"":2,""PCIGanz8"":5,""PCIGanz10"":4,""PCIGanz11"":4,""PCIGanz12"":4,""PCIGanz13"":1,""PCIIntro"":null}","PCIGanzfeld","","","","","","","",""
"","","","","","call-function","13","2527525","0.0-9.0-2.0","2024-06-15T15:29:25.172Z","6_123123","","","","","","","","","","",""
"","","","","","survey","14","2538024","0.0-10.0","2024-06-15T15:29:25.172Z","6_123123","10488","{""DSSQ"":{""DSSQ01"":1,""DSSQ02"":1,""DSSQ03"":1,""DSSQ04"":1,""DSSQ05"":1,""DSSQ06"":1,""DSSQ07"":1,""DSSQ08"":1},""DSSQIntro"":null}","DSSQ","","","","","","","",""
"","","","","","html-slider-response","15","2541491","0.0-11.0","2024-06-15T15:29:25.172Z","6_123123","3467","50","time1","<p><i>Bitte beantworten Sie die folgenden beiden Fragen zu Ihren Erfahrungen während der 30 Minuten Ganzfeld.</i></p>
            <p>1. Wie oft haben Sie <b>während der Aufgabe</b> an die Zeit gedacht?</p>","50","","","","","",""
"","","","","","html-slider-response","16","2543214","0.0-12.0","2024-06-15T15:29:25.172Z","6_123123","1722","51","time2","<p><i>Bitte beantworten Sie die folgenden beiden Fragen zu Ihren Erfahrungen während der 30 Minuten Ganzfeld.</i></p>
            <p>2. Wie schnell verging die Zeit für Sie <b>während der Aufgabe</b>?</p>","50","","","","","",""
"","","","","","html-button-response","17","2583403","0.0-13.0","2024-06-15T15:29:25.172Z","6_123123","40187","0","videoIntro","<p>Jetzt möchten wir, dass Sie sich zwei kurze Videos ansehen und bewerten, wie ähnlich sie Ihrem Ganzfeld-Erlebnis sind.</p>
            <p>Bitte klicken Sie auf ""Weiter"", wenn Sie bereit sind.</p>","","","7","3","2","../video/15 D Mushroom Taking.mp4","../video/15 C Falling Frogs.mp4"
"true","false","[]","[]","[]","preload","18","2587017","0.0-14.0","2024-06-15T15:29:25.172Z","6_123123","","","","","","","","","","",""
"","","","","","survey-html-form","19","2630574","0.0-15.0-0.0","2024-06-15T15:29:25.172Z","6_123123","43551","{""ClipA"":""60"",""ClipB"":""60""}","videoRating","","","","","","","",""
"","","","","","survey-html-form","20","2652426","0.0-15.1-0.1","2024-06-15T15:29:25.172Z","6_123123","18588","{""ClipA"":""4"",""ClipB"":""98""}","videoRating","","","","","","","",""
