"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part","stimulus","slider_start","value","rndSet","rndV1","rndV2","videoA","videoB","videoStimulus"
"true","false","[]","[]","[]","preload","0","30727","0.0-0.0","2024-07-01T14:41:34.346Z","6_mtbswk","","","","","","","","","","","",""
"","","","","","survey","1","36500","0.0-1.0","2024-07-01T14:41:34.346Z","6_mtbswk","5541","{""testrun"":""Pilot (Testlauf)""}","testrun","","","","","","","","",""
"","","","","","survey-text","2","42124","0.0-2.0","2024-07-01T14:41:34.346Z","6_mtbswk","5585","{""subject_id"":""6_mtbswk""}","welcome","","","","","","","","",""
"","","","","","html-slider-response","3","81340","0.0-3.0","2024-07-01T14:41:34.346Z","6_mtbswk","39198","1","successBelief","<p>Bevor wir beginnen, möchten wir Sie nach Ihrer Einstellung zum Experiment fragen.</p>
            <p style=""font-weight: bold;"">Wie wahrscheinlich halten Sie es, dass Sie persönlich bei Ihrem heutigen präkognitiven Test erfolgreich sein werden?</p>","50","","","","","","",""
"","","","","","html-slider-response","4","92360","0.0-4.0","2024-07-01T14:41:34.346Z","6_mtbswk","11018","99","comfortable","<p style=""font-weight: bold;"">Fühlen Sie sich wohl mit dem Ganzfeld-Setup?</p>","50","","","","","","",""
"","","","","","html-button-response","5","93727","0.0-5.0","2024-07-01T14:41:34.346Z","6_mtbswk","1364","0","restIntro","<p>Als nächstes möchten wir Sie bitten, sich für 3 Minuten in einen Liegestuhl zu setzen. Drücken Sie auf ""Weiter"", wenn Sie bereit sind, machen Sie es sich dann im Stuhl bequem und ruhen Sie sich aus, bis Sie ein Signalton am Ende des dreiminütigen Intervalls hören. Danach können Sie zu diesem Programm zurückkehren, um fortzufahren.</p>","","","","","","","",""
"","","","","","html-keyboard-response","6","276371","0.0-6.0","2024-07-01T14:41:34.346Z","6_mtbswk","null","null","rest","","","","","","","","",""
"","","","","","call-function","7","276372","0.0-7.0-0.0","2024-07-01T14:41:34.346Z","6_mtbswk","","","","","","","","","","","",""
"","","","","","survey","8","1413904","0.0-7.0-1.0","2024-07-01T14:41:34.346Z","6_mtbswk","1137393","{""PCIRest1"":0,""PCIRest2"":1,""PCIRest3"":2,""PCIRest4"":3,""PCIRest5"":4,""PCIRest6"":5,""PCIRest7"":6,""PCIRest8"":0,""PCIRest9"":1,""PCIRest10"":2,""PCIRest11"":3,""PCIRest12"":4,""PCIRest13"":5,""PCIIntro"":null}","PCIRest","","","","","","","","",""
"","","","","","call-function","9","1413906","0.0-7.0-2.0","2024-07-01T14:41:34.346Z","6_mtbswk","","","","","","","","","","","",""
"","","","","","html-button-response","10","1416923","0.0-8.0","2024-07-01T14:41:34.346Z","6_mtbswk","2982","0","GanzfeldIntro","<p>Bitte sagen Sie dem Versuchsleiter, dass er Ihnen bei der Ganzfeld-Ausrüstung behilflich sein soll. Der Versuchsleiter wird auf ""Weiter"" klicken, wenn Sie bereit sind, um zu beginnen.</p>
            <p>Der Audiopegel für das Ganzfeld kann während der Wiedergabe der unten stehenden Audiodatei angepasst werden.</p>
            <audio controls>
                <source src=""../audio/pinknoise_7min_128.mp3"" type=""audio/mpeg"">
                Your browser does not support the audio element.
            </audio>","","","","","","","",""
"","","","","","audio-keyboard-response","11","3216931","0.0-9.0","2024-07-01T14:41:34.346Z","6_mtbswk","null","null","GanzfeldPlay","../audio/German_Ganzfeld_Induction_v3.mp3","","","","","","","",""
"","","","","","call-function","12","3216936","0.0-10.0-0.0","2024-07-01T14:41:34.346Z","6_mtbswk","","","","","","","","","","","",""
"","","","","","survey","13","3244322","0.0-10.0-1.0","2024-07-01T14:41:34.346Z","6_mtbswk","27237","{""PCIGanz1"":5,""PCIGanz2"":6,""PCIGanz3"":5,""PCIGanz4"":6,""PCIGanz5"":5,""PCIGanz6"":6,""PCIGanz7"":5,""PCIGanz8"":6,""PCIGanz9"":5,""PCIGanz10"":6,""PCIGanz11"":5,""PCIGanz12"":6,""PCIGanz13"":5,""PCIIntro"":null}","PCIGanzfeld","","","","","","","","",""
"","","","","","call-function","14","3244324","0.0-10.0-2.0","2024-07-01T14:41:34.346Z","6_mtbswk","","","","","","","","","","","",""
"","","","","","survey","15","3260154","0.0-11.0","2024-07-01T14:41:34.346Z","6_mtbswk","15784","{""DSSQ"":{""DSSQ01"":3,""DSSQ02"":3,""DSSQ03"":3,""DSSQ04"":3,""DSSQ05"":3,""DSSQ06"":3,""DSSQ07"":3,""DSSQ08"":3},""DSSQIntro"":null}","DSSQ","","","","","","","","",""
"","","","","","html-slider-response","16","3267130","0.0-12.0","2024-07-01T14:41:34.346Z","6_mtbswk","6973","98","time1","<p><i>Bitte beantworten Sie die folgenden beiden Fragen zu Ihren Erfahrungen während der 30 Minuten Ganzfeld.</i></p>
            <p>1. Wie oft haben Sie <b>während der Aufgabe</b> an die Zeit gedacht?</p>","50","","","","","","",""
"","","","","","html-slider-response","17","3272478","0.0-13.0","2024-07-01T14:41:34.346Z","6_mtbswk","5347","2","time2","<p><i>Bitte beantworten Sie die folgenden beiden Fragen zu Ihren Erfahrungen während der 30 Minuten Ganzfeld.</i></p>
            <p>2. Wie schnell verging die Zeit für Sie <b>während der Aufgabe</b>?</p>","50","","","","","","",""
"","","","","","html-button-response","18","3273595","0.0-14.0","2024-07-01T14:41:34.346Z","6_mtbswk","1114","0","videoIntro","<p>Jetzt möchten wir, dass Sie sich zwei kurze Videos ansehen und bewerten, wie ähnlich sie Ihrem Ganzfeld-Erlebnis sind.</p>
            <p>Bitte klicken Sie auf ""Weiter"", wenn Sie bereit sind.</p>","","","19","0","2","../video/27 A Meeting BeetleJuice.mp4","../video/27 C Steam Engine.mp4",""
"true","false","[]","[]","[]","preload","19","3310067","0.0-15.0","2024-07-01T14:41:34.346Z","6_mtbswk","","","","","","","","","","","",""
"","","","","","survey-html-form","20","3472708","0.0-16.0-0.0","2024-07-01T14:41:34.346Z","6_mtbswk","162636","{""ClipA"":""35"",""ClipB"":""75""}","videoRating","","","","","","","","",""
"","","","","","html-button-response","21","3474246","0.0-17.0","2024-07-01T14:41:34.346Z","6_mtbswk","1535","0","videoTargetIntro","<p>Wir werden jetzt das Zielvideo auswählen.</p><p>Bitte sehen Sie sich das ausgewählte Video ein zweites Mal an.</p>","","","","","","","","[""../video/27 C Steam Engine.mp4""]"
