"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part","stimulus","slider_start","value","rndSet","rndV1","rndV2","videoA","videoB","videoStimulus"
"true","false","[]","[]","[]","preload","0","6467","0.0-0.0","2024-07-11T12:28:59.844Z","5_fcxgdv","","","","","","","","","","","",""
"","","","","","survey","1","8118","0.0-1.0","2024-07-11T12:28:59.844Z","5_fcxgdv","1627","{""testrun"":""Experiment""}","testrun","","","","","","","","",""
"","","","","","survey-text","2","137048","0.0-2.0","2024-07-11T12:28:59.844Z","5_fcxgdv","128924","{""subject_id"":""5_fcxgdv""}","welcome","","","","","","","","",""
"","","","","","html-slider-response","3","146295","0.0-3.0","2024-07-11T12:28:59.844Z","5_fcxgdv","9245","19","successBelief","<p>Bevor wir beginnen, möchten wir Sie nach Ihrer Einstellung zum Experiment fragen.</p>
            <p style=""font-weight: bold;"">Wie wahrscheinlich halten Sie es, dass Sie persönlich bei Ihrem heutigen präkognitiven Test erfolgreich sein werden?</p>","50","","","","","","",""
"","","","","","html-slider-response","4","149184","0.0-4.0","2024-07-11T12:28:59.844Z","5_fcxgdv","2888","100","comfortable","<p style=""font-weight: bold;"">Fühlen Sie sich wohl mit dem Ganzfeld-Setup?</p>","50","","","","","","",""
"","","","","","html-button-response","5","189832","0.0-5.0","2024-07-11T12:28:59.844Z","5_fcxgdv","40647","0","restIntro","<p>Als nächstes möchten wir Sie bitten, sich für 3 Minuten auf einen bequemen Stuhl zu setzen. Drücken Sie auf ""Weiter"", wenn Sie bereit sind, machen Sie es sich dann im Stuhl bequem und ruhen Sie sich aus, bis Sie ein Signalton am Ende des dreiminütigen Intervalls hören. Danach können Sie zu diesem Programm zurückkehren, um fortzufahren.</p>","","","","","","","",""
"","","","","","html-keyboard-response","6","372350","0.0-6.0","2024-07-11T12:28:59.844Z","5_fcxgdv","null","null","rest","","","","","","","","",""
"","","","","","call-function","7","372351","0.0-7.0-0.0","2024-07-11T12:28:59.844Z","5_fcxgdv","","","","","","","","","","","",""
"","","","","","survey","8","470734","0.0-7.0-1.0","2024-07-11T12:28:59.844Z","5_fcxgdv","98344","{""PCIRest1"":5,""PCIRest2"":0,""PCIRest3"":3,""PCIRest4"":6,""PCIRest5"":1,""PCIRest6"":6,""PCIRest7"":6,""PCIRest8"":1,""PCIRest9"":1,""PCIRest10"":5,""PCIRest11"":0,""PCIRest12"":2,""PCIRest13"":1,""PCIIntro"":null}","PCIRest","","","","","","","","",""
"","","","","","call-function","9","470735","0.0-7.0-2.0","2024-07-11T12:28:59.844Z","5_fcxgdv","","","","","","","","","","","",""
"","","","","","html-button-response","10","824928","0.0-8.0","2024-07-11T12:28:59.844Z","5_fcxgdv","354191","0","GanzfeldIntro","<p>Bitte sagen Sie dem Versuchsleiter, dass er Ihnen bei der Ganzfeld-Ausrüstung behilflich sein soll. Der Versuchsleiter wird auf ""Weiter"" klicken, wenn Sie bereit sind, um zu beginnen.</p>
            <p>Der Audiopegel für das Ganzfeld kann während der Wiedergabe der unten stehenden Audiodatei angepasst werden.</p>
            <audio controls>
                <source src=""../audio/pinknoise_7min_128.mp3"" type=""audio/mpeg"">
                Your browser does not support the audio element.
            </audio>","","","","","","","",""
"","","","","","audio-keyboard-response","11","2624933","0.0-9.0","2024-07-11T12:28:59.844Z","5_fcxgdv","null","null","GanzfeldPlay","../audio/German_Ganzfeld_Induction_v3.mp3","","","","","","","",""
"","","","","","call-function","12","2624934","0.0-10.0-0.0","2024-07-11T12:28:59.844Z","5_fcxgdv","","","","","","","","","","","",""
"","","","","","survey","13","2962065","0.0-10.0-1.0","2024-07-11T12:28:59.844Z","5_fcxgdv","337098","{""PCIGanz1"":5,""PCIGanz2"":0,""PCIGanz3"":5,""PCIGanz4"":6,""PCIGanz5"":2,""PCIGanz6"":6,""PCIGanz7"":5,""PCIGanz8"":0,""PCIGanz9"":0,""PCIGanz10"":3,""PCIGanz11"":0,""PCIGanz12"":2,""PCIGanz13"":1,""PCIIntro"":null}","PCIGanzfeld","","","","","","","","",""
"","","","","","call-function","14","2962065","0.0-10.0-2.0","2024-07-11T12:28:59.844Z","5_fcxgdv","","","","","","","","","","","",""
"","","","","","survey","15","3019011","0.0-11.0","2024-07-11T12:28:59.844Z","5_fcxgdv","56932","{""DSSQ"":{""DSSQ01"":1,""DSSQ02"":2,""DSSQ03"":1,""DSSQ04"":1,""DSSQ06"":2,""DSSQ07"":1,""DSSQ08"":4,""DSSQ05"":5},""DSSQIntro"":null}","DSSQ","","","","","","","","",""
"","","","","","html-slider-response","16","3024527","0.0-12.0","2024-07-11T12:28:59.844Z","5_fcxgdv","5515","24","time1","<p><i>Bitte beantworten Sie die folgenden beiden Fragen zu Ihren Erfahrungen während der 30 Minuten Ganzfeld.</i></p>
            <p>1. Wie oft haben Sie <b>während der Aufgabe</b> an die Zeit gedacht?</p>","50","","","","","","",""
"","","","","","html-slider-response","17","3028622","0.0-13.0","2024-07-11T12:28:59.844Z","5_fcxgdv","4095","68","time2","<p><i>Bitte beantworten Sie die folgenden beiden Fragen zu Ihren Erfahrungen während der 30 Minuten Ganzfeld.</i></p>
            <p>2. Wie schnell verging die Zeit für Sie <b>während der Aufgabe</b>?</p>","50","","","","","","",""
"","","","","","html-button-response","18","3030662","0.0-14.0","2024-07-11T12:28:59.844Z","5_fcxgdv","2039","0","videoIntro","<p>Jetzt möchten wir, dass Sie sich zwei kurze Videos ansehen und bewerten, wie ähnlich sie Ihrem Ganzfeld-Erlebnis sind.</p>
            <p>Bitte klicken Sie auf ""Weiter"", wenn Sie bereit sind.</p>","","","9","3","0","../video/17 D Whirling dervish.mp4","../video/17 A Shoal of Fish.mp4",""
"true","false","[]","[]","[]","preload","19","3040595","0.0-15.0","2024-07-11T12:28:59.844Z","5_fcxgdv","","","","","","","","","","","",""
"","","","","","survey-html-form","20","3194503","0.0-16.0-0.0","2024-07-11T12:28:59.844Z","5_fcxgdv","153906","{""ClipA"":""5"",""ClipB"":""80""}","videoRating","","","","","","","","",""
"","","","","","html-button-response","21","3197143","0.0-17.0","2024-07-11T12:28:59.844Z","5_fcxgdv","2638","0","videoTargetIntro","<p>Wir werden jetzt das Zielvideo auswählen.</p><p>Bitte sehen Sie sich das ausgewählte Video ein zweites Mal an.</p>","","","","","","","","[""../video/17 A Shoal of Fish.mp4""]"
