"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part","stimulus","slider_start","value","rndSet","rndV1","rndV2","videoA","videoB","videoStimulus"
"true","false","[]","[]","[]","preload","0","5937","0.0-0.0","2024-07-25T07:50:33.761Z","5_5bh0oh","","","","","","","","","","","",""
"","","","","","survey","1","8182","0.0-1.0","2024-07-25T07:50:33.761Z","5_5bh0oh","2221","{""testrun"":""Experiment""}","testrun","","","","","","","","",""
"","","","","","survey-text","2","385335","0.0-2.0","2024-07-25T07:50:33.761Z","5_5bh0oh","377145","{""subject_id"":""5_5bh0oh""}","welcome","","","","","","","","",""
"","","","","","html-slider-response","3","403512","0.0-3.0","2024-07-25T07:50:33.761Z","5_5bh0oh","18175","67","successBelief","<p>Bevor wir beginnen, möchten wir Sie nach Ihrer Einstellung zum Experiment fragen.</p>
            <p style=""font-weight: bold;"">Wie wahrscheinlich halten Sie es, dass Sie persönlich bei Ihrem heutigen präkognitiven Test erfolgreich sein werden?</p>","50","","","","","","",""
"","","","","","html-slider-response","4","406759","0.0-4.0","2024-07-25T07:50:33.761Z","5_5bh0oh","3247","100","comfortable","<p style=""font-weight: bold;"">Fühlen Sie sich wohl mit dem Ganzfeld-Setup?</p>","50","","","","","","",""
"","","","","","html-button-response","5","418119","0.0-5.0","2024-07-25T07:50:33.761Z","5_5bh0oh","11359","0","restIntro","<p>Als nächstes möchten wir Sie bitten, sich für 3 Minuten auf einen bequemen Stuhl zu setzen. Drücken Sie auf ""Weiter"", wenn Sie bereit sind, machen Sie es sich dann im Stuhl bequem und ruhen Sie sich aus, bis Sie ein Signalton am Ende des dreiminütigen Intervalls hören. Danach können Sie zu diesem Programm zurückkehren, um fortzufahren.</p>","","","","","","","",""
"","","","","","html-keyboard-response","6","600686","0.0-6.0","2024-07-25T07:50:33.761Z","5_5bh0oh","null","null","rest","","","","","","","","",""
"","","","","","call-function","7","600687","0.0-7.0-0.0","2024-07-25T07:50:33.761Z","5_5bh0oh","","","","","","","","","","","",""
"","","","","","survey","8","825253","0.0-7.0-1.0","2024-07-25T07:50:33.761Z","5_5bh0oh","224529","{""PCIRest1"":3,""PCIRest2"":4,""PCIRest3"":0,""PCIRest4"":6,""PCIRest5"":3,""PCIRest6"":1,""PCIRest7"":2,""PCIRest8"":3,""PCIRest9"":0,""PCIRest10"":3,""PCIRest11"":2,""PCIRest12"":6,""PCIRest13"":5,""PCIIntro"":null}","PCIRest","","","","","","","","",""
"","","","","","call-function","9","825254","0.0-7.0-2.0","2024-07-25T07:50:33.761Z","5_5bh0oh","","","","","","","","","","","",""
