"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part","stimulus","slider_start","value","rndSet","rndV1","rndV2","videoA","videoB","videoStimulus"
"true","false","[]","[]","[]","preload","0","6863","0.0-0.0","2024-07-25T09:17:45.741Z","5_xnshub","","","","","","","","","","","",""
"","","","","","survey","1","42794","0.0-1.0","2024-07-25T09:17:45.741Z","5_xnshub","35872","{""testrun"":""Experiment""}","testrun","","","","","","","","",""
"","","","","","survey-text","2","627493","0.0-2.0","2024-07-25T09:17:45.741Z","5_xnshub","584691","{""subject_id"":""5_xnshub""}","welcome","","","","","","","","",""
"","","","","","html-slider-response","3","649340","0.0-3.0","2024-07-25T09:17:45.741Z","5_xnshub","21846","60","successBelief","<p>Bevor wir beginnen, möchten wir Sie nach Ihrer Einstellung zum Experiment fragen.</p>
            <p style=""font-weight: bold;"">Wie wahrscheinlich halten Sie es, dass Sie persönlich bei Ihrem heutigen präkognitiven Test erfolgreich sein werden?</p>","50","","","","","","",""
"","","","","","html-slider-response","4","656485","0.0-4.0","2024-07-25T09:17:45.741Z","5_xnshub","7144","17","comfortable","<p style=""font-weight: bold;"">Fühlen Sie sich wohl mit dem Ganzfeld-Setup?</p>","50","","","","","","",""
"","","","","","html-button-response","5","675717","0.0-5.0","2024-07-25T09:17:45.741Z","5_xnshub","19230","0","restIntro","<p>Als nächstes möchten wir Sie bitten, sich für 3 Minuten auf einen bequemen Stuhl zu setzen. Drücken Sie auf ""Weiter"", wenn Sie bereit sind, machen Sie es sich dann im Stuhl bequem und ruhen Sie sich aus, bis Sie ein Signalton am Ende des dreiminütigen Intervalls hören. Danach können Sie zu diesem Programm zurückkehren, um fortzufahren.</p>","","","","","","","",""
"","","","","","html-keyboard-response","6","858391","0.0-6.0","2024-07-25T09:17:45.741Z","5_xnshub","null","null","rest","","","","","","","","",""
"","","","","","call-function","7","858392","0.0-7.0-0.0","2024-07-25T09:17:45.741Z","5_xnshub","","","","","","","","","","","",""
"","","","","","survey","8","1087075","0.0-7.0-1.0","2024-07-25T09:17:45.741Z","5_xnshub","228646","{""PCIRest1"":5,""PCIRest2"":3,""PCIRest3"":2,""PCIRest4"":5,""PCIRest5"":1,""PCIRest6"":5,""PCIRest7"":3,""PCIRest8"":2,""PCIRest9"":3,""PCIRest10"":3,""PCIRest11"":3,""PCIRest12"":3,""PCIIntro"":null,""PCIRest13"":null}","PCIRest","","","","","","","","",""
"","","","","","call-function","9","1087076","0.0-7.0-2.0","2024-07-25T09:17:45.741Z","5_xnshub","","","","","","","","","","","",""
"","","","","","html-button-response","10","1298861","0.0-8.0","2024-07-25T09:17:45.741Z","5_xnshub","211783","0","GanzfeldIntro","<p>Bitte sagen Sie dem Versuchsleiter, dass er Ihnen bei der Ganzfeld-Ausrüstung behilflich sein soll. Der Versuchsleiter wird auf ""Weiter"" klicken, wenn Sie bereit sind, um zu beginnen.</p>
            <p>Der Audiopegel für das Ganzfeld kann während der Wiedergabe der unten stehenden Audiodatei angepasst werden.</p>
            <audio controls>
                <source src=""../audio/pinknoise_7min_128.mp3"" type=""audio/mpeg"">
                Your browser does not support the audio element.
            </audio>","","","","","","","",""
"","","","","","audio-keyboard-response","11","3098864","0.0-9.0","2024-07-25T09:17:45.741Z","5_xnshub","null","null","GanzfeldPlay","../audio/German_Ganzfeld_Induction_v3.mp3","","","","","","","",""
"","","","","","call-function","12","3098865","0.0-10.0-0.0","2024-07-25T09:17:45.741Z","5_xnshub","","","","","","","","","","","",""
"","","","","","survey","13","3352487","0.0-10.0-1.0","2024-07-25T09:17:45.741Z","5_xnshub","253592","{""PCIGanz1"":5,""PCIGanz2"":4,""PCIGanz3"":2,""PCIGanz4"":6,""PCIGanz5"":3,""PCIGanz6"":3,""PCIGanz7"":2,""PCIGanz8"":1,""PCIGanz9"":1,""PCIGanz10"":2,""PCIGanz11"":3,""PCIGanz13"":3,""PCIIntro"":null,""PCIGanz12"":null}","PCIGanzfeld","","","","","","","","",""
"","","","","","call-function","14","3352487","0.0-10.0-2.0","2024-07-25T09:17:45.741Z","5_xnshub","","","","","","","","","","","",""
"","","","","","survey","15","3400816","0.0-11.0","2024-07-25T09:17:45.741Z","5_xnshub","48314","{""DSSQ"":{""DSSQ01"":1,""DSSQ02"":2,""DSSQ03"":1,""DSSQ04"":1,""DSSQ05"":1,""DSSQ06"":1,""DSSQ07"":1,""DSSQ08"":1},""DSSQIntro"":null}","DSSQ","","","","","","","","",""
