"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part","stimulus","slider_start","value","rndSet","rndV1","rndV2","videoA","videoB","videoStimulus"
"true","false","[]","[]","[]","preload","0","10808","0.0-0.0","2024-07-29T10:03:34.161Z","5_q9llo7","","","","","","","","","","","",""
"","","","","","survey","1","18592","0.0-1.0","2024-07-29T10:03:34.161Z","5_q9llo7","7734","{""testrun"":""Experiment""}","testrun","","","","","","","","",""
"","","","","","survey-text","2","140066","0.0-2.0","2024-07-29T10:03:34.161Z","5_q9llo7","121467","{""subject_id"":""5_q9llo7""}","welcome","","","","","","","","",""
"","","","","","html-slider-response","3","149409","0.0-3.0","2024-07-29T10:03:34.161Z","5_q9llo7","9342","68","successBelief","<p>Bevor wir beginnen, möchten wir Sie nach Ihrer Einstellung zum Experiment fragen.</p>
            <p style=""font-weight: bold;"">Wie wahrscheinlich halten Sie es, dass Sie persönlich bei Ihrem heutigen präkognitiven Test erfolgreich sein werden?</p>","50","","","","","","",""
"","","","","","html-slider-response","4","154577","0.0-4.0","2024-07-29T10:03:34.161Z","5_q9llo7","5167","81","comfortable","<p style=""font-weight: bold;"">Fühlen Sie sich wohl mit dem Ganzfeld-Setup?</p>","50","","","","","","",""
"","","","","","html-button-response","5","169529","0.0-5.0","2024-07-29T10:03:34.161Z","5_q9llo7","14951","0","restIntro","<p>Als nächstes möchten wir Sie bitten, sich für 3 Minuten auf einen bequemen Stuhl zu setzen. Drücken Sie auf ""Weiter"", wenn Sie bereit sind, machen Sie es sich dann im Stuhl bequem und ruhen Sie sich aus, bis Sie ein Signalton am Ende des dreiminütigen Intervalls hören. Danach können Sie zu diesem Programm zurückkehren, um fortzufahren.</p>","","","","","","","",""
"","","","","","html-keyboard-response","6","352050","0.0-6.0","2024-07-29T10:03:34.161Z","5_q9llo7","null","null","rest","","","","","","","","",""
"","","","","","call-function","7","352052","0.0-7.0-0.0","2024-07-29T10:03:34.161Z","5_q9llo7","","","","","","","","","","","",""
"","","","","","survey","8","446489","0.0-7.0-1.0","2024-07-29T10:03:34.161Z","5_q9llo7","94391","{""PCIRest1"":1,""PCIRest2"":0,""PCIRest3"":1,""PCIRest4"":4,""PCIRest5"":0,""PCIRest6"":6,""PCIRest7"":5,""PCIRest8"":4,""PCIRest9"":3,""PCIRest10"":6,""PCIRest11"":0,""PCIRest12"":0,""PCIRest13"":0,""PCIIntro"":null}","PCIRest","","","","","","","","",""
"","","","","","call-function","9","446490","0.0-7.0-2.0","2024-07-29T10:03:34.161Z","5_q9llo7","","","","","","","","","","","",""
