"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part","stimulus","slider_start","value","rndSet","rndV1","rndV2","videoA","videoB","videoStimulus"
"true","false","[]","[]","[]","preload","0","40592","0.0-0.0","2024-07-30T17:10:55.892Z","3_654321","","","","","","","","","","","",""
"","","","","","survey","1","95762","0.0-1.0","2024-07-30T17:10:55.892Z","3_654321","54950","{""testrun"":""Experiment""}","testrun","","","","","","","","",""
"","","","","","survey-text","2","1203393","0.0-2.0","2024-07-30T17:10:55.892Z","3_654321","1107558","{""subject_id"":""3_654321""}","welcome","","","","","","","","",""
"","","","","","html-slider-response","3","1244818","0.0-3.0","2024-07-30T17:10:55.892Z","3_654321","41418","0","successBelief","<p>Before we begin, we would like to ask you about your attitude to the experiment.</p>
            <p style=""font-weight: bold;"">How likely do you think it is that you personally will succeed in your precognitive test today?</p>","50","","","","","","",""
"","","","","","html-slider-response","4","1253744","0.0-4.0","2024-07-30T17:10:55.892Z","3_654321","8923","57","comfortable","<p style=""font-weight: bold;"">Do you feel comfortable with the Ganzfeld setup?</p>","50","","","","","","",""
"","","","","","html-button-response","5","1423255","0.0-5.0","2024-07-30T17:10:55.892Z","3_654321","169509","0","restIntro","<p>Next we would like you to rest in a reclining chair for 3 minutes. Press Continue when you are ready, then make yourself comfortable in the chair, and rest until you hear a beep signaling the end of the three minute interval. Afterwards you can return to this program to proceed.</p>","","","","","","","",""
"","","","","","html-keyboard-response","6","1606100","0.0-6.0","2024-07-30T17:10:55.892Z","3_654321","null","null","rest","","","","","","","","",""
"","","","","","call-function","7","1606103","0.0-7.0-0.0","2024-07-30T17:10:55.892Z","3_654321","","","","","","","","","","","",""
"","","","","","survey","8","1843974","0.0-7.0-1.0","2024-07-30T17:10:55.892Z","3_654321","237607","{""PCIRest1"":3,""PCIRest2"":0,""PCIRest3"":4,""PCIRest4"":0,""PCIRest5"":0,""PCIRest6"":0,""PCIRest7"":2,""PCIRest8"":6,""PCIRest9"":0,""PCIRest10"":6,""PCIRest11"":1,""PCIRest12"":0,""PCIRest13"":0,""PCIIntro"":null}","PCIRest","","","","","","","","",""
"","","","","","call-function","9","1843977","0.0-7.0-2.0","2024-07-30T17:10:55.892Z","3_654321","","","","","","","","","","","",""
"","","","","","html-button-response","10","2158759","0.0-8.0","2024-07-30T17:10:55.892Z","3_654321","314758","0","GanzfeldIntro","<p>Please tell the experimenter to assist you with the Ganzfeld equipment. The experimenter will click ""Continue"" when you are ready to begin.</p>
            <p>The audio level for the ganzfeld can be adjusted while playing the audio sample below.</p>
            <audio controls>
                <source src=""../audio/pinknoise_7min_128.mp3"" type=""audio/mpeg"">
                Your browser does not support the audio element.
            </audio>","","","","","","","",""
"","","","","","audio-keyboard-response","11","3958774","0.0-9.0","2024-07-30T17:10:55.892Z","3_654321","null","null","GanzfeldPlay","../audio/English_Ganzfeld_Induction_v3.mp3","","","","","","","",""
"","","","","","call-function","12","3958776","0.0-10.0-0.0","2024-07-30T17:10:55.892Z","3_654321","","","","","","","","","","","",""
"","","","","","survey","13","4172783","0.0-10.0-1.0","2024-07-30T17:10:55.892Z","3_654321","213777","{""PCIGanz1"":3,""PCIGanz2"":3,""PCIGanz3"":3,""PCIGanz4"":6,""PCIGanz5"":2,""PCIGanz6"":2,""PCIGanz7"":3,""PCIGanz8"":3,""PCIGanz9"":0,""PCIGanz10"":3,""PCIGanz11"":3,""PCIGanz12"":2,""PCIGanz13"":2,""PCIIntro"":null}","PCIGanzfeld","","","","","","","","",""
"","","","","","call-function","14","4172784","0.0-10.0-2.0","2024-07-30T17:10:55.892Z","3_654321","","","","","","","","","","","",""
"","","","","","survey","15","4255003","0.0-11.0","2024-07-30T17:10:55.892Z","3_654321","82139","{""DSSQ"":{""DSSQ01"":3,""DSSQ02"":3,""DSSQ03"":2,""DSSQ04"":1,""DSSQ05"":2,""DSSQ06"":1,""DSSQ07"":1,""DSSQ08"":1},""DSSQIntro"":null}","DSSQ","","","","","","","","",""
"","","","","","html-slider-response","16","4266465","0.0-12.0","2024-07-30T17:10:55.892Z","3_654321","11458","34","time1","<p><i>Please answer the following two questions about your experiences during the 30 minutes of Ganzfeld.</i></p>
            <p>1. How often did you think about time <b>during the task</b>?</p>","50","","","","","","",""
"","","","","","html-slider-response","17","4280691","0.0-13.0","2024-07-30T17:10:55.892Z","3_654321","14224","34","time2","<p><i>Please answer the following two questions about your experiences during the 30 minutes of Ganzfeld.</i></p>
            <p>2. How fast did time pass for you <b>during the task</b>?</p>","50","","","","","","",""
"","","","","","html-button-response","18","4289939","0.0-14.0","2024-07-30T17:10:55.892Z","3_654321","9246","0","videoIntro","<p>Now we would like you to watch two short videos and rate how similar they are to your Ganzfeld experience.</p><p>Please click ""Continue"" when you are ready.</p>","","","8","0","1","../video/16 A Glacier Falling.mp4","../video/16 B Cheetah hunt.mp4",""
"true","false","[]","[]","[]","preload","19","4301133","0.0-15.0","2024-07-30T17:10:55.892Z","3_654321","","","","","","","","","","","",""
"","","","","","survey-html-form","20","4471622","0.0-16.0-0.0","2024-07-30T17:10:55.892Z","3_654321","170480","{""ClipA"":""22"",""ClipB"":""4""}","videoRating","","","","","","","","",""
"","","","","","html-button-response","21","4482401","0.0-17.0","2024-07-30T17:10:55.892Z","3_654321","10773","0","videoTargetIntro","<p>We will now select the target video.</p><p>Please watch the selected video a second time.</p>","","","","","","","","[""../video/16 B Cheetah hunt.mp4""]"
