"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part","stimulus","slider_start","value","rndSet","rndV1","rndV2","videoA","videoB","videoStimulus"
"true","false","[]","[]","[]","preload","0","5991","0.0-0.0","2024-08-08T15:50:54.581Z","5_r8oc4p","","","","","","","","","","","",""
"","","","","","survey","1","15852","0.0-1.0","2024-08-08T15:50:54.581Z","5_r8oc4p","9838","{""testrun"":""Experiment""}","testrun","","","","","","","","",""
"","","","","","survey-text","2","33726","0.0-2.0","2024-08-08T15:50:54.581Z","5_r8oc4p","17868","{""subject_id"":""5_r8oc4p""}","welcome","","","","","","","","",""
"","","","","","html-slider-response","3","39333","0.0-3.0","2024-08-08T15:50:54.581Z","5_r8oc4p","5607","53","successBelief","<p>Bevor wir beginnen, möchten wir Sie nach Ihrer Einstellung zum Experiment fragen.</p>
            <p style=""font-weight: bold;"">Wie wahrscheinlich halten Sie es, dass Sie persönlich bei Ihrem heutigen präkognitiven Test erfolgreich sein werden?</p>","50","","","","","","",""
"","","","","","html-slider-response","4","41677","0.0-4.0","2024-08-08T15:50:54.581Z","5_r8oc4p","2343","53","comfortable","<p style=""font-weight: bold;"">Fühlen Sie sich wohl mit dem Ganzfeld-Setup?</p>","50","","","","","","",""
"","","","","","html-button-response","5","43070","0.0-5.0","2024-08-08T15:50:54.581Z","5_r8oc4p","1392","0","restIntro","<p>Als nächstes möchten wir Sie bitten, sich für 3 Minuten auf einen bequemen Stuhl zu setzen. Drücken Sie auf ""Weiter"", wenn Sie bereit sind, machen Sie es sich dann im Stuhl bequem und ruhen Sie sich aus, bis Sie ein Signalton am Ende des dreiminütigen Intervalls hören. Danach können Sie zu diesem Programm zurückkehren, um fortzufahren.</p>","","","","","","","",""
"","","","","","html-keyboard-response","6","225583","0.0-6.0","2024-08-08T15:50:54.581Z","5_r8oc4p","null","null","rest","","","","","","","","",""
"","","","","","call-function","7","225585","0.0-7.0-0.0","2024-08-08T15:50:54.581Z","5_r8oc4p","","","","","","","","","","","",""
"","","","","","survey","8","255636","0.0-7.0-1.0","2024-08-08T15:50:54.581Z","5_r8oc4p","30011","{""PCIRest1"":4,""PCIRest2"":4,""PCIRest3"":4,""PCIRest4"":4,""PCIRest5"":1,""PCIRest6"":2,""PCIRest7"":3,""PCIRest8"":4,""PCIRest9"":4,""PCIRest10"":1,""PCIRest11"":4,""PCIRest12"":4,""PCIRest13"":1,""PCIIntro"":null}","PCIRest","","","","","","","","",""
"","","","","","call-function","9","255636","0.0-7.0-2.0","2024-08-08T15:50:54.581Z","5_r8oc4p","","","","","","","","","","","",""
"","","","","","html-button-response","10","764766","0.0-8.0","2024-08-08T15:50:54.581Z","5_r8oc4p","509128","0","GanzfeldIntro","<p>Bitte sagen Sie dem Versuchsleiter, dass er Ihnen bei der Ganzfeld-Ausrüstung behilflich sein soll. Der Versuchsleiter wird auf ""Weiter"" klicken, wenn Sie bereit sind, um zu beginnen.</p>
            <p>Der Audiopegel für das Ganzfeld kann während der Wiedergabe der unten stehenden Audiodatei angepasst werden.</p>
            <audio controls>
                <source src=""../audio/pinknoise_7min_128.mp3"" type=""audio/mpeg"">
                Your browser does not support the audio element.
            </audio>","","","","","","","",""
"","","","","","audio-keyboard-response","11","2564771","0.0-9.0","2024-08-08T15:50:54.581Z","5_r8oc4p","null","null","GanzfeldPlay","../audio/German_Ganzfeld_Induction_v3.mp3","","","","","","","",""
"","","","","","call-function","12","2564774","0.0-10.0-0.0","2024-08-08T15:50:54.581Z","5_r8oc4p","","","","","","","","","","","",""
