"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part","stimulus","slider_start","value","rndSet","rndV1","rndV2","videoA","videoB","videoStimulus"
"true","false","[]","[]","[]","preload","0","6145","0.0-0.0","2024-08-09T14:55:41.131Z","5_7wz7vj","","","","","","","","","","","",""
"","","","","","survey","1","39731","0.0-1.0","2024-08-09T14:55:41.131Z","5_7wz7vj","33563","{""testrun"":""Experiment""}","testrun","","","","","","","","",""
"","","","","","survey-text","2","285110","0.0-2.0","2024-08-09T14:55:41.131Z","5_7wz7vj","245404","{""subject_id"":""5_7wz7vj""}","welcome","","","","","","","","",""
"","","","","","html-slider-response","3","309341","0.0-3.0","2024-08-09T14:55:41.131Z","5_7wz7vj","24238","44","successBelief","<p>Bevor wir beginnen, möchten wir Sie nach Ihrer Einstellung zum Experiment fragen.</p>
            <p style=""font-weight: bold;"">Wie wahrscheinlich halten Sie es, dass Sie persönlich bei Ihrem heutigen präkognitiven Test erfolgreich sein werden?</p>","50","","","","","","",""
"","","","","","html-slider-response","4","320981","0.0-4.0","2024-08-09T14:55:41.131Z","5_7wz7vj","11639","69","comfortable","<p style=""font-weight: bold;"">Fühlen Sie sich wohl mit dem Ganzfeld-Setup?</p>","50","","","","","","",""
"","","","","","html-button-response","5","338837","0.0-5.0","2024-08-09T14:55:41.131Z","5_7wz7vj","17855","0","restIntro","<p>Als nächstes möchten wir Sie bitten, sich für 3 Minuten auf einen bequemen Stuhl zu setzen. Drücken Sie auf ""Weiter"", wenn Sie bereit sind, machen Sie es sich dann im Stuhl bequem und ruhen Sie sich aus, bis Sie ein Signalton am Ende des dreiminütigen Intervalls hören. Danach können Sie zu diesem Programm zurückkehren, um fortzufahren.</p>","","","","","","","",""
"","","","","","html-keyboard-response","6","521329","0.0-6.0","2024-08-09T14:55:41.131Z","5_7wz7vj","null","null","rest","","","","","","","","",""
"","","","","","call-function","7","521331","0.0-7.0-0.0","2024-08-09T14:55:41.131Z","5_7wz7vj","","","","","","","","","","","",""
"","","","","","survey","8","741542","0.0-7.0-1.0","2024-08-09T14:55:41.131Z","5_7wz7vj","220201","{""PCIRest1"":3,""PCIRest2"":4,""PCIRest3"":2,""PCIRest4"":4,""PCIRest5"":2,""PCIRest6"":3,""PCIRest7"":1,""PCIRest8"":2,""PCIRest9"":2,""PCIRest10"":5,""PCIRest11"":4,""PCIRest12"":4,""PCIRest13"":2,""PCIIntro"":null}","PCIRest","","","","","","","","",""
"","","","","","call-function","9","741543","0.0-7.0-2.0","2024-08-09T14:55:41.131Z","5_7wz7vj","","","","","","","","","","","",""
"","","","","","html-button-response","10","1096790","0.0-8.0","2024-08-09T14:55:41.131Z","5_7wz7vj","355279","0","GanzfeldIntro","<p>Bitte sagen Sie dem Versuchsleiter, dass er Ihnen bei der Ganzfeld-Ausrüstung behilflich sein soll. Der Versuchsleiter wird auf ""Weiter"" klicken, wenn Sie bereit sind, um zu beginnen.</p>
            <p>Der Audiopegel für das Ganzfeld kann während der Wiedergabe der unten stehenden Audiodatei angepasst werden.</p>
            <audio controls>
                <source src=""../audio/pinknoise_7min_128.mp3"" type=""audio/mpeg"">
                Your browser does not support the audio element.
            </audio>","","","","","","","",""
"","","","","","audio-keyboard-response","11","2896658","0.0-9.0","2024-08-09T14:55:41.131Z","5_7wz7vj","null","null","GanzfeldPlay","../audio/German_Ganzfeld_Induction_v3.mp3","","","","","","","",""
"","","","","","call-function","12","2896660","0.0-10.0-0.0","2024-08-09T14:55:41.131Z","5_7wz7vj","","","","","","","","","","","",""
"","","","","","survey","13","3165443","0.0-10.0-1.0","2024-08-09T14:55:41.131Z","5_7wz7vj","268701","{""PCIGanz1"":5,""PCIGanz2"":5,""PCIGanz3"":2,""PCIGanz4"":5,""PCIGanz5"":4,""PCIGanz6"":2,""PCIGanz7"":2,""PCIGanz8"":3,""PCIGanz9"":1,""PCIGanz10"":2,""PCIGanz11"":2,""PCIGanz12"":4,""PCIGanz13"":4,""PCIIntro"":null}","PCIGanzfeld","","","","","","","","",""
"","","","","","call-function","14","3165443","0.0-10.0-2.0","2024-08-09T14:55:41.131Z","5_7wz7vj","","","","","","","","","","","",""
"","","","","","survey","15","3235741","0.0-11.0","2024-08-09T14:55:41.131Z","5_7wz7vj","70293","{""DSSQ"":{""DSSQ01"":3,""DSSQ02"":1,""DSSQ03"":1,""DSSQ04"":2,""DSSQ05"":3,""DSSQ06"":2,""DSSQ07"":1,""DSSQ08"":1},""DSSQIntro"":null}","DSSQ","","","","","","","","",""
"","","","","","html-slider-response","16","3257755","0.0-12.0","2024-08-09T14:55:41.131Z","5_7wz7vj","22012","11","time1","<p><i>Bitte beantworten Sie die folgenden beiden Fragen zu Ihren Erfahrungen während der 30 Minuten Ganzfeld.</i></p>
            <p>1. Wie oft haben Sie <b>während der Aufgabe</b> an die Zeit gedacht?</p>","50","","","","","","",""
"","","","","","html-slider-response","17","3272410","0.0-13.0","2024-08-09T14:55:41.131Z","5_7wz7vj","14655","78","time2","<p><i>Bitte beantworten Sie die folgenden beiden Fragen zu Ihren Erfahrungen während der 30 Minuten Ganzfeld.</i></p>
            <p>2. Wie schnell verging die Zeit für Sie <b>während der Aufgabe</b>?</p>","50","","","","","","",""
"","","","","","html-button-response","18","3296759","0.0-14.0","2024-08-09T14:55:41.131Z","5_7wz7vj","24351","0","videoIntro","<p>Jetzt möchten wir, dass Sie sich zwei kurze Videos ansehen und bewerten, wie ähnlich sie Ihrem Ganzfeld-Erlebnis sind.</p>
            <p>Bitte klicken Sie auf ""Weiter"", wenn Sie bereit sind.</p>","","","15","0","3","../video/23 A Church swing.mp4","../video/23 D Aberfan disaster.mp4",""
"true","false","[]","[]","[]","preload","19","3311797","0.0-15.0","2024-08-09T14:55:41.131Z","5_7wz7vj","","","","","","","","","","","",""
