"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part","stimulus","slider_start","value","rndSet","rndV1","rndV2","videoA","videoB","videoStimulus"
"true","false","[]","[]","[]","preload","0","18747","0.0-0.0","2024-08-21T17:45:58.602Z","3_9z55u3","","","","","","","","","","","",""
"","","","","","survey","1","2423675","0.0-1.0","2024-08-21T17:45:58.602Z","3_9z55u3","2404848","{""testrun"":""Experiment""}","testrun","","","","","","","","",""
"","","","","","survey-text","2","2445343","0.0-2.0","2024-08-21T17:45:58.602Z","3_9z55u3","21662","{""subject_id"":""3_9z55u3""}","welcome","","","","","","","","",""
"","","","","","html-slider-response","3","3290108","0.0-3.0","2024-08-21T17:45:58.602Z","3_9z55u3","844764","100","successBelief","<p>Before we begin, we would like to ask you about your attitude to the experiment.</p>
            <p style=""font-weight: bold;"">How likely do you think it is that you personally will succeed in your precognitive test today?</p>","50","","","","","","",""
"","","","","","html-slider-response","4","3297013","0.0-4.0","2024-08-21T17:45:58.602Z","3_9z55u3","6900","100","comfortable","<p style=""font-weight: bold;"">Do you feel comfortable with the Ganzfeld setup?</p>","50","","","","","","",""
"","","","","","html-button-response","5","3548822","0.0-5.0","2024-08-21T17:45:58.602Z","3_9z55u3","251804","0","restIntro","<p>Next we would like you to rest in a reclining chair for 3 minutes. Press Continue when you are ready, then make yourself comfortable in the chair, and rest until you hear a beep signaling the end of the three minute interval. Afterwards you can return to this program to proceed.</p>","","","","","","","",""
"","","","","","html-keyboard-response","6","3731416","0.0-6.0","2024-08-21T17:45:58.602Z","3_9z55u3","null","null","rest","","","","","","","","",""
"","","","","","call-function","7","3731418","0.0-7.0-0.0","2024-08-21T17:45:58.602Z","3_9z55u3","","","","","","","","","","","",""
"","","","","","survey","8","3924976","0.0-7.0-1.0","2024-08-21T17:45:58.602Z","3_9z55u3","193416","{""PCIRest1"":6,""PCIRest2"":6,""PCIRest3"":1,""PCIRest4"":6,""PCIRest5"":5,""PCIRest6"":1,""PCIRest7"":0,""PCIRest8"":0,""PCIRest9"":0,""PCIRest10"":3,""PCIRest11"":3,""PCIRest12"":5,""PCIRest13"":3,""PCIIntro"":null}","PCIRest","","","","","","","","",""
"","","","","","call-function","9","3924978","0.0-7.0-2.0","2024-08-21T17:45:58.602Z","3_9z55u3","","","","","","","","","","","",""
"","","","","","html-button-response","10","3970111","0.0-8.0","2024-08-21T17:45:58.602Z","3_9z55u3","45132","0","GanzfeldIntro","<p>Please tell the experimenter to assist you with the Ganzfeld equipment. The experimenter will click ""Continue"" when you are ready to begin.</p>
            <p>The audio level for the ganzfeld can be adjusted while playing the audio sample below.</p>
            <audio controls>
                <source src=""../audio/pinknoise_7min_128.mp3"" type=""audio/mpeg"">
                Your browser does not support the audio element.
            </audio>","","","","","","","",""
"","","","","","audio-keyboard-response","11","5770127","0.0-9.0","2024-08-21T17:45:58.602Z","3_9z55u3","null","null","GanzfeldPlay","../audio/English_Ganzfeld_Induction_v3.mp3","","","","","","","",""
"","","","","","call-function","12","5770130","0.0-10.0-0.0","2024-08-21T17:45:58.602Z","3_9z55u3","","","","","","","","","","","",""
"","","","","","survey","13","6151427","0.0-10.0-1.0","2024-08-21T17:45:58.602Z","3_9z55u3","381185","{""PCIGanz1"":6,""PCIGanz2"":6,""PCIGanz3"":0,""PCIGanz4"":6,""PCIGanz5"":6,""PCIGanz6"":0,""PCIGanz7"":0,""PCIGanz8"":0,""PCIGanz9"":0,""PCIGanz10"":0,""PCIGanz11"":6,""PCIGanz12"":5,""PCIGanz13"":5,""PCIIntro"":null}","PCIGanzfeld","","","","","","","","",""
"","","","","","call-function","14","6151429","0.0-10.0-2.0","2024-08-21T17:45:58.602Z","3_9z55u3","","","","","","","","","","","",""
"","","","","","survey","15","6291863","0.0-11.0","2024-08-21T17:45:58.602Z","3_9z55u3","140402","{""DSSQ"":{""DSSQ01"":2,""DSSQ02"":1,""DSSQ03"":1,""DSSQ04"":1,""DSSQ05"":1,""DSSQ06"":2,""DSSQ07"":1,""DSSQ08"":1},""DSSQIntro"":null}","DSSQ","","","","","","","","",""
