"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part","stimulus","slider_start","value"
"true","false","[]","[]","[]","preload","0","20744","0.0-0.0","2024-09-12T08:53:55.922Z","1_eoyou9","","","","","",""
"","","","","","survey","1","63611","0.0-1.0","2024-09-12T08:53:55.922Z","1_eoyou9","42580","{""testrun"":""Pilot (Test run)""}","testrun","","",""
"","","","","","survey-text","2","114298","0.0-2.0","2024-09-12T08:53:55.922Z","1_eoyou9","50666","{""subject_id"":""1_eoyou9""}","welcome","","",""
"","","","","","html-slider-response","3","152592","0.0-3.0","2024-09-12T08:53:55.922Z","1_eoyou9","38289","68","successBelief","<p>Before we begin, we would like to ask you about your attitude to the experiment.</p>
            <p style=""font-weight: bold;"">How likely do you think it is that you personally will succeed in your precognitive test today?</p>","50",""
"","","","","","html-slider-response","4","160224","0.0-4.0","2024-09-12T08:53:55.922Z","1_eoyou9","7630","75","comfortable","<p style=""font-weight: bold;"">Do you feel comfortable with the Ganzfeld setup?</p>","50",""
"","","","","","html-button-response","5","428864","0.0-5.0","2024-09-12T08:53:55.922Z","1_eoyou9","268637","0","restIntro","<p>Next we would like you to rest in a reclining chair for 3 minutes. Press Continue when you are ready, then make yourself comfortable in the chair, and rest until you hear a beep signaling the end of the three minute interval. Afterwards you can return to this program to proceed.</p>","",""
"","","","","","html-keyboard-response","6","611414","0.0-6.0","2024-09-12T08:53:55.922Z","1_eoyou9","null","null","rest","","",""
"","","","","","call-function","7","611417","0.0-7.0-0.0","2024-09-12T08:53:55.922Z","1_eoyou9","","","","","",""
"","","","","","survey","8","727824","0.0-7.0-1.0","2024-09-12T08:53:55.922Z","1_eoyou9","116243","{""PCIRest1"":4,""PCIRest2"":4,""PCIRest3"":3,""PCIRest4"":5,""PCIRest5"":3,""PCIRest6"":3,""PCIRest7"":3,""PCIRest8"":2,""PCIRest9"":1,""PCIRest10"":5,""PCIRest11"":1,""PCIRest12"":3,""PCIRest13"":3,""PCIIntro"":null}","PCIRest","","",""
"","","","","","call-function","9","727827","0.0-7.0-2.0","2024-09-12T08:53:55.922Z","1_eoyou9","","","","","",""
"","","","","","html-button-response","10","839598","0.0-8.0","2024-09-12T08:53:55.922Z","1_eoyou9","111763","0","GanzfeldIntro","<p>Please tell the experimenter to assist you with the Ganzfeld equipment. The experimenter will click ""Continue"" when you are ready to begin.</p>
            <p>The audio level for the ganzfeld can be adjusted while playing the audio sample below.</p>
            <audio controls>
                <source src=""../audio/pinknoise_7min_128.mp3"" type=""audio/mpeg"">
                Your browser does not support the audio element.
            </audio>","",""
