"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part","stimulus","slider_start","value","rndSet","rndV1","rndV2","videoA","videoB","videoStimulus"
"true","false","[]","[]","[]","preload","0","5842","0.0-0.0","2024-09-16T11:59:39.948Z","5_9k8uxu","","","","","","","","","","","",""
"","","","","","survey","1","11742","0.0-1.0","2024-09-16T11:59:39.948Z","5_9k8uxu","5872","{""testrun"":""Pilot (Testlauf)""}","testrun","","","","","","","","",""
"","","","","","survey-text","2","137409","0.0-2.0","2024-09-16T11:59:39.948Z","5_9k8uxu","125658","{""subject_id"":""5_9k8uxu""}","welcome","","","","","","","","",""
"","","","","","html-slider-response","3","143761","0.0-3.0","2024-09-16T11:59:39.948Z","5_9k8uxu","6349","61","successBelief","<p>Bevor wir beginnen, möchten wir Sie nach Ihrer Einstellung zum Experiment fragen.</p>
            <p style=""font-weight: bold;"">Wie wahrscheinlich halten Sie es, dass Sie persönlich bei Ihrem heutigen präkognitiven Test erfolgreich sein werden?</p>","50","","","","","","",""
"","","","","","html-slider-response","4","224008","0.0-4.0","2024-09-16T11:59:39.948Z","5_9k8uxu","80247","80","comfortable","<p style=""font-weight: bold;"">Fühlen Sie sich wohl mit dem Ganzfeld-Setup?</p>","50","","","","","","",""
"","","","","","html-button-response","5","270809","0.0-5.0","2024-09-16T11:59:39.948Z","5_9k8uxu","46799","0","restIntro","<p>Als nächstes möchten wir Sie bitten, sich für 3 Minuten auf einen bequemen Stuhl zu setzen. Drücken Sie auf ""Weiter"", wenn Sie bereit sind, machen Sie es sich dann im Stuhl bequem und ruhen Sie sich aus, bis Sie ein Signalton am Ende des dreiminütigen Intervalls hören. Danach können Sie zu diesem Programm zurückkehren, um fortzufahren.</p>","","","","","","","",""
"","","","","","html-keyboard-response","6","453324","0.0-6.0","2024-09-16T11:59:39.948Z","5_9k8uxu","null","null","rest","","","","","","","","",""
"","","","","","call-function","7","453327","0.0-7.0-0.0","2024-09-16T11:59:39.948Z","5_9k8uxu","","","","","","","","","","","",""
"","","","","","survey","8","590412","0.0-7.0-1.0","2024-09-16T11:59:39.948Z","5_9k8uxu","137049","{""PCIRest1"":4,""PCIRest2"":2,""PCIRest3"":4,""PCIRest4"":4,""PCIRest5"":2,""PCIRest6"":5,""PCIRest7"":3,""PCIRest8"":2,""PCIRest9"":3,""PCIRest10"":4,""PCIRest11"":1,""PCIRest12"":3,""PCIRest13"":2,""PCIIntro"":null}","PCIRest","","","","","","","","",""
"","","","","","call-function","9","590413","0.0-7.0-2.0","2024-09-16T11:59:39.948Z","5_9k8uxu","","","","","","","","","","","",""
