"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part","view_history","stimulus","slider_start","value"
"true","false","[]","[]","[]","preload","0","6159","0.0-0.0","2024-09-17T12:09:46.460Z","6_123123","","","","","","",""
"","","","","","survey","1","10380","0.0-1.0","2024-09-17T12:09:46.460Z","6_123123","4206","{""testrun"":""Pilot (Testlauf)""}","testrun","","","",""
"","","","","","survey-text","2","14503","0.0-2.0","2024-09-17T12:09:46.460Z","6_123123","4101","{""subject_id"":""6_123123""}","welcome","","","",""
"","","","","","instructions","3","19569","0.0-3.0","2024-09-17T12:09:46.460Z","6_123123","5065","","instructions1","[{""page_index"":0,""viewing_time"":5065}]","","",""
"","","","","","html-slider-response","4","21798","0.0-4.0","2024-09-17T12:09:46.460Z","6_123123","2228","50","successBelief","","<p>Bevor wir beginnen, möchten wir Sie nach Ihrer Einstellung zum Experiment fragen.</p>
            <p style=""font-weight: bold;"">Wie wahrscheinlich halten Sie es, dass Sie persönlich bei Ihrem heutigen präkognitiven Test erfolgreich sein werden?</p>","50",""
"","","","","","html-slider-response","5","24410","0.0-5.0","2024-09-17T12:09:46.460Z","6_123123","2612","50","comfortable","","<p style=""font-weight: bold;"">Fühlen Sie sich wohl mit dem Ganzfeld-Setup?</p>","50",""
"","","","","","html-button-response","6","33729","0.0-6.0","2024-09-17T12:09:46.460Z","6_123123","9319","0","restIntro","","<p>Als nächstes möchten wir Sie bitten, sich für 3 Minuten auf einen bequemen Stuhl zu setzen. Drücken Sie auf ""Weiter"", wenn Sie bereit sind, machen Sie es sich dann im Stuhl bequem und ruhen Sie sich aus, bis Sie ein Signalton am Ende des dreiminütigen Intervalls hören. Danach können Sie zu diesem Programm zurückkehren, um fortzufahren.</p>","",""
"","","","","","html-keyboard-response","7","36850","0.0-7.0","2024-09-17T12:09:46.460Z","6_123123","3119","s","rest","","","",""
"","","","","","call-function","8","36850","0.0-8.0-0.0","2024-09-17T12:09:46.460Z","6_123123","","","","","","",""
"","","","","","survey","9","47126","0.0-8.0-1.0","2024-09-17T12:09:46.460Z","6_123123","10242","{""PCIRest1"":0,""PCIRest2"":0,""PCIRest3"":0,""PCIRest4"":0,""PCIRest5"":0,""PCIRest6"":0,""PCIRest7"":0,""PCIRest8"":0,""PCIRest9"":0,""PCIRest10"":0,""PCIRest11"":0,""PCIRest12"":0,""PCIRest13"":0,""PCIIntro"":null}","PCIRest","","","",""
"","","","","","call-function","10","47127","0.0-8.0-2.0","2024-09-17T12:09:46.460Z","6_123123","","","","","","",""
"","","","","","html-button-response","11","57649","0.0-9.0","2024-09-17T12:09:46.460Z","6_123123","10510","0","GanzfeldIntro","","<p>Bitte sagen Sie dem Versuchsleiter, dass er Ihnen bei der Ganzfeld-Ausrüstung behilflich sein soll. Der Versuchsleiter wird auf ""Weiter"" klicken, wenn Sie bereit sind, um zu beginnen.</p>
            <p>Der Audiopegel für das Ganzfeld kann während der Wiedergabe der unten stehenden Audiodatei angepasst werden.</p>
            <audio controls>
                <source src=""../audio/pinknoise_7min_128.mp3"" type=""audio/mpeg"">
                Your browser does not support the audio element.
            </audio>","",""
