"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part","stimulus","slider_start","value","view_history","rndSet","rndV1","rndV2","videoA","videoB","videoStimulus"
"true","false","[]","[]","[]","preload","0","37740","0.0-0.0","2024-10-16T19:33:11.844Z","3_j4e8vo","","","","","","","","","","","","",""
"","","","","","survey","1","65616","0.0-1.0","2024-10-16T19:33:11.844Z","3_j4e8vo","27796","{""testrun"":""Experiment""}","testrun","","","","","","","","","",""
"","","","","","survey-text","2","5864251","0.0-2.0","2024-10-16T19:33:11.844Z","3_j4e8vo","5798646","{""subject_id"":""3_j4e8vo""}","welcome","","","","","","","","","",""
"","","","","","html-slider-response","3","5873582","0.0-3.0","2024-10-16T19:33:11.844Z","3_j4e8vo","9319","100","successBelief","<p>Before we begin, we would like to ask you about your attitude to the experiment.</p>
            <p style=""font-weight: bold;"">How likely do you think it is that you personally will succeed in your precognitive test today?</p>","50","","","","","","","",""
"","","","","","html-slider-response","4","5878988","0.0-4.0","2024-10-16T19:33:11.844Z","3_j4e8vo","5398","100","comfortable","<p style=""font-weight: bold;"">Do you feel comfortable with the Ganzfeld setup?</p>","50","","","","","","","",""
"","","","","","html-button-response","5","6101781","0.0-5.0","2024-10-16T19:33:11.844Z","3_j4e8vo","222786","0","restIntro","<p>Next we would like you to rest in a reclining chair for 3 minutes. Press Continue when you are ready, then make yourself comfortable in the chair, and rest until you hear a beep signaling the end of the three minute interval. Afterwards you can return to this program to proceed.</p>","","","","","","","","",""
"","","","","","html-keyboard-response","6","6284313","0.0-6.0","2024-10-16T19:33:11.844Z","3_j4e8vo","null","null","rest","","","","","","","","","",""
"","","","","","call-function","7","6284318","0.0-7.0-0.0","2024-10-16T19:33:11.844Z","3_j4e8vo","","","","","","","","","","","","",""
"","","","","","survey","8","6500465","0.0-7.0-1.0","2024-10-16T19:33:11.844Z","3_j4e8vo","216021","{""PCIRest1"":4,""PCIRest2"":4,""PCIRest3"":4,""PCIRest4"":5,""PCIRest5"":1,""PCIRest6"":1,""PCIRest7"":5,""PCIRest8"":1,""PCIRest9"":2,""PCIRest10"":4,""PCIRest11"":4,""PCIRest12"":3,""PCIRest13"":3,""PCIIntro"":null}","PCIRest","","","","","","","","","",""
"","","","","","call-function","9","6500467","0.0-7.0-2.0","2024-10-16T19:33:11.844Z","3_j4e8vo","","","","","","","","","","","","",""
"","","","","","instructions","10","6568303","0.0-8.0","2024-10-16T19:33:11.844Z","3_j4e8vo","67835","","instructions1","","","","[{""page_index"":0,""viewing_time"":67834}]","","","","","",""
"","","","","","html-button-response","11","6611816","0.0-9.0","2024-10-16T19:33:11.844Z","3_j4e8vo","43503","0","GanzfeldIntro","<p>Please tell the experimenter to assist you with the Ganzfeld equipment. The experimenter will click ""Continue"" when you are ready to begin.</p>
            <p>The audio level for the ganzfeld can be adjusted while playing the audio sample below.</p>
            <audio controls>
                <source src=""../audio/pinknoise_7min_128.mp3"" type=""audio/mpeg"">
                Your browser does not support the audio element.
            </audio>","","","","","","","","",""
"","","","","","audio-keyboard-response","12","8801989","0.0-10.0","2024-10-16T19:33:11.844Z","3_j4e8vo","null","null","GanzfeldPlay","../audio/English_Ganzfeld_Induction_v4.mp3","","","","","","","","",""
"","","","","","call-function","13","8801995","0.0-11.0-0.0","2024-10-16T19:33:11.844Z","3_j4e8vo","","","","","","","","","","","","",""
"","","","","","survey","14","8987568","0.0-11.0-1.0","2024-10-16T19:33:11.844Z","3_j4e8vo","185263","{""PCIGanz1"":6,""PCIGanz2"":4,""PCIGanz3"":1,""PCIGanz4"":5,""PCIGanz5"":4,""PCIGanz6"":1,""PCIGanz7"":1,""PCIGanz8"":2,""PCIGanz9"":2,""PCIGanz10"":4,""PCIGanz11"":3,""PCIGanz12"":2,""PCIGanz13"":4,""PCIIntro"":null}","PCIGanzfeld","","","","","","","","","",""
"","","","","","call-function","15","8987570","0.0-11.0-2.0","2024-10-16T19:33:11.844Z","3_j4e8vo","","","","","","","","","","","","",""
