"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part","stimulus","slider_start","value","view_history"
"true","false","[]","[]","[]","preload","0","16479","0.0-0.0","2024-11-04T14:50:05.948Z","6_TESTTT","","","","","","",""
"","","","","","survey","1","23191","0.0-1.0","2024-11-04T14:50:05.948Z","6_TESTTT","6651","{""testrun"":""Pilot (Testlauf)""}","testrun","","","",""
"","","","","","survey-text","2","166573","0.0-2.0","2024-11-04T14:50:05.948Z","6_TESTTT","143271","{""subject_id"":""6_TESTTT""}","welcome","","","",""
"","","","","","html-slider-response","3","180700","0.0-3.0","2024-11-04T14:50:05.948Z","6_TESTTT","14121","37","successBelief","<p>Bevor wir beginnen, möchten wir Sie nach Ihrer Einstellung zum Experiment fragen.</p>
            <p style=""font-weight: bold;"">Wie wahrscheinlich halten Sie es, dass Sie persönlich bei Ihrem heutigen präkognitiven Test erfolgreich sein werden?</p>","50","",""
"","","","","","html-slider-response","4","186745","0.0-4.0","2024-11-04T14:50:05.948Z","6_TESTTT","6042","77","comfortable","<p style=""font-weight: bold;"">Fühlen Sie sich wohl mit dem Ganzfeld-Setup?</p>","50","",""
"","","","","","html-button-response","5","225349","0.0-5.0","2024-11-04T14:50:05.948Z","6_TESTTT","38601","0","restIntro","<p>Als nächstes möchten wir Sie bitten, sich für 3 Minuten auf einen bequemen Stuhl zu setzen. Drücken Sie auf ""Weiter"", wenn Sie bereit sind, machen Sie es sich dann im Stuhl bequem und ruhen Sie sich aus, bis Sie ein Signalton am Ende des dreiminütigen Intervalls hören. Danach können Sie zu diesem Programm zurückkehren, um fortzufahren.</p>","","",""
"","","","","","html-keyboard-response","6","407854","0.0-6.0","2024-11-04T14:50:05.948Z","6_TESTTT","null","null","rest","","","",""
"","","","","","call-function","7","407856","0.0-7.0-0.0","2024-11-04T14:50:05.948Z","6_TESTTT","","","","","","",""
"","","","","","survey","8","528289","0.0-7.0-1.0","2024-11-04T14:50:05.948Z","6_TESTTT","120280","{""PCIRest1"":1,""PCIRest2"":0,""PCIRest3"":3,""PCIRest4"":4,""PCIRest5"":0,""PCIRest6"":6,""PCIRest7"":3,""PCIRest8"":5,""PCIRest9"":4,""PCIRest10"":5,""PCIRest11"":2,""PCIRest12"":0,""PCIRest13"":0,""PCIIntro"":null}","PCIRest","","","",""
"","","","","","call-function","9","528292","0.0-7.0-2.0","2024-11-04T14:50:05.948Z","6_TESTTT","","","","","","",""
"","","","","","instructions","10","573276","0.0-8.0","2024-11-04T14:50:05.948Z","6_TESTTT","44978","","instructions1","","","","[{""page_index"":0,""viewing_time"":44978}]"
"","","","","","html-button-response","11","749645","0.0-9.0","2024-11-04T14:50:05.948Z","6_TESTTT","176349","0","GanzfeldIntro","<p>Bitte sagen Sie dem Versuchsleiter, dass er Ihnen bei der Ganzfeld-Ausrüstung behilflich sein soll. Der Versuchsleiter wird auf ""Weiter"" klicken, wenn Sie bereit sind, um zu beginnen.</p>
            <p>Der Audiopegel für das Ganzfeld kann während der Wiedergabe der unten stehenden Audiodatei angepasst werden.</p>
            <audio controls>
                <source src=""../audio/pinknoise_7min_128.mp3"" type=""audio/mpeg"">
                Your browser does not support the audio element.
            </audio>","","",""
"","","","","","audio-keyboard-response","12","2939766","0.0-10.0","2024-11-04T14:50:05.948Z","6_TESTTT","null","null","GanzfeldPlay","../audio/German_Ganzfeld_Induction_v4.mp3","","",""
"","","","","","call-function","13","2939772","0.0-11.0-0.0","2024-11-04T14:50:05.948Z","6_TESTTT","","","","","","",""
