"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part","stimulus","slider_start","value","view_history","rndSet","rndV1","rndV2","videoA","videoB","videoStimulus"
"true","false","[]","[]","[]","preload","0","15573","0.0-0.0","2024-11-11T13:57:52.515Z","6_sqaev1","","","","","","","","","","","","",""
"","","","","","survey","1","84807","0.0-1.0","2024-11-11T13:57:52.515Z","6_sqaev1","69172","{""testrun"":""Experiment""}","testrun","","","","","","","","","",""
"","","","","","survey-text","2","149944","0.0-2.0","2024-11-11T13:57:52.515Z","6_sqaev1","65018","{""subject_id"":""6_sqaev1""}","welcome","","","","","","","","","",""
"","","","","","html-slider-response","3","167925","0.0-3.0","2024-11-11T13:57:52.515Z","6_sqaev1","17977","53","successBelief","<p>Bevor wir beginnen, möchten wir Sie nach Ihrer Einstellung zum Experiment fragen.</p>
            <p style=""font-weight: bold;"">Wie wahrscheinlich halten Sie es, dass Sie persönlich bei Ihrem heutigen präkognitiven Test erfolgreich sein werden?</p>","50","","","","","","","",""
"","","","","","html-slider-response","4","176021","0.0-4.0","2024-11-11T13:57:52.515Z","6_sqaev1","8092","80","comfortable","<p style=""font-weight: bold;"">Fühlen Sie sich wohl mit dem Ganzfeld-Setup?</p>","50","","","","","","","",""
"","","","","","html-button-response","5","184167","0.0-5.0","2024-11-11T13:57:52.515Z","6_sqaev1","8142","0","restIntro","<p>Als nächstes möchten wir Sie bitten, sich für 3 Minuten auf einen bequemen Stuhl zu setzen. Drücken Sie auf ""Weiter"", wenn Sie bereit sind, machen Sie es sich dann im Stuhl bequem und ruhen Sie sich aus, bis Sie ein Signalton am Ende des dreiminütigen Intervalls hören. Danach können Sie zu diesem Programm zurückkehren, um fortzufahren.</p>","","","","","","","","",""
"","","","","","html-keyboard-response","6","366670","0.0-6.0","2024-11-11T13:57:52.515Z","6_sqaev1","null","null","rest","","","","","","","","","",""
"","","","","","call-function","7","366674","0.0-7.0-0.0","2024-11-11T13:57:52.515Z","6_sqaev1","","","","","","","","","","","","",""
"","","","","","survey","8","557421","0.0-7.0-1.0","2024-11-11T13:57:52.515Z","6_sqaev1","190604","{""PCIRest1"":6,""PCIRest2"":4,""PCIRest3"":0,""PCIRest4"":5,""PCIRest5"":0,""PCIRest6"":2,""PCIRest7"":0,""PCIRest8"":0,""PCIRest9"":2,""PCIRest10"":6,""PCIRest11"":0,""PCIRest12"":4,""PCIRest13"":2,""PCIIntro"":null}","PCIRest","","","","","","","","","",""
"","","","","","call-function","9","557424","0.0-7.0-2.0","2024-11-11T13:57:52.515Z","6_sqaev1","","","","","","","","","","","","",""
"","","","","","instructions","10","577263","0.0-8.0","2024-11-11T13:57:52.515Z","6_sqaev1","19832","","instructions1","","","","[{""page_index"":0,""viewing_time"":19832}]","","","","","",""
"","","","","","html-button-response","11","686024","0.0-9.0","2024-11-11T13:57:52.515Z","6_sqaev1","108737","0","GanzfeldIntro","<p>Bitte sagen Sie dem Versuchsleiter, dass er Ihnen bei der Ganzfeld-Ausrüstung behilflich sein soll. Der Versuchsleiter wird auf ""Weiter"" klicken, wenn Sie bereit sind, um zu beginnen.</p>
            <p>Der Audiopegel für das Ganzfeld kann während der Wiedergabe der unten stehenden Audiodatei angepasst werden.</p>
            <audio controls>
                <source src=""../audio/pinknoise_7min_128.mp3"" type=""audio/mpeg"">
                Your browser does not support the audio element.
            </audio>","","","","","","","","",""
"","","","","","audio-keyboard-response","12","650384","0.0-10.0","2024-11-11T13:57:52.515Z","6_sqaev1","null","null","GanzfeldPlay","../audio/German_Ganzfeld_Induction_v4.mp3","","","","","","","","",""
"","","","","","call-function","13","650388","0.0-11.0-0.0","2024-11-11T13:57:52.515Z","6_sqaev1","","","","","","","","","","","","",""
"","","","","","survey","14","822322","0.0-11.0-1.0","2024-11-11T13:57:52.515Z","6_sqaev1","171726","{""PCIGanz1"":6,""PCIGanz2"":1,""PCIGanz3"":6,""PCIGanz4"":6,""PCIGanz5"":4,""PCIGanz6"":3,""PCIGanz7"":5,""PCIGanz8"":0,""PCIGanz9"":1,""PCIGanz10"":2,""PCIGanz11"":2,""PCIGanz12"":3,""PCIGanz13"":5,""PCIIntro"":null}","PCIGanzfeld","","","","","","","","","",""
"","","","","","call-function","15","822325","0.0-11.0-2.0","2024-11-11T13:57:52.515Z","6_sqaev1","","","","","","","","","","","","",""
"","","","","","survey","16","880290","0.0-12.0","2024-11-11T13:57:52.515Z","6_sqaev1","57909","{""DSSQ"":{""DSSQ01"":2,""DSSQ02"":3,""DSSQ03"":2,""DSSQ04"":1,""DSSQ05"":3,""DSSQ06"":3,""DSSQ07"":3,""DSSQ08"":2},""DSSQIntro"":null}","DSSQ","","","","","","","","","",""
"","","","","","html-slider-response","17","889406","0.0-13.0","2024-11-11T13:57:52.515Z","6_sqaev1","9111","13","time1","<p><i>Bitte beantworten Sie die folgenden beiden Fragen zu Ihren Erfahrungen während der 30 Minuten Ganzfeld.</i></p>
            <p>1. Wie oft haben Sie <b>während der Aufgabe</b> an die Zeit gedacht?</p>","50","","","","","","","",""
"","","","","","html-slider-response","18","897876","0.0-14.0","2024-11-11T13:57:52.515Z","6_sqaev1","8466","82","time2","<p><i>Bitte beantworten Sie die folgenden beiden Fragen zu Ihren Erfahrungen während der 30 Minuten Ganzfeld.</i></p>
            <p>2. Wie schnell verging die Zeit für Sie <b>während der Aufgabe</b>?</p>","50","","","","","","","",""
"","","","","","instructions","19","938084","0.0-15.0","2024-11-11T13:57:52.515Z","6_sqaev1","40205","","instructions2","","","","[{""page_index"":0,""viewing_time"":40205}]","","","","","",""
"","","","","","html-button-response","20","941035","0.0-16.0","2024-11-11T13:57:52.515Z","6_sqaev1","2949","0","videoIntro","<p>Jetzt möchten wir, dass Sie sich zwei kurze Videos ansehen und bewerten, wie ähnlich sie Ihrem Ganzfeld-Erlebnis sind.</p>
            <p>Bitte klicken Sie auf ""Weiter"", wenn Sie bereit sind.</p>","","","","11","1","2","../video/19 B LV-436 Approach.mp4","../video/19 C Flat Block Marina.mp4",""
"true","false","[]","[]","[]","preload","21","941862","0.0-17.0","2024-11-11T13:57:52.515Z","6_sqaev1","","","","","","","","","","","","",""
"","","","","","survey-html-form","22","1135983","0.0-18.0-0.0","2024-11-11T13:57:52.515Z","6_sqaev1","194093","{""ClipA"":""17"",""ClipB"":""24""}","videoRating","","","","","","","","","",""
"","","","","","html-button-response","23","1139979","0.0-19.0","2024-11-11T13:57:52.515Z","6_sqaev1","3992","0","videoTargetIntro","<p>Wir werden jetzt das Zielvideo auswählen.</p><p>Bitte sehen Sie sich das ausgewählte Video ein zweites Mal an.</p>","","","","","","","","","[""../video/19 C Flat Block Marina.mp4""]"
