"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part","stimulus","slider_start","value","view_history","rndSet","rndV1","rndV2","videoA","videoB","videoStimulus"
"true","false","[]","[]","[]","preload","0","26061","0.0-0.0","2024-11-12T10:58:10.704Z","6_1dpuo5","","","","","","","","","","","","",""
"","","","","","survey","1","720439","0.0-1.0","2024-11-12T10:58:10.704Z","6_1dpuo5","694309","{""testrun"":""Experiment""}","testrun","","","","","","","","","",""
"","","","","","survey-text","2","760867","0.0-2.0","2024-11-12T10:58:10.704Z","6_1dpuo5","40311","{""subject_id"":""6_1dpuo5""}","welcome","","","","","","","","","",""
"","","","","","html-slider-response","3","766937","0.0-3.0","2024-11-12T10:58:10.704Z","6_1dpuo5","6064","59","successBelief","<p>Bevor wir beginnen, möchten wir Sie nach Ihrer Einstellung zum Experiment fragen.</p>
            <p style=""font-weight: bold;"">Wie wahrscheinlich halten Sie es, dass Sie persönlich bei Ihrem heutigen präkognitiven Test erfolgreich sein werden?</p>","50","","","","","","","",""
"","","","","","html-slider-response","4","771642","0.0-4.0","2024-11-12T10:58:10.704Z","6_1dpuo5","4702","99","comfortable","<p style=""font-weight: bold;"">Fühlen Sie sich wohl mit dem Ganzfeld-Setup?</p>","50","","","","","","","",""
"","","","","","html-button-response","5","787603","0.0-5.0","2024-11-12T10:58:10.704Z","6_1dpuo5","15956","0","restIntro","<p>Als nächstes möchten wir Sie bitten, sich für 3 Minuten auf einen bequemen Stuhl zu setzen. Drücken Sie auf ""Weiter"", wenn Sie bereit sind, machen Sie es sich dann im Stuhl bequem und ruhen Sie sich aus, bis Sie ein Signalton am Ende des dreiminütigen Intervalls hören. Danach können Sie zu diesem Programm zurückkehren, um fortzufahren.</p>","","","","","","","","",""
"","","","","","html-keyboard-response","6","972302","0.0-6.0","2024-11-12T10:58:10.704Z","6_1dpuo5","null","null","rest","","","","","","","","","",""
"","","","","","call-function","7","972304","0.0-7.0-0.0","2024-11-12T10:58:10.704Z","6_1dpuo5","","","","","","","","","","","","",""
"","","","","","survey","8","1080068","0.0-7.0-1.0","2024-11-12T10:58:10.704Z","6_1dpuo5","107619","{""PCIRest1"":2,""PCIRest2"":1,""PCIRest3"":3,""PCIRest4"":4,""PCIRest5"":0,""PCIRest6"":6,""PCIRest7"":5,""PCIRest8"":4,""PCIRest9"":3,""PCIRest10"":3,""PCIRest11"":1,""PCIRest12"":0,""PCIRest13"":0,""PCIIntro"":null}","PCIRest","","","","","","","","","",""
"","","","","","call-function","9","1080072","0.0-7.0-2.0","2024-11-12T10:58:10.704Z","6_1dpuo5","","","","","","","","","","","","",""
