"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part","stimulus","slider_start","value","view_history","rndSet","rndV1","rndV2","videoA","videoB","videoStimulus"
"true","false","[]","[]","[]","preload","0","25139","0.0-0.0","2024-11-12T12:50:58.838Z","6_p99xja","","","","","","","","","","","","",""
"","","","","","survey","1","369351","0.0-1.0","2024-11-12T12:50:58.838Z","6_p99xja","344141","{""testrun"":""Experiment""}","testrun","","","","","","","","","",""
"","","","","","survey-text","2","422052","0.0-2.0","2024-11-12T12:50:58.838Z","6_p99xja","52566","{""subject_id"":""6_p99xja""}","welcome","","","","","","","","","",""
"","","","","","html-slider-response","3","429365","0.0-3.0","2024-11-12T12:50:58.838Z","6_p99xja","7307","64","successBelief","<p>Bevor wir beginnen, möchten wir Sie nach Ihrer Einstellung zum Experiment fragen.</p>
            <p style=""font-weight: bold;"">Wie wahrscheinlich halten Sie es, dass Sie persönlich bei Ihrem heutigen präkognitiven Test erfolgreich sein werden?</p>","50","","","","","","","",""
"","","","","","html-slider-response","4","433830","0.0-4.0","2024-11-12T12:50:58.838Z","6_p99xja","4460","100","comfortable","<p style=""font-weight: bold;"">Fühlen Sie sich wohl mit dem Ganzfeld-Setup?</p>","50","","","","","","","",""
"","","","","","html-button-response","5","465837","0.0-5.0","2024-11-12T12:50:58.838Z","6_p99xja","32004","0","restIntro","<p>Als nächstes möchten wir Sie bitten, sich für 3 Minuten auf einen bequemen Stuhl zu setzen. Drücken Sie auf ""Weiter"", wenn Sie bereit sind, machen Sie es sich dann im Stuhl bequem und ruhen Sie sich aus, bis Sie ein Signalton am Ende des dreiminütigen Intervalls hören. Danach können Sie zu diesem Programm zurückkehren, um fortzufahren.</p>","","","","","","","","",""
"","","","","","html-keyboard-response","6","648340","0.0-6.0","2024-11-12T12:50:58.838Z","6_p99xja","null","null","rest","","","","","","","","","",""
"","","","","","call-function","7","648343","0.0-7.0-0.0","2024-11-12T12:50:58.838Z","6_p99xja","","","","","","","","","","","","",""
"","","","","","survey","8","807986","0.0-7.0-1.0","2024-11-12T12:50:58.838Z","6_p99xja","159497","{""PCIRest1"":5,""PCIRest2"":4,""PCIRest3"":2,""PCIRest4"":5,""PCIRest5"":3,""PCIRest6"":1,""PCIRest7"":2,""PCIRest8"":2,""PCIRest9"":2,""PCIRest10"":5,""PCIRest11"":3,""PCIRest12"":5,""PCIRest13"":3,""PCIIntro"":null}","PCIRest","","","","","","","","","",""
"","","","","","call-function","9","807990","0.0-7.0-2.0","2024-11-12T12:50:58.838Z","6_p99xja","","","","","","","","","","","","",""
"","","","","","instructions","10","906075","0.0-8.0","2024-11-12T12:50:58.838Z","6_p99xja","98078","","instructions1","","","","[{""page_index"":0,""viewing_time"":98078}]","","","","","",""
"","","","","","html-button-response","11","1071848","0.0-9.0","2024-11-12T12:50:58.838Z","6_p99xja","165714","0","GanzfeldIntro","<p>Bitte sagen Sie dem Versuchsleiter, dass er Ihnen bei der Ganzfeld-Ausrüstung behilflich sein soll. Der Versuchsleiter wird auf ""Weiter"" klicken, wenn Sie bereit sind, um zu beginnen.</p>
            <p>Der Audiopegel für das Ganzfeld kann während der Wiedergabe der unten stehenden Audiodatei angepasst werden.</p>
            <audio controls>
                <source src=""../audio/pinknoise_7min_128.mp3"" type=""audio/mpeg"">
                Your browser does not support the audio element.
            </audio>","","","","","","","","",""
"","","","","","audio-keyboard-response","12","3261966","0.0-10.0","2024-11-12T12:50:58.838Z","6_p99xja","null","null","GanzfeldPlay","../audio/German_Ganzfeld_Induction_v4.mp3","","","","","","","","",""
"","","","","","call-function","13","3261969","0.0-11.0-0.0","2024-11-12T12:50:58.838Z","6_p99xja","","","","","","","","","","","","",""
"","","","","","survey","14","3469743","0.0-11.0-1.0","2024-11-12T12:50:58.838Z","6_p99xja","207604","{""PCIGanz1"":5,""PCIGanz2"":6,""PCIGanz3"":3,""PCIGanz4"":6,""PCIGanz5"":4,""PCIGanz6"":1,""PCIGanz7"":3,""PCIGanz8"":1,""PCIGanz9"":1,""PCIGanz10"":2,""PCIGanz11"":4,""PCIGanz12"":5,""PCIGanz13"":4,""PCIIntro"":null}","PCIGanzfeld","","","","","","","","","",""
"","","","","","call-function","15","3469749","0.0-11.0-2.0","2024-11-12T12:50:58.838Z","6_p99xja","","","","","","","","","","","","",""
"","","","","","survey","16","3540704","0.0-12.0","2024-11-12T12:50:58.838Z","6_p99xja","70873","{""DSSQ"":{""DSSQ01"":3,""DSSQ02"":3,""DSSQ03"":2,""DSSQ04"":1,""DSSQ05"":3,""DSSQ06"":1,""DSSQ07"":1,""DSSQ08"":1},""DSSQIntro"":null}","DSSQ","","","","","","","","","",""
"","","","","","html-slider-response","17","3550966","0.0-13.0","2024-11-12T12:50:58.838Z","6_p99xja","10256","20","time1","<p><i>Bitte beantworten Sie die folgenden beiden Fragen zu Ihren Erfahrungen während der 30 Minuten Ganzfeld.</i></p>
            <p>1. Wie oft haben Sie <b>während der Aufgabe</b> an die Zeit gedacht?</p>","50","","","","","","","",""
"","","","","","html-slider-response","18","3561870","0.0-14.0","2024-11-12T12:50:58.838Z","6_p99xja","10900","61","time2","<p><i>Bitte beantworten Sie die folgenden beiden Fragen zu Ihren Erfahrungen während der 30 Minuten Ganzfeld.</i></p>
            <p>2. Wie schnell verging die Zeit für Sie <b>während der Aufgabe</b>?</p>","50","","","","","","","",""
"","","","","","instructions","19","3672318","0.0-15.0","2024-11-12T12:50:58.838Z","6_p99xja","110445","","instructions2","","","","[{""page_index"":0,""viewing_time"":110444}]","","","","","",""
"","","","","","html-button-response","20","3676814","0.0-16.0","2024-11-12T12:50:58.838Z","6_p99xja","4492","0","videoIntro","<p>Jetzt möchten wir, dass Sie sich zwei kurze Videos ansehen und bewerten, wie ähnlich sie Ihrem Ganzfeld-Erlebnis sind.</p>
            <p>Bitte klicken Sie auf ""Weiter"", wenn Sie bereit sind.</p>","","","","17","3","2","../video/25 D Pyramid Flyby.mp4","../video/25 C Goldfish.mp4",""
"true","false","[]","[]","[]","preload","21","3677958","0.0-17.0","2024-11-12T12:50:58.838Z","6_p99xja","","","","","","","","","","","","",""
"","","","","","survey-html-form","22","3830723","0.0-18.0-0.0","2024-11-12T12:50:58.838Z","6_p99xja","152735","{""ClipA"":""90"",""ClipB"":""10""}","videoRating","","","","","","","","","",""
