"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part","stimulus","slider_start","value","view_history"
"true","false","[]","[]","[]","preload","0","20234","0.0-0.0","2024-11-20T09:17:25.844Z","6_aggvcb","","","","","","",""
"","","","","","survey","1","1199902","0.0-1.0","2024-11-20T09:17:25.844Z","6_aggvcb","1179544","{""testrun"":""Experiment""}","testrun","","","",""
"","","","","","survey-text","2","1251274","0.0-2.0","2024-11-20T09:17:25.844Z","6_aggvcb","51230","{""subject_id"":""6_aggvcb""}","welcome","","","",""
"","","","","","html-slider-response","3","1288324","0.0-3.0","2024-11-20T09:17:25.844Z","6_aggvcb","37045","68","successBelief","<p>Bevor wir beginnen, möchten wir Sie nach Ihrer Einstellung zum Experiment fragen.</p>
            <p style=""font-weight: bold;"">Wie wahrscheinlich halten Sie es, dass Sie persönlich bei Ihrem heutigen präkognitiven Test erfolgreich sein werden?</p>","50","",""
"","","","","","html-slider-response","4","1293276","0.0-4.0","2024-11-20T09:17:25.844Z","6_aggvcb","4948","90","comfortable","<p style=""font-weight: bold;"">Fühlen Sie sich wohl mit dem Ganzfeld-Setup?</p>","50","",""
"","","","","","html-button-response","5","1316728","0.0-5.0","2024-11-20T09:17:25.844Z","6_aggvcb","23449","0","restIntro","<p>Als nächstes möchten wir Sie bitten, sich für 3 Minuten auf einen bequemen Stuhl zu setzen. Drücken Sie auf ""Weiter"", wenn Sie bereit sind, machen Sie es sich dann im Stuhl bequem und ruhen Sie sich aus, bis Sie ein Signalton am Ende des dreiminütigen Intervalls hören. Danach können Sie zu diesem Programm zurückkehren, um fortzufahren.</p>","","",""
"","","","","","html-keyboard-response","6","1499240","0.0-6.0","2024-11-20T09:17:25.844Z","6_aggvcb","null","null","rest","","","",""
"","","","","","call-function","7","1499242","0.0-7.0-0.0","2024-11-20T09:17:25.844Z","6_aggvcb","","","","","","",""
"","","","","","survey","8","1657444","0.0-7.0-1.0","2024-11-20T09:17:25.844Z","6_aggvcb","158046","{""PCIRest1"":4,""PCIRest2"":2,""PCIRest3"":4,""PCIRest4"":5,""PCIRest5"":1,""PCIRest6"":6,""PCIRest7"":4,""PCIRest8"":2,""PCIRest9"":1,""PCIRest10"":5,""PCIRest11"":1,""PCIRest12"":0,""PCIRest13"":1,""PCIIntro"":null}","PCIRest","","","",""
"","","","","","call-function","9","1657447","0.0-7.0-2.0","2024-11-20T09:17:25.844Z","6_aggvcb","","","","","","",""
"","","","","","instructions","10","1716302","0.0-8.0","2024-11-20T09:17:25.844Z","6_aggvcb","58848","","instructions1","","","","[{""page_index"":0,""viewing_time"":58848}]"
"","","","","","html-button-response","11","1837735","0.0-9.0","2024-11-20T09:17:25.844Z","6_aggvcb","121364","0","GanzfeldIntro","<p>Bitte sagen Sie dem Versuchsleiter, dass er Ihnen bei der Ganzfeld-Ausrüstung behilflich sein soll. Der Versuchsleiter wird auf ""Weiter"" klicken, wenn Sie bereit sind, um zu beginnen.</p>
            <p>Der Audiopegel für das Ganzfeld kann während der Wiedergabe der unten stehenden Audiodatei angepasst werden.</p>
            <audio controls>
                <source src=""../audio/pinknoise_7min_128.mp3"" type=""audio/mpeg"">
                Your browser does not support the audio element.
            </audio>","","",""
