"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part","stimulus","slider_start","value","view_history","rndSet","rndV1","rndV2","videoA","videoB","videoStimulus"
"true","false","[]","[]","[]","preload","0","21855","0.0-0.0","2024-11-20T10:39:40.255Z","6_0uull9","","","","","","","","","","","","",""
"","","","","","survey","1","2597930","0.0-1.0","2024-11-20T10:39:40.255Z","6_0uull9","2579290","{""testrun"":""Experiment""}","testrun","","","","","","","","","",""
"","","","","","survey-text","2","2619532","0.0-2.0","2024-11-20T10:39:40.255Z","6_0uull9","21479","{""subject_id"":""6_0uull9""}","welcome","","","","","","","","","",""
"","","","","","html-slider-response","3","2668912","0.0-3.0","2024-11-20T10:39:40.255Z","6_0uull9","49376","84","successBelief","<p>Bevor wir beginnen, möchten wir Sie nach Ihrer Einstellung zum Experiment fragen.</p>
            <p style=""font-weight: bold;"">Wie wahrscheinlich halten Sie es, dass Sie persönlich bei Ihrem heutigen präkognitiven Test erfolgreich sein werden?</p>","50","","","","","","","",""
"","","","","","html-slider-response","4","2674127","0.0-4.0","2024-11-20T10:39:40.255Z","6_0uull9","5211","86","comfortable","<p style=""font-weight: bold;"">Fühlen Sie sich wohl mit dem Ganzfeld-Setup?</p>","50","","","","","","","",""
"","","","","","html-button-response","5","2685263","0.0-5.0","2024-11-20T10:39:40.255Z","6_0uull9","11133","0","restIntro","<p>Als nächstes möchten wir Sie bitten, sich für 3 Minuten auf einen bequemen Stuhl zu setzen. Drücken Sie auf ""Weiter"", wenn Sie bereit sind, machen Sie es sich dann im Stuhl bequem und ruhen Sie sich aus, bis Sie ein Signalton am Ende des dreiminütigen Intervalls hören. Danach können Sie zu diesem Programm zurückkehren, um fortzufahren.</p>","","","","","","","","",""
"","","","","","html-keyboard-response","6","2867767","0.0-6.0","2024-11-20T10:39:40.255Z","6_0uull9","null","null","rest","","","","","","","","","",""
"","","","","","call-function","7","2867769","0.0-7.0-0.0","2024-11-20T10:39:40.255Z","6_0uull9","","","","","","","","","","","","",""
"","","","","","survey","8","3044112","0.0-7.0-1.0","2024-11-20T10:39:40.255Z","6_0uull9","176179","{""PCIRest1"":5,""PCIRest2"":2,""PCIRest3"":5,""PCIRest4"":6,""PCIRest5"":4,""PCIRest6"":5,""PCIRest7"":2,""PCIRest8"":3,""PCIRest9"":0,""PCIRest10"":0,""PCIRest11"":1,""PCIRest12"":0,""PCIRest13"":0,""PCIIntro"":null}","PCIRest","","","","","","","","","",""
"","","","","","call-function","9","3044115","0.0-7.0-2.0","2024-11-20T10:39:40.255Z","6_0uull9","","","","","","","","","","","","",""
"","","","","","instructions","10","3127575","0.0-8.0","2024-11-20T10:39:40.255Z","6_0uull9","83455","","instructions1","","","","[{""page_index"":0,""viewing_time"":83455}]","","","","","",""
