"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part","stimulus","slider_start","value","view_history","rndSet","rndV1","rndV2","videoA","videoB","videoStimulus"
"true","false","[]","[]","[]","preload","0","19697","0.0-0.0","2024-11-20T12:27:58.648Z","6_cm2jsy","","","","","","","","","","","","",""
"","","","","","survey","1","695778","0.0-1.0","2024-11-20T12:27:58.648Z","6_cm2jsy","676020","{""testrun"":""Experiment""}","testrun","","","","","","","","","",""
"","","","","","survey-text","2","720057","0.0-2.0","2024-11-20T12:27:58.648Z","6_cm2jsy","24156","{""subject_id"":""6_cm2jsy""}","welcome","","","","","","","","","",""
"","","","","","html-slider-response","3","735876","0.0-3.0","2024-11-20T12:27:58.648Z","6_cm2jsy","15814","8","successBelief","<p>Bevor wir beginnen, möchten wir Sie nach Ihrer Einstellung zum Experiment fragen.</p>
            <p style=""font-weight: bold;"">Wie wahrscheinlich halten Sie es, dass Sie persönlich bei Ihrem heutigen präkognitiven Test erfolgreich sein werden?</p>","50","","","","","","","",""
"","","","","","html-slider-response","4","742558","0.0-4.0","2024-11-20T12:27:58.648Z","6_cm2jsy","6676","66","comfortable","<p style=""font-weight: bold;"">Fühlen Sie sich wohl mit dem Ganzfeld-Setup?</p>","50","","","","","","","",""
"","","","","","html-button-response","5","745700","0.0-5.0","2024-11-20T12:27:58.648Z","6_cm2jsy","3140","0","restIntro","<p>Als nächstes möchten wir Sie bitten, sich für 3 Minuten auf einen bequemen Stuhl zu setzen. Drücken Sie auf ""Weiter"", wenn Sie bereit sind, machen Sie es sich dann im Stuhl bequem und ruhen Sie sich aus, bis Sie ein Signalton am Ende des dreiminütigen Intervalls hören. Danach können Sie zu diesem Programm zurückkehren, um fortzufahren.</p>","","","","","","","","",""
"","","","","","html-keyboard-response","6","928204","0.0-6.0","2024-11-20T12:27:58.648Z","6_cm2jsy","null","null","rest","","","","","","","","","",""
"","","","","","call-function","7","928206","0.0-7.0-0.0","2024-11-20T12:27:58.648Z","6_cm2jsy","","","","","","","","","","","","",""
"","","","","","survey","8","1072914","0.0-7.0-1.0","2024-11-20T12:27:58.648Z","6_cm2jsy","144544","{""PCIRest1"":3,""PCIRest2"":1,""PCIRest3"":5,""PCIRest4"":4,""PCIRest5"":2,""PCIRest6"":4,""PCIRest7"":5,""PCIRest8"":1,""PCIRest9"":2,""PCIRest10"":5,""PCIRest11"":0,""PCIRest12"":2,""PCIRest13"":2,""PCIIntro"":null}","PCIRest","","","","","","","","","",""
"","","","","","call-function","9","1072918","0.0-7.0-2.0","2024-11-20T12:27:58.648Z","6_cm2jsy","","","","","","","","","","","","",""
"","","","","","instructions","10","1166323","0.0-8.0","2024-11-20T12:27:58.648Z","6_cm2jsy","93401","","instructions1","","","","[{""page_index"":0,""viewing_time"":93401}]","","","","","",""
