"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part","stimulus","slider_start","value","view_history","rndSet","rndV1","rndV2","videoA","videoB","videoStimulus"
"true","false","[]","[]","[]","preload","0","25039","0.0-0.0","2024-11-22T08:48:19.836Z","6_mpbgc1","","","","","","","","","","","","",""
"","","","","","survey","1","1161624","0.0-1.0","2024-11-22T08:48:19.836Z","6_mpbgc1","1136515","{""testrun"":""Experiment""}","testrun","","","","","","","","","",""
"","","","","","survey-text","2","1240372","0.0-2.0","2024-11-22T08:48:19.836Z","6_mpbgc1","78621","{""subject_id"":""6_mpbgc1""}","welcome","","","","","","","","","",""
"","","","","","html-slider-response","3","1254840","0.0-3.0","2024-11-22T08:48:19.836Z","6_mpbgc1","14464","63","successBelief","<p>Bevor wir beginnen, möchten wir Sie nach Ihrer Einstellung zum Experiment fragen.</p>
            <p style=""font-weight: bold;"">Wie wahrscheinlich halten Sie es, dass Sie persönlich bei Ihrem heutigen präkognitiven Test erfolgreich sein werden?</p>","50","","","","","","","",""
"","","","","","html-slider-response","4","1260418","0.0-4.0","2024-11-22T08:48:19.836Z","6_mpbgc1","5574","87","comfortable","<p style=""font-weight: bold;"">Fühlen Sie sich wohl mit dem Ganzfeld-Setup?</p>","50","","","","","","","",""
"","","","","","html-button-response","5","1376784","0.0-5.0","2024-11-22T08:48:19.836Z","6_mpbgc1","116363","0","restIntro","<p>Als nächstes möchten wir Sie bitten, sich für 3 Minuten auf einen bequemen Stuhl zu setzen. Drücken Sie auf ""Weiter"", wenn Sie bereit sind, machen Sie es sich dann im Stuhl bequem und ruhen Sie sich aus, bis Sie ein Signalton am Ende des dreiminütigen Intervalls hören. Danach können Sie zu diesem Programm zurückkehren, um fortzufahren.</p>","","","","","","","","",""
"","","","","","html-keyboard-response","6","1559290","0.0-6.0","2024-11-22T08:48:19.836Z","6_mpbgc1","null","null","rest","","","","","","","","","",""
"","","","","","call-function","7","1559292","0.0-7.0-0.0","2024-11-22T08:48:19.836Z","6_mpbgc1","","","","","","","","","","","","",""
"","","","","","survey","8","1694978","0.0-7.0-1.0","2024-11-22T08:48:19.836Z","6_mpbgc1","135546","{""PCIRest1"":4,""PCIRest2"":3,""PCIRest3"":2,""PCIRest4"":5,""PCIRest5"":2,""PCIRest6"":3,""PCIRest7"":2,""PCIRest8"":2,""PCIRest9"":2,""PCIRest10"":5,""PCIRest11"":2,""PCIRest12"":4,""PCIRest13"":2,""PCIIntro"":null}","PCIRest","","","","","","","","","",""
"","","","","","call-function","9","1694982","0.0-7.0-2.0","2024-11-22T08:48:19.836Z","6_mpbgc1","","","","","","","","","","","","",""
"","","","","","instructions","10","1895385","0.0-8.0","2024-11-22T08:48:19.836Z","6_mpbgc1","200396","","instructions1","","","","[{""page_index"":0,""viewing_time"":200396}]","","","","","",""
"","","","","","html-button-response","11","1897585","0.0-9.0","2024-11-22T08:48:19.836Z","6_mpbgc1","2142","0","GanzfeldIntro","<p>Bitte sagen Sie dem Versuchsleiter, dass er Ihnen bei der Ganzfeld-Ausrüstung behilflich sein soll. Der Versuchsleiter wird auf ""Weiter"" klicken, wenn Sie bereit sind, um zu beginnen.</p>
            <p>Der Audiopegel für das Ganzfeld kann während der Wiedergabe der unten stehenden Audiodatei angepasst werden.</p>
            <audio controls>
                <source src=""../audio/pinknoise_7min_128.mp3"" type=""audio/mpeg"">
                Your browser does not support the audio element.
            </audio>","","","","","","","","",""
"","","","","","audio-keyboard-response","12","4087708","0.0-10.0","2024-11-22T08:48:19.836Z","6_mpbgc1","null","null","GanzfeldPlay","../audio/German_Ganzfeld_Induction_v4.mp3","","","","","","","","",""
"","","","","","call-function","13","4087711","0.0-11.0-0.0","2024-11-22T08:48:19.836Z","6_mpbgc1","","","","","","","","","","","","",""
"","","","","","survey","14","4240746","0.0-11.0-1.0","2024-11-22T08:48:19.836Z","6_mpbgc1","152862","{""PCIGanz1"":5,""PCIGanz2"":6,""PCIGanz3"":4,""PCIGanz4"":6,""PCIGanz5"":5,""PCIGanz6"":0,""PCIGanz7"":3,""PCIGanz8"":0,""PCIGanz9"":0,""PCIGanz10"":2,""PCIGanz11"":4,""PCIGanz12"":5,""PCIGanz13"":5,""PCIIntro"":null}","PCIGanzfeld","","","","","","","","","",""
"","","","","","call-function","15","4240752","0.0-11.0-2.0","2024-11-22T08:48:19.836Z","6_mpbgc1","","","","","","","","","","","","",""
