"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part","stimulus","slider_start","value","view_history","rndSet","rndV1","rndV2","videoA","videoB","videoStimulus"
"true","false","[]","[]","[]","preload","0","17822","0.0-0.0","2024-11-22T11:39:49.178Z","6_5fyu6y","","","","","","","","","","","","",""
"","","","","","survey","1","63891","0.0-1.0","2024-11-22T11:39:49.178Z","6_5fyu6y","46007","{""testrun"":""Experiment""}","testrun","","","","","","","","","",""
"","","","","","survey-text","2","1970099","0.0-2.0","2024-11-22T11:39:49.178Z","6_5fyu6y","1906080","{""subject_id"":""6_5fyu6y""}","welcome","","","","","","","","","",""
"","","","","","html-slider-response","3","1980164","0.0-3.0","2024-11-22T11:39:49.178Z","6_5fyu6y","10057","16","successBelief","<p>Bevor wir beginnen, möchten wir Sie nach Ihrer Einstellung zum Experiment fragen.</p>
            <p style=""font-weight: bold;"">Wie wahrscheinlich halten Sie es, dass Sie persönlich bei Ihrem heutigen präkognitiven Test erfolgreich sein werden?</p>","50","","","","","","","",""
"","","","","","html-slider-response","4","1985469","0.0-4.0","2024-11-22T11:39:49.178Z","6_5fyu6y","5301","83","comfortable","<p style=""font-weight: bold;"">Fühlen Sie sich wohl mit dem Ganzfeld-Setup?</p>","50","","","","","","","",""
"","","","","","html-button-response","5","2003398","0.0-5.0","2024-11-22T11:39:49.178Z","6_5fyu6y","17925","0","restIntro","<p>Als nächstes möchten wir Sie bitten, sich für 3 Minuten auf einen bequemen Stuhl zu setzen. Drücken Sie auf ""Weiter"", wenn Sie bereit sind, machen Sie es sich dann im Stuhl bequem und ruhen Sie sich aus, bis Sie ein Signalton am Ende des dreiminütigen Intervalls hören. Danach können Sie zu diesem Programm zurückkehren, um fortzufahren.</p>","","","","","","","","",""
"","","","","","html-keyboard-response","6","2190451","0.0-6.0","2024-11-22T11:39:49.178Z","6_5fyu6y","null","null","rest","","","","","","","","","",""
"","","","","","call-function","7","2190452","0.0-7.0-0.0","2024-11-22T11:39:49.178Z","6_5fyu6y","","","","","","","","","","","","",""
"","","","","","survey","8","2427099","0.0-7.0-1.0","2024-11-22T11:39:49.178Z","6_5fyu6y","236497","{""PCIRest1"":2,""PCIRest2"":3,""PCIRest3"":5,""PCIRest4"":4,""PCIRest5"":1,""PCIRest6"":3,""PCIRest7"":5,""PCIRest8"":2,""PCIRest9"":2,""PCIRest10"":5,""PCIRest11"":1,""PCIRest12"":3,""PCIRest13"":1,""PCIIntro"":null}","PCIRest","","","","","","","","","",""
"","","","","","call-function","9","2427102","0.0-7.0-2.0","2024-11-22T11:39:49.178Z","6_5fyu6y","","","","","","","","","","","","",""
"","","","","","instructions","10","2629588","0.0-8.0","2024-11-22T11:39:49.178Z","6_5fyu6y","202479","","instructions1","","","","[{""page_index"":0,""viewing_time"":202479}]","","","","","",""
"","","","","","html-button-response","11","2651368","0.0-9.0","2024-11-22T11:39:49.178Z","6_5fyu6y","21722","0","GanzfeldIntro","<p>Bitte sagen Sie dem Versuchsleiter, dass er Ihnen bei der Ganzfeld-Ausrüstung behilflich sein soll. Der Versuchsleiter wird auf ""Weiter"" klicken, wenn Sie bereit sind, um zu beginnen.</p>
            <p>Der Audiopegel für das Ganzfeld kann während der Wiedergabe der unten stehenden Audiodatei angepasst werden.</p>
            <audio controls>
                <source src=""../audio/pinknoise_7min_128.mp3"" type=""audio/mpeg"">
                Your browser does not support the audio element.
            </audio>","","","","","","","","",""
"","","","","","audio-keyboard-response","12","4841484","0.0-10.0","2024-11-22T11:39:49.178Z","6_5fyu6y","null","null","GanzfeldPlay","../audio/German_Ganzfeld_Induction_v4.mp3","","","","","","","","",""
"","","","","","call-function","13","4841486","0.0-11.0-0.0","2024-11-22T11:39:49.178Z","6_5fyu6y","","","","","","","","","","","","",""
"","","","","","survey","14","4976719","0.0-11.0-1.0","2024-11-22T11:39:49.178Z","6_5fyu6y","135058","{""PCIGanz1"":6,""PCIGanz2"":2,""PCIGanz3"":0,""PCIGanz4"":5,""PCIGanz5"":5,""PCIGanz6"":5,""PCIGanz7"":1,""PCIGanz8"":1,""PCIGanz9"":2,""PCIGanz10"":2,""PCIGanz11"":4,""PCIGanz12"":2,""PCIGanz13"":4,""PCIIntro"":null}","PCIGanzfeld","","","","","","","","","",""
"","","","","","call-function","15","4976723","0.0-11.0-2.0","2024-11-22T11:39:49.178Z","6_5fyu6y","","","","","","","","","","","","",""
"","","","","","survey","16","5031713","0.0-12.0","2024-11-22T11:39:49.178Z","6_5fyu6y","54907","{""DSSQ"":{""DSSQ02"":3,""DSSQ01"":3,""DSSQ03"":1,""DSSQ04"":2,""DSSQ05"":1,""DSSQ06"":2,""DSSQ07"":1,""DSSQ08"":2},""DSSQIntro"":null}","DSSQ","","","","","","","","","",""
"","","","","","html-slider-response","17","5037851","0.0-13.0","2024-11-22T11:39:49.178Z","6_5fyu6y","6131","53","time1","<p><i>Bitte beantworten Sie die folgenden beiden Fragen zu Ihren Erfahrungen während der 30 Minuten Ganzfeld.</i></p>
            <p>1. Wie oft haben Sie <b>während der Aufgabe</b> an die Zeit gedacht?</p>","50","","","","","","","",""
"","","","","","html-slider-response","18","5042758","0.0-14.0","2024-11-22T11:39:49.178Z","6_5fyu6y","4904","75","time2","<p><i>Bitte beantworten Sie die folgenden beiden Fragen zu Ihren Erfahrungen während der 30 Minuten Ganzfeld.</i></p>
            <p>2. Wie schnell verging die Zeit für Sie <b>während der Aufgabe</b>?</p>","50","","","","","","","",""
"","","","","","instructions","19","5173243","0.0-15.0","2024-11-22T11:39:49.178Z","6_5fyu6y","130482","","instructions2","","","","[{""page_index"":0,""viewing_time"":130481}]","","","","","",""
"","","","","","html-button-response","20","5175876","0.0-16.0","2024-11-22T11:39:49.178Z","6_5fyu6y","2628","0","videoIntro","<p>Jetzt möchten wir, dass Sie sich zwei kurze Videos ansehen und bewerten, wie ähnlich sie Ihrem Ganzfeld-Erlebnis sind.</p>
            <p>Bitte klicken Sie auf ""Weiter"", wenn Sie bereit sind.</p>","","","","5","3","2","../video/13 D Meeting the Devil.mp4","../video/13 C The Third Man.mp4",""
