"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part","stimulus","slider_start","value","view_history","rndSet","rndV1","rndV2","videoA","videoB","videoStimulus"
"true","false","[]","[]","[]","preload","0","5968","0.0-0.0","2024-11-22T12:42:15.805Z","5_q3vhyy","","","","","","","","","","","","",""
"","","","","","survey","1","8837","0.0-1.0","2024-11-22T12:42:15.805Z","5_q3vhyy","2846","{""testrun"":""Experiment""}","testrun","","","","","","","","","",""
"","","","","","survey-text","2","47368","0.0-2.0","2024-11-22T12:42:15.805Z","5_q3vhyy","38522","{""subject_id"":""5_q3vhyy""}","welcome","","","","","","","","","",""
"","","","","","html-slider-response","3","64920","0.0-3.0","2024-11-22T12:42:15.805Z","5_q3vhyy","17550","61","successBelief","<p>Bevor wir beginnen, möchten wir Sie nach Ihrer Einstellung zum Experiment fragen.</p>
            <p style=""font-weight: bold;"">Wie wahrscheinlich halten Sie es, dass Sie persönlich bei Ihrem heutigen präkognitiven Test erfolgreich sein werden?</p>","50","","","","","","","",""
"","","","","","html-slider-response","4","71504","0.0-4.0","2024-11-22T12:42:15.805Z","5_q3vhyy","6583","60","comfortable","<p style=""font-weight: bold;"">Fühlen Sie sich wohl mit dem Ganzfeld-Setup?</p>","50","","","","","","","",""
"","","","","","html-button-response","5","95928","0.0-5.0","2024-11-22T12:42:15.805Z","5_q3vhyy","24423","0","restIntro","<p>Als nächstes möchten wir Sie bitten, sich für 3 Minuten auf einen bequemen Stuhl zu setzen. Drücken Sie auf ""Weiter"", wenn Sie bereit sind, machen Sie es sich dann im Stuhl bequem und ruhen Sie sich aus, bis Sie ein Signalton am Ende des dreiminütigen Intervalls hören. Danach können Sie zu diesem Programm zurückkehren, um fortzufahren.</p>","","","","","","","","",""
"","","","","","html-keyboard-response","6","278443","0.0-6.0","2024-11-22T12:42:15.805Z","5_q3vhyy","null","null","rest","","","","","","","","","",""
"","","","","","call-function","7","278447","0.0-7.0-0.0","2024-11-22T12:42:15.805Z","5_q3vhyy","","","","","","","","","","","","",""
"","","","","","survey","8","480301","0.0-7.0-1.0","2024-11-22T12:42:15.805Z","5_q3vhyy","201820","{""PCIRest1"":4,""PCIRest2"":2,""PCIRest3"":5,""PCIRest4"":4,""PCIRest5"":4,""PCIRest6"":5,""PCIRest7"":4,""PCIRest8"":2,""PCIRest9"":2,""PCIRest10"":2,""PCIRest11"":2,""PCIRest12"":2,""PCIRest13"":4,""PCIIntro"":null}","PCIRest","","","","","","","","","",""
"","","","","","call-function","9","480302","0.0-7.0-2.0","2024-11-22T12:42:15.805Z","5_q3vhyy","","","","","","","","","","","","",""
