"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part","stimulus","slider_start","value","view_history","rndSet","rndV1","rndV2","videoA","videoB","videoStimulus"
"true","false","[]","[]","[]","preload","0","19193","0.0-0.0","2024-11-25T13:20:48.992Z","6_k2lp33","","","","","","","","","","","","",""
"","","","","","survey","1","33746","0.0-1.0","2024-11-25T13:20:48.992Z","6_k2lp33","14499","{""testrun"":""Experiment""}","testrun","","","","","","","","","",""
"","","","","","survey-text","2","1249501","0.0-2.0","2024-11-25T13:20:48.992Z","6_k2lp33","1215628","{""subject_id"":""6_k2lp33""}","welcome","","","","","","","","","",""
"","","","","","html-slider-response","3","1262178","0.0-3.0","2024-11-25T13:20:48.992Z","6_k2lp33","12671","39","successBelief","<p>Bevor wir beginnen, möchten wir Sie nach Ihrer Einstellung zum Experiment fragen.</p>
            <p style=""font-weight: bold;"">Wie wahrscheinlich halten Sie es, dass Sie persönlich bei Ihrem heutigen präkognitiven Test erfolgreich sein werden?</p>","50","","","","","","","",""
"","","","","","html-slider-response","4","1267859","0.0-4.0","2024-11-25T13:20:48.992Z","6_k2lp33","5678","62","comfortable","<p style=""font-weight: bold;"">Fühlen Sie sich wohl mit dem Ganzfeld-Setup?</p>","50","","","","","","","",""
"","","","","","html-button-response","5","1277025","0.0-5.0","2024-11-25T13:20:48.992Z","6_k2lp33","9163","0","restIntro","<p>Als nächstes möchten wir Sie bitten, sich für 3 Minuten auf einen bequemen Stuhl zu setzen. Drücken Sie auf ""Weiter"", wenn Sie bereit sind, machen Sie es sich dann im Stuhl bequem und ruhen Sie sich aus, bis Sie ein Signalton am Ende des dreiminütigen Intervalls hören. Danach können Sie zu diesem Programm zurückkehren, um fortzufahren.</p>","","","","","","","","",""
"","","","","","html-keyboard-response","6","1459529","0.0-6.0","2024-11-25T13:20:48.992Z","6_k2lp33","null","null","rest","","","","","","","","","",""
"","","","","","call-function","7","1459532","0.0-7.0-0.0","2024-11-25T13:20:48.992Z","6_k2lp33","","","","","","","","","","","","",""
"","","","","","survey","8","1548325","0.0-7.0-1.0","2024-11-25T13:20:48.992Z","6_k2lp33","88642","{""PCIRest1"":2,""PCIRest2"":4,""PCIRest3"":1,""PCIRest4"":6,""PCIRest5"":5,""PCIRest6"":2,""PCIRest7"":1,""PCIRest8"":3,""PCIRest9"":2,""PCIRest10"":2,""PCIRest11"":4,""PCIRest12"":4,""PCIRest13"":4,""PCIIntro"":null}","PCIRest","","","","","","","","","",""
"","","","","","call-function","9","1548330","0.0-7.0-2.0","2024-11-25T13:20:48.992Z","6_k2lp33","","","","","","","","","","","","",""
"","","","","","instructions","10","1613600","0.0-8.0","2024-11-25T13:20:48.992Z","6_k2lp33","65265","","instructions1","","","","[{""page_index"":0,""viewing_time"":65265}]","","","","","",""
"","","","","","html-button-response","11","1850859","0.0-9.0","2024-11-25T13:20:48.992Z","6_k2lp33","237203","0","GanzfeldIntro","<p>Bitte sagen Sie dem Versuchsleiter, dass er Ihnen bei der Ganzfeld-Ausrüstung behilflich sein soll. Der Versuchsleiter wird auf ""Weiter"" klicken, wenn Sie bereit sind, um zu beginnen.</p>
            <p>Der Audiopegel für das Ganzfeld kann während der Wiedergabe der unten stehenden Audiodatei angepasst werden.</p>
            <audio controls>
                <source src=""../audio/pinknoise_7min_128.mp3"" type=""audio/mpeg"">
                Your browser does not support the audio element.
            </audio>","","","","","","","","",""
"","","","","","audio-keyboard-response","12","4040980","0.0-10.0","2024-11-25T13:20:48.992Z","6_k2lp33","null","null","GanzfeldPlay","../audio/German_Ganzfeld_Induction_v4.mp3","","","","","","","","",""
"","","","","","call-function","13","4040982","0.0-11.0-0.0","2024-11-25T13:20:48.992Z","6_k2lp33","","","","","","","","","","","","",""
"","","","","","survey","14","4192864","0.0-11.0-1.0","2024-11-25T13:20:48.992Z","6_k2lp33","151704","{""PCIGanz1"":2,""PCIGanz2"":4,""PCIGanz3"":1,""PCIGanz4"":1,""PCIGanz5"":4,""PCIGanz6"":2,""PCIGanz7"":2,""PCIGanz8"":5,""PCIGanz9"":4,""PCIGanz10"":2,""PCIGanz11"":4,""PCIGanz12"":4,""PCIGanz13"":5,""PCIIntro"":null}","PCIGanzfeld","","","","","","","","","",""
"","","","","","call-function","15","4192874","0.0-11.0-2.0","2024-11-25T13:20:48.992Z","6_k2lp33","","","","","","","","","","","","",""
