"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part","stimulus","slider_start","value","view_history","rndSet","rndV1","rndV2","videoA","videoB","videoStimulus"
"true","false","[]","[]","[]","preload","0","18175","0.0-0.0","2024-11-26T14:54:04.798Z","6_zuy8f9","","","","","","","","","","","","",""
"","","","","","survey","1","35841","0.0-1.0","2024-11-26T14:54:04.798Z","6_zuy8f9","17609","{""testrun"":""Experiment""}","testrun","","","","","","","","","",""
"","","","","","survey-text","2","1181329","0.0-2.0","2024-11-26T14:54:04.798Z","6_zuy8f9","1151415","{""subject_id"":""6_zuy8f9""}","welcome","","","","","","","","","",""
"","","","","","html-slider-response","3","1195056","0.0-3.0","2024-11-26T14:54:04.798Z","6_zuy8f9","13720","65","successBelief","<p>Bevor wir beginnen, möchten wir Sie nach Ihrer Einstellung zum Experiment fragen.</p>
            <p style=""font-weight: bold;"">Wie wahrscheinlich halten Sie es, dass Sie persönlich bei Ihrem heutigen präkognitiven Test erfolgreich sein werden?</p>","50","","","","","","","",""
"","","","","","html-slider-response","4","1201276","0.0-4.0","2024-11-26T14:54:04.798Z","6_zuy8f9","6217","62","comfortable","<p style=""font-weight: bold;"">Fühlen Sie sich wohl mit dem Ganzfeld-Setup?</p>","50","","","","","","","",""
"","","","","","html-button-response","5","1214189","0.0-5.0","2024-11-26T14:54:04.798Z","6_zuy8f9","12909","0","restIntro","<p>Als nächstes möchten wir Sie bitten, sich für 3 Minuten auf einen bequemen Stuhl zu setzen. Drücken Sie auf ""Weiter"", wenn Sie bereit sind, machen Sie es sich dann im Stuhl bequem und ruhen Sie sich aus, bis Sie ein Signalton am Ende des dreiminütigen Intervalls hören. Danach können Sie zu diesem Programm zurückkehren, um fortzufahren.</p>","","","","","","","","",""
"","","","","","html-keyboard-response","6","1396693","0.0-6.0","2024-11-26T14:54:04.798Z","6_zuy8f9","null","null","rest","","","","","","","","","",""
"","","","","","call-function","7","1396695","0.0-7.0-0.0","2024-11-26T14:54:04.798Z","6_zuy8f9","","","","","","","","","","","","",""
"","","","","","survey","8","1530013","0.0-7.0-1.0","2024-11-26T14:54:04.798Z","6_zuy8f9","133173","{""PCIRest1"":4,""PCIRest2"":1,""PCIRest3"":6,""PCIRest4"":2,""PCIRest5"":0,""PCIRest6"":6,""PCIRest7"":5,""PCIRest8"":2,""PCIRest9"":4,""PCIRest10"":6,""PCIRest11"":1,""PCIRest12"":3,""PCIRest13"":1,""PCIIntro"":null}","PCIRest","","","","","","","","","",""
"","","","","","call-function","9","1530016","0.0-7.0-2.0","2024-11-26T14:54:04.798Z","6_zuy8f9","","","","","","","","","","","","",""
"","","","","","instructions","10","1630910","0.0-8.0","2024-11-26T14:54:04.798Z","6_zuy8f9","100888","","instructions1","","","","[{""page_index"":0,""viewing_time"":100887}]","","","","","",""
"","","","","","html-button-response","11","1800982","0.0-9.0","2024-11-26T14:54:04.798Z","6_zuy8f9","170014","0","GanzfeldIntro","<p>Bitte sagen Sie dem Versuchsleiter, dass er Ihnen bei der Ganzfeld-Ausrüstung behilflich sein soll. Der Versuchsleiter wird auf ""Weiter"" klicken, wenn Sie bereit sind, um zu beginnen.</p>
            <p>Der Audiopegel für das Ganzfeld kann während der Wiedergabe der unten stehenden Audiodatei angepasst werden.</p>
            <audio controls>
                <source src=""../audio/pinknoise_7min_128.mp3"" type=""audio/mpeg"">
                Your browser does not support the audio element.
            </audio>","","","","","","","","",""
"","","","","","audio-keyboard-response","12","3991100","0.0-10.0","2024-11-26T14:54:04.798Z","6_zuy8f9","null","null","GanzfeldPlay","../audio/German_Ganzfeld_Induction_v4.mp3","","","","","","","","",""
"","","","","","call-function","13","3991102","0.0-11.0-0.0","2024-11-26T14:54:04.798Z","6_zuy8f9","","","","","","","","","","","","",""
"","","","","","survey","14","4189202","0.0-11.0-1.0","2024-11-26T14:54:04.798Z","6_zuy8f9","197927","{""PCIGanz1"":2,""PCIGanz2"":4,""PCIGanz3"":2,""PCIGanz4"":5,""PCIGanz5"":4,""PCIGanz6"":2,""PCIGanz7"":1,""PCIGanz8"":4,""PCIGanz9"":2,""PCIGanz10"":4,""PCIGanz11"":5,""PCIGanz12"":3,""PCIGanz13"":2,""PCIIntro"":null}","PCIGanzfeld","","","","","","","","","",""
"","","","","","call-function","15","4189207","0.0-11.0-2.0","2024-11-26T14:54:04.798Z","6_zuy8f9","","","","","","","","","","","","",""
"","","","","","survey","16","4236900","0.0-12.0","2024-11-26T14:54:04.798Z","6_zuy8f9","47609","{""DSSQ"":{""DSSQ01"":5,""DSSQ02"":4,""DSSQ03"":1,""DSSQ04"":3,""DSSQ05"":3,""DSSQ06"":3,""DSSQ07"":1,""DSSQ08"":4},""DSSQIntro"":null}","DSSQ","","","","","","","","","",""
"","","","","","html-slider-response","17","4243500","0.0-13.0","2024-11-26T14:54:04.798Z","6_zuy8f9","6594","80","time1","<p><i>Bitte beantworten Sie die folgenden beiden Fragen zu Ihren Erfahrungen während der 30 Minuten Ganzfeld.</i></p>
            <p>1. Wie oft haben Sie <b>während der Aufgabe</b> an die Zeit gedacht?</p>","50","","","","","","","",""
"","","","","","html-slider-response","18","4248494","0.0-14.0","2024-11-26T14:54:04.798Z","6_zuy8f9","4990","32","time2","<p><i>Bitte beantworten Sie die folgenden beiden Fragen zu Ihren Erfahrungen während der 30 Minuten Ganzfeld.</i></p>
            <p>2. Wie schnell verging die Zeit für Sie <b>während der Aufgabe</b>?</p>","50","","","","","","","",""
"","","","","","instructions","19","4360620","0.0-15.0","2024-11-26T14:54:04.798Z","6_zuy8f9","112124","","instructions2","","","","[{""page_index"":0,""viewing_time"":112123}]","","","","","",""
"","","","","","html-button-response","20","4369371","0.0-16.0","2024-11-26T14:54:04.798Z","6_zuy8f9","8747","0","videoIntro","<p>Jetzt möchten wir, dass Sie sich zwei kurze Videos ansehen und bewerten, wie ähnlich sie Ihrem Ganzfeld-Erlebnis sind.</p>
            <p>Bitte klicken Sie auf ""Weiter"", wenn Sie bereit sind.</p>","","","","5","1","3","../video/13 B Toothache.mp4","../video/13 D Meeting the Devil.mp4",""
"true","false","[]","[]","[]","preload","21","4369970","0.0-17.0","2024-11-26T14:54:04.798Z","6_zuy8f9","","","","","","","","","","","","",""
"","","","","","survey-html-form","22","4657679","0.0-18.0-0.0","2024-11-26T14:54:04.798Z","6_zuy8f9","287672","{""ClipA"":""58"",""ClipB"":""68""}","videoRating","","","","","","","","","",""
"","","","","","html-button-response","23","4663971","0.0-19.0","2024-11-26T14:54:04.798Z","6_zuy8f9","6288","0","videoTargetIntro","<p>Wir werden jetzt das Zielvideo auswählen.</p><p>Bitte sehen Sie sich das ausgewählte Video ein zweites Mal an.</p>","","","","","","","","","[""../video/13 B Toothache.mp4""]"
"","","","","","video-keyboard-response","24","4742386","0.0-20.0","2024-11-26T14:54:04.798Z","6_zuy8f9","null","null","videoTarget","[""../video/13 B Toothache.mp4""]","","","","","","","","",""
