"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part","stimulus","slider_start","value"
"true","false","[]","[]","[]","preload","0","7959","0.0-0.0","2024-11-28T10:02:56.947Z","1_TESTTT","","","","","",""
"","","","","","survey","1","9712","0.0-1.0","2024-11-28T10:02:56.947Z","1_TESTTT","1737","{""testrun"":""Pilot (Testlauf)""}","testrun","","",""
"","","","","","survey-text","2","13162","0.0-2.0","2024-11-28T10:02:56.947Z","1_TESTTT","3449","{""subject_id"":""1_TESTTT""}","welcome","","",""
"","","","","","html-slider-response","3","15676","0.0-3.0","2024-11-28T10:02:56.947Z","1_TESTTT","2513","48","successBelief","<p>Bevor wir beginnen, möchten wir Sie nach Ihrer Einstellung zum Experiment fragen.</p>
            <p style=""font-weight: bold;"">Wie wahrscheinlich halten Sie es, dass Sie persönlich bei Ihrem heutigen präkognitiven Test erfolgreich sein werden?</p>","50",""
"","","","","","html-slider-response","4","17055","0.0-4.0","2024-11-28T10:02:56.947Z","1_TESTTT","1379","50","comfortable","<p style=""font-weight: bold;"">Fühlen Sie sich wohl mit dem Ganzfeld-Setup?</p>","50",""
"","","","","","html-button-response","5","19082","0.0-5.0","2024-11-28T10:02:56.947Z","1_TESTTT","2025","0","restIntro","<p>Als nächstes möchten wir Sie bitten, sich für 3 Minuten auf einen bequemen Stuhl zu setzen. Drücken Sie auf ""Weiter"", wenn Sie bereit sind, machen Sie es sich dann im Stuhl bequem und ruhen Sie sich aus, bis Sie ein Signalton am Ende des dreiminütigen Intervalls hören. Danach können Sie zu diesem Programm zurückkehren, um fortzufahren.</p>","",""
"","","","","","html-keyboard-response","6","20408","0.0-6.0","2024-11-28T10:02:56.947Z","1_TESTTT","1323","s","rest","","",""
"","","","","","call-function","7","20408","0.0-7.0-0.0","2024-11-28T10:02:56.947Z","1_TESTTT","","","","","",""
"","","","","","survey","8","49353","0.0-7.0-1.0","2024-11-28T10:02:56.947Z","1_TESTTT","28911","{""PCIRest1"":0,""PCIRest2"":0,""PCIRest3"":0,""PCIRest4"":0,""PCIRest5"":0,""PCIRest6"":0,""PCIRest7"":0,""PCIRest8"":0,""PCIRest9"":0,""PCIRest10"":0,""PCIRest11"":0,""PCIRest12"":0,""PCIRest13"":0,""PCIIntro"":null}","PCIRest","","",""
"","","","","","call-function","9","49353","0.0-7.0-2.0","2024-11-28T10:02:56.947Z","1_TESTTT","","","","","",""
