"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part","stimulus","slider_start","value","view_history","rndSet","rndV1","rndV2","videoA","videoB","videoStimulus"
"true","false","[]","[]","[]","preload","0","60625","0.0-0.0","2024-12-05T15:03:35.586Z","2_tb7q0c","","","","","","","","","","","","",""
"","","","","","survey","1","789403","0.0-1.0","2024-12-05T15:03:35.586Z","2_tb7q0c","728466","{""testrun"":""Experiment""}","testrun","","","","","","","","","",""
"","","","","","survey-text","2","808901","0.0-2.0","2024-12-05T15:03:35.586Z","2_tb7q0c","19404","{""subject_id"":""2_tb7q0c""}","welcome","","","","","","","","","",""
"","","","","","html-slider-response","3","846646","0.0-3.0","2024-12-05T15:03:35.586Z","2_tb7q0c","37731","26","successBelief","<p>Before we begin, we would like to ask you about your attitude to the experiment.</p>
            <p style=""font-weight: bold;"">How likely do you think it is that you personally will succeed in your precognitive test today?</p>","50","","","","","","","",""
"","","","","","html-slider-response","4","851792","0.0-4.0","2024-12-05T15:03:35.586Z","2_tb7q0c","5141","61","comfortable","<p style=""font-weight: bold;"">Do you feel comfortable with the Ganzfeld setup?</p>","50","","","","","","","",""
"","","","","","html-button-response","5","866010","0.0-5.0","2024-12-05T15:03:35.586Z","2_tb7q0c","14212","0","restIntro","<p>Next we would like you to rest in a reclining chair for 3 minutes. Press Continue when you are ready, then make yourself comfortable in the chair, and rest until you hear a beep signaling the end of the three minute interval. Afterwards you can return to this program to proceed.</p>","","","","","","","","",""
"","","","","","html-keyboard-response","6","1048637","0.0-6.0","2024-12-05T15:03:35.586Z","2_tb7q0c","null","null","rest","","","","","","","","","",""
"","","","","","call-function","7","1048638","0.0-7.0-0.0","2024-12-05T15:03:35.586Z","2_tb7q0c","","","","","","","","","","","","",""
"","","","","","survey","8","1281197","0.0-7.0-1.0","2024-12-05T15:03:35.586Z","2_tb7q0c","232468","{""PCIRest1"":3,""PCIRest2"":2,""PCIRest3"":2,""PCIRest4"":2,""PCIRest5"":3,""PCIRest6"":2,""PCIRest7"":2,""PCIRest8"":4,""PCIRest9"":4,""PCIRest10"":4,""PCIRest11"":3,""PCIRest12"":4,""PCIRest13"":2,""PCIIntro"":null}","PCIRest","","","","","","","","","",""
"","","","","","call-function","9","1281203","0.0-7.0-2.0","2024-12-05T15:03:35.586Z","2_tb7q0c","","","","","","","","","","","","",""
