"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part","stimulus","slider_start","value","view_history","rndSet","rndV1","rndV2","videoA","videoB","videoStimulus"
"true","false","[]","[]","[]","preload","0","27773","0.0-0.0","2024-12-13T11:36:09.680Z","6_pp1h9b","","","","","","","","","","","","",""
"","","","","","survey","1","31908","0.0-1.0","2024-12-13T11:36:09.680Z","6_pp1h9b","4039","{""testrun"":""Experiment""}","testrun","","","","","","","","","",""
"","","","","","survey-text","2","156327","0.0-2.0","2024-12-13T11:36:09.680Z","6_pp1h9b","124310","{""subject_id"":""6_pp1h9b""}","welcome","","","","","","","","","",""
"","","","","","html-slider-response","3","195035","0.0-3.0","2024-12-13T11:36:09.680Z","6_pp1h9b","38702","5","successBelief","<p>Bevor wir beginnen, möchten wir Sie nach Ihrer Einstellung zum Experiment fragen.</p>
            <p style=""font-weight: bold;"">Wie wahrscheinlich halten Sie es, dass Sie persönlich bei Ihrem heutigen präkognitiven Test erfolgreich sein werden?</p>","50","","","","","","","",""
"","","","","","html-slider-response","4","203074","0.0-4.0","2024-12-13T11:36:09.680Z","6_pp1h9b","8036","100","comfortable","<p style=""font-weight: bold;"">Fühlen Sie sich wohl mit dem Ganzfeld-Setup?</p>","50","","","","","","","",""
"","","","","","html-button-response","5","220986","0.0-5.0","2024-12-13T11:36:09.680Z","6_pp1h9b","17910","0","restIntro","<p>Als nächstes möchten wir Sie bitten, sich für 3 Minuten auf einen bequemen Stuhl zu setzen. Drücken Sie auf ""Weiter"", wenn Sie bereit sind, machen Sie es sich dann im Stuhl bequem und ruhen Sie sich aus, bis Sie ein Signalton am Ende des dreiminütigen Intervalls hören. Danach können Sie zu diesem Programm zurückkehren, um fortzufahren.</p>","","","","","","","","",""
"","","","","","html-keyboard-response","6","403491","0.0-6.0","2024-12-13T11:36:09.680Z","6_pp1h9b","null","null","rest","","","","","","","","","",""
"","","","","","call-function","7","403493","0.0-7.0-0.0","2024-12-13T11:36:09.680Z","6_pp1h9b","","","","","","","","","","","","",""
"","","","","","survey","8","647697","0.0-7.0-1.0","2024-12-13T11:36:09.680Z","6_pp1h9b","244063","{""PCIRest1"":5,""PCIRest2"":0,""PCIRest3"":6,""PCIRest4"":4,""PCIRest5"":0,""PCIRest6"":6,""PCIRest7"":5,""PCIRest8"":1,""PCIRest9"":2,""PCIRest10"":6,""PCIRest11"":1,""PCIRest12"":1,""PCIRest13"":0,""PCIIntro"":null}","PCIRest","","","","","","","","","",""
"","","","","","call-function","9","647702","0.0-7.0-2.0","2024-12-13T11:36:09.680Z","6_pp1h9b","","","","","","","","","","","","",""
