"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part","stimulus","slider_start","value","view_history","rndSet","rndV1","rndV2","videoA","videoB","videoStimulus"
"true","false","[]","[]","[]","preload","0","36358","0.0-0.0","2024-12-17T12:52:41.587Z","2_dhbsp6","","","","","","","","","","","","",""
"","","","","","survey","1","448111","0.0-1.0","2024-12-17T12:52:41.587Z","2_dhbsp6","411693","{""testrun"":""Experiment""}","testrun","","","","","","","","","",""
"","","","","","survey-text","2","857945","0.0-2.0","2024-12-17T12:52:41.587Z","2_dhbsp6","409804","{""subject_id"":""2_dhbsp6""}","welcome","","","","","","","","","",""
"","","","","","html-slider-response","3","899733","0.0-3.0","2024-12-17T12:52:41.587Z","2_dhbsp6","41773","1","successBelief","<p>Before we begin, we would like to ask you about your attitude to the experiment.</p>
            <p style=""font-weight: bold;"">How likely do you think it is that you personally will succeed in your precognitive test today?</p>","50","","","","","","","",""
"","","","","","html-slider-response","4","919899","0.0-4.0","2024-12-17T12:52:41.587Z","2_dhbsp6","20163","100","comfortable","<p style=""font-weight: bold;"">Do you feel comfortable with the Ganzfeld setup?</p>","50","","","","","","","",""
"","","","","","html-button-response","5","944901","0.0-5.0","2024-12-17T12:52:41.587Z","2_dhbsp6","24996","0","restIntro","<p>Next we would like you to rest in a reclining chair for 3 minutes. Press Continue when you are ready, then make yourself comfortable in the chair, and rest until you hear a beep signaling the end of the three minute interval. Afterwards you can return to this program to proceed.</p>","","","","","","","","",""
"","","","","","html-keyboard-response","6","1127569","0.0-6.0","2024-12-17T12:52:41.587Z","2_dhbsp6","null","null","rest","","","","","","","","","",""
"","","","","","call-function","7","1127573","0.0-7.0-0.0","2024-12-17T12:52:41.587Z","2_dhbsp6","","","","","","","","","","","","",""
"","","","","","survey","8","3345226","0.0-7.0-1.0","2024-12-17T12:52:41.587Z","2_dhbsp6","2217583","{""PCIRest1"":6,""PCIRest2"":6,""PCIRest3"":6,""PCIRest4"":6,""PCIRest5"":6,""PCIRest6"":1,""PCIRest7"":3,""PCIRest8"":0,""PCIRest9"":3,""PCIRest10"":3,""PCIRest11"":3,""PCIRest12"":3,""PCIRest13"":3,""PCIIntro"":null}","PCIRest","","","","","","","","","",""
"","","","","","call-function","9","3345232","0.0-7.0-2.0","2024-12-17T12:52:41.587Z","2_dhbsp6","","","","","","","","","","","","",""
