"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part","stimulus","slider_start","value","view_history"
"true","false","[]","[]","[]","preload","0","28692","0.0-0.0","2025-01-08T17:30:10.577Z","C_232331","","","","","","",""
"","","","","","survey","1","106151","0.0-1.0","2025-01-08T17:30:10.577Z","C_232331","77365","{""testrun"":""Pilot (Test run)""}","testrun","","","",""
"","","","","","survey-text","2","401748","0.0-2.0","2025-01-08T17:30:10.577Z","C_232331","295569","{""subject_id"":""C_232331""}","welcome","","","",""
"","","","","","html-slider-response","3","405461","0.0-3.0","2025-01-08T17:30:10.577Z","C_232331","3709","41","successBelief","<p>Before we begin, we would like to ask you about your attitude to the experiment.</p>
            <p style=""font-weight: bold;"">How likely do you think it is that you personally will succeed in your precognitive test today?</p>","50","",""
"","","","","","html-slider-response","4","407155","0.0-4.0","2025-01-08T17:30:10.577Z","C_232331","1692","60","comfortable","<p style=""font-weight: bold;"">Do you feel comfortable with the Ganzfeld setup?</p>","50","",""
"","","","","","html-button-response","5","409275","0.0-5.0","2025-01-08T17:30:10.577Z","C_232331","2117","0","restIntro","<p>Next we would like you to rest in a reclining chair for 3 minutes. Press Continue when you are ready, then make yourself comfortable in the chair, and rest until you hear a beep signaling the end of the three minute interval. Afterwards you can return to this program to proceed.</p>","","",""
"","","","","","html-keyboard-response","6","591843","0.0-6.0","2025-01-08T17:30:10.577Z","C_232331","null","null","rest","","","",""
"","","","","","call-function","7","591845","0.0-7.0-0.0","2025-01-08T17:30:10.577Z","C_232331","","","","","","",""
"","","","","","survey","8","626098","0.0-7.0-1.0","2025-01-08T17:30:10.577Z","C_232331","34145","{""PCIIntro"":null,""PCIRest1"":null,""PCIRest2"":null,""PCIRest3"":null,""PCIRest4"":null,""PCIRest5"":null,""PCIRest6"":null,""PCIRest7"":null,""PCIRest8"":null,""PCIRest9"":null,""PCIRest10"":null,""PCIRest11"":null,""PCIRest12"":null,""PCIRest13"":null}","PCIRest","","","",""
"","","","","","call-function","9","626100","0.0-7.0-2.0","2025-01-08T17:30:10.577Z","C_232331","","","","","","",""
"","","","","","instructions","10","628960","0.0-8.0","2025-01-08T17:30:10.577Z","C_232331","2858","","instructions1","","","","[{""page_index"":0,""viewing_time"":2857}]"
"","","","","","html-button-response","11","636046","0.0-9.0","2025-01-08T17:30:10.577Z","C_232331","7077","0","GanzfeldIntro","<p>Please tell the experimenter to assist you with the Ganzfeld equipment. The experimenter will click ""Continue"" when you are ready to begin.</p>
            <p>The audio level for the ganzfeld can be adjusted while playing the audio sample below.</p>
            <audio controls>
                <source src=""../audio/pinknoise_7min_128.mp3"" type=""audio/mpeg"">
                Your browser does not support the audio element.
            </audio>","","",""
