"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part","stimulus","slider_start","value","view_history"
"true","false","[]","[]","[]","preload","0","52488","0.0-0.0","2025-01-13T18:35:16.876Z","3_vewhno","","","","","","",""
"","","","","","survey","1","72914","0.0-1.0","2025-01-13T18:35:16.876Z","3_vewhno","20342","{""testrun"":""Experiment""}","testrun","","","",""
"","","","","","survey-text","2","15585151","0.0-2.0","2025-01-13T18:35:16.876Z","3_vewhno","15512316","{""subject_id"":""3_vewhno""}","welcome","","","",""
"","","","","","html-slider-response","3","15671872","0.0-3.0","2025-01-13T18:35:16.876Z","3_vewhno","86715","50","successBelief","<p>Before we begin, we would like to ask you about your attitude to the experiment.</p>
            <p style=""font-weight: bold;"">How likely do you think it is that you personally will succeed in your precognitive test today?</p>","50","",""
"","","","","","html-slider-response","4","15686063","0.0-4.0","2025-01-13T18:35:16.876Z","3_vewhno","14184","100","comfortable","<p style=""font-weight: bold;"">Do you feel comfortable with the Ganzfeld setup?</p>","50","",""
"","","","","","html-button-response","5","15700283","0.0-5.0","2025-01-13T18:35:16.876Z","3_vewhno","14214","0","restIntro","<p>Next we would like you to rest in a reclining chair for 3 minutes. Press Continue when you are ready, then make yourself comfortable in the chair, and rest until you hear a beep signaling the end of the three minute interval. Afterwards you can return to this program to proceed.</p>","","",""
"","","","","","html-keyboard-response","6","15882948","0.0-6.0","2025-01-13T18:35:16.876Z","3_vewhno","null","null","rest","","","",""
"","","","","","call-function","7","15882953","0.0-7.0-0.0","2025-01-13T18:35:16.876Z","3_vewhno","","","","","","",""
"","","","","","survey","8","16056120","0.0-7.0-1.0","2025-01-13T18:35:16.876Z","3_vewhno","173004","{""PCIRest1"":1,""PCIRest2"":1,""PCIRest3"":6,""PCIRest4"":2,""PCIRest5"":0,""PCIRest6"":6,""PCIRest7"":6,""PCIRest8"":1,""PCIRest9"":6,""PCIRest10"":3,""PCIRest11"":1,""PCIRest12"":1,""PCIRest13"":1,""PCIIntro"":null}","PCIRest","","","",""
"","","","","","call-function","9","16056122","0.0-7.0-2.0","2025-01-13T18:35:16.876Z","3_vewhno","","","","","","",""
"","","","","","instructions","10","16262711","0.0-8.0","2025-01-13T18:35:16.876Z","3_vewhno","206587","","instructions1","","","","[{""page_index"":0,""viewing_time"":206586}]"
"","","","","","html-button-response","11","16319252","0.0-9.0","2025-01-13T18:35:16.876Z","3_vewhno","56536","0","GanzfeldIntro","<p>Please tell the experimenter to assist you with the Ganzfeld equipment. The experimenter will click ""Continue"" when you are ready to begin.</p>
            <p>The audio level for the ganzfeld can be adjusted while playing the audio sample below.</p>
            <audio controls>
                <source src=""../audio/pinknoise_7min_128.mp3"" type=""audio/mpeg"">
                Your browser does not support the audio element.
            </audio>","","",""
