"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part","stimulus","slider_start","value","view_history","rndSet","rndV1","rndV2","videoA","videoB","videoStimulus"
"true","false","[]","[]","[]","preload","0","6320","0.0-0.0","2025-01-14T08:46:19.407Z","5_fbegyc","","","","","","","","","","","","",""
"","","","","","survey","1","13816","0.0-1.0","2025-01-14T08:46:19.407Z","5_fbegyc","7473","{""testrun"":""Experiment""}","testrun","","","","","","","","","",""
"","","","","","survey-text","2","177563","0.0-2.0","2025-01-14T08:46:19.407Z","5_fbegyc","163737","{""subject_id"":""5_fbegyc""}","welcome","","","","","","","","","",""
"","","","","","html-slider-response","3","193297","0.0-3.0","2025-01-14T08:46:19.407Z","5_fbegyc","15732","23","successBelief","<p>Bevor wir beginnen, möchten wir Sie nach Ihrer Einstellung zum Experiment fragen.</p>
            <p style=""font-weight: bold;"">Wie wahrscheinlich halten Sie es, dass Sie persönlich bei Ihrem heutigen präkognitiven Test erfolgreich sein werden?</p>","50","","","","","","","",""
"","","","","","html-slider-response","4","200641","0.0-4.0","2025-01-14T08:46:19.407Z","5_fbegyc","7343","60","comfortable","<p style=""font-weight: bold;"">Fühlen Sie sich wohl mit dem Ganzfeld-Setup?</p>","50","","","","","","","",""
"","","","","","html-button-response","5","223953","0.0-5.0","2025-01-14T08:46:19.407Z","5_fbegyc","23311","0","restIntro","<p>Als nächstes möchten wir Sie bitten, sich für 3 Minuten auf einen bequemen Stuhl zu setzen. Drücken Sie auf ""Weiter"", wenn Sie bereit sind, machen Sie es sich dann im Stuhl bequem und ruhen Sie sich aus, bis Sie ein Signalton am Ende des dreiminütigen Intervalls hören. Danach können Sie zu diesem Programm zurückkehren, um fortzufahren.</p>","","","","","","","","",""
"","","","","","html-keyboard-response","6","406466","0.0-6.0","2025-01-14T08:46:19.407Z","5_fbegyc","null","null","rest","","","","","","","","","",""
"","","","","","call-function","7","406467","0.0-7.0-0.0","2025-01-14T08:46:19.407Z","5_fbegyc","","","","","","","","","","","","",""
"","","","","","survey","8","586722","0.0-7.0-1.0","2025-01-14T08:46:19.407Z","5_fbegyc","180218","{""PCIRest1"":2,""PCIRest2"":2,""PCIRest3"":3,""PCIRest4"":5,""PCIRest5"":3,""PCIRest6"":1,""PCIRest7"":2,""PCIRest8"":3,""PCIRest9"":3,""PCIRest10"":3,""PCIRest11"":4,""PCIRest12"":3,""PCIRest13"":4,""PCIIntro"":null}","PCIRest","","","","","","","","","",""
"","","","","","call-function","9","586723","0.0-7.0-2.0","2025-01-14T08:46:19.407Z","5_fbegyc","","","","","","","","","","","","",""
"","","","","","instructions","10","645801","0.0-8.0","2025-01-14T08:46:19.407Z","5_fbegyc","59077","","instructions1","","","","[{""page_index"":0,""viewing_time"":59077}]","","","","","",""
"","","","","","html-button-response","11","841833","0.0-9.0","2025-01-14T08:46:19.407Z","5_fbegyc","196029","0","GanzfeldIntro","<p>Bitte sagen Sie dem Versuchsleiter, dass er Ihnen bei der Ganzfeld-Ausrüstung behilflich sein soll. Der Versuchsleiter wird auf ""Weiter"" klicken, wenn Sie bereit sind, um zu beginnen.</p>
            <p>Der Audiopegel für das Ganzfeld kann während der Wiedergabe der unten stehenden Audiodatei angepasst werden.</p>
            <audio controls>
                <source src=""../audio/pinknoise_7min_128.mp3"" type=""audio/mpeg"">
                Your browser does not support the audio element.
            </audio>","","","","","","","","",""
"","","","","","audio-keyboard-response","12","3031947","0.0-10.0","2025-01-14T08:46:19.407Z","5_fbegyc","null","null","GanzfeldPlay","../audio/German_Ganzfeld_Induction_v4.mp3","","","","","","","","",""
"","","","","","call-function","13","3031949","0.0-11.0-0.0","2025-01-14T08:46:19.407Z","5_fbegyc","","","","","","","","","","","","",""
"","","","","","survey","14","3345882","0.0-11.0-1.0","2025-01-14T08:46:19.407Z","5_fbegyc","313903","{""PCIGanz1"":4,""PCIGanz2"":4,""PCIGanz3"":1,""PCIGanz4"":5,""PCIGanz5"":4,""PCIGanz6"":1,""PCIGanz7"":1,""PCIGanz8"":3,""PCIGanz9"":3,""PCIGanz10"":4,""PCIGanz11"":4,""PCIGanz12"":3,""PCIGanz13"":5,""PCIIntro"":null}","PCIGanzfeld","","","","","","","","","",""
"","","","","","call-function","15","3345883","0.0-11.0-2.0","2025-01-14T08:46:19.407Z","5_fbegyc","","","","","","","","","","","","",""
"","","","","","survey","16","3397966","0.0-12.0","2025-01-14T08:46:19.407Z","5_fbegyc","52074","{""DSSQ"":{""DSSQ01"":4,""DSSQ02"":2,""DSSQ03"":3,""DSSQ04"":1,""DSSQ05"":2,""DSSQ06"":1,""DSSQ07"":1,""DSSQ08"":4},""DSSQIntro"":null}","DSSQ","","","","","","","","","",""
"","","","","","html-slider-response","17","3411096","0.0-13.0","2025-01-14T08:46:19.407Z","5_fbegyc","13129","16","time1","<p><i>Bitte beantworten Sie die folgenden beiden Fragen zu Ihren Erfahrungen während der 30 Minuten Ganzfeld.</i></p>
            <p>1. Wie oft haben Sie <b>während der Aufgabe</b> an die Zeit gedacht?</p>","50","","","","","","","",""
"","","","","","html-slider-response","18","3417560","0.0-14.0","2025-01-14T08:46:19.407Z","5_fbegyc","6463","78","time2","<p><i>Bitte beantworten Sie die folgenden beiden Fragen zu Ihren Erfahrungen während der 30 Minuten Ganzfeld.</i></p>
            <p>2. Wie schnell verging die Zeit für Sie <b>während der Aufgabe</b>?</p>","50","","","","","","","",""
