"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part","stimulus","slider_start","value","view_history","rndSet","rndV1","rndV2","videoA","videoB","videoStimulus"
"true","false","[]","[]","[]","preload","0","28957","0.0-0.0","2025-01-23T19:32:02.703Z","3_3h0v22","","","","","","","","","","","","",""
"","","","","","survey","1","2271204","0.0-1.0","2025-01-23T19:32:02.703Z","3_3h0v22","2242253","{""testrun"":""Experiment""}","testrun","","","","","","","","","",""
"","","","","","survey-text","2","11343449","0.0-2.0","2025-01-23T19:32:02.703Z","3_3h0v22","9072266","{""subject_id"":""3_3h0v22""}","welcome","","","","","","","","","",""
"","","","","","html-slider-response","3","11407141","0.0-3.0","2025-01-23T19:32:02.703Z","3_3h0v22","63682","50","successBelief","<p>Before we begin, we would like to ask you about your attitude to the experiment.</p>
            <p style=""font-weight: bold;"">How likely do you think it is that you personally will succeed in your precognitive test today?</p>","50","","","","","","","",""
"","","","","","html-slider-response","4","11419259","0.0-4.0","2025-01-23T19:32:02.703Z","3_3h0v22","12111","98","comfortable","<p style=""font-weight: bold;"">Do you feel comfortable with the Ganzfeld setup?</p>","50","","","","","","","",""
"","","","","","html-button-response","5","11455631","0.0-5.0","2025-01-23T19:32:02.703Z","3_3h0v22","36366","0","restIntro","<p>Next we would like you to rest in a reclining chair for 3 minutes. Press Continue when you are ready, then make yourself comfortable in the chair, and rest until you hear a beep signaling the end of the three minute interval. Afterwards you can return to this program to proceed.</p>","","","","","","","","",""
"","","","","","html-keyboard-response","6","11638255","0.0-6.0","2025-01-23T19:32:02.703Z","3_3h0v22","null","null","rest","","","","","","","","","",""
"","","","","","call-function","7","11638260","0.0-7.0-0.0","2025-01-23T19:32:02.703Z","3_3h0v22","","","","","","","","","","","","",""
"","","","","","survey","8","11795792","0.0-7.0-1.0","2025-01-23T19:32:02.703Z","3_3h0v22","157396","{""PCIRest1"":5,""PCIRest2"":4,""PCIRest3"":2,""PCIRest4"":6,""PCIRest5"":3,""PCIRest6"":2,""PCIRest7"":2,""PCIRest8"":2,""PCIRest9"":1,""PCIRest10"":3,""PCIRest11"":3,""PCIRest12"":3,""PCIRest13"":4,""PCIIntro"":null}","PCIRest","","","","","","","","","",""
"","","","","","call-function","9","11795794","0.0-7.0-2.0","2025-01-23T19:32:02.703Z","3_3h0v22","","","","","","","","","","","","",""
"","","","","","instructions","10","11908452","0.0-8.0","2025-01-23T19:32:02.703Z","3_3h0v22","112656","","instructions1","","","","[{""page_index"":0,""viewing_time"":112655}]","","","","","",""
"","","","","","html-button-response","11","12126008","0.0-9.0","2025-01-23T19:32:02.703Z","3_3h0v22","217543","0","GanzfeldIntro","<p>Please tell the experimenter to assist you with the Ganzfeld equipment. The experimenter will click ""Continue"" when you are ready to begin.</p>
            <p>The audio level for the ganzfeld can be adjusted while playing the audio sample below.</p>
            <audio controls>
                <source src=""../audio/pinknoise_7min_128.mp3"" type=""audio/mpeg"">
                Your browser does not support the audio element.
            </audio>","","","","","","","","",""
"","","","","","audio-keyboard-response","12","14316148","0.0-10.0","2025-01-23T19:32:02.703Z","3_3h0v22","null","null","GanzfeldPlay","../audio/English_Ganzfeld_Induction_v4.mp3","","","","","","","","",""
"","","","","","call-function","13","14316151","0.0-11.0-0.0","2025-01-23T19:32:02.703Z","3_3h0v22","","","","","","","","","","","","",""
"","","","","","survey","14","14624741","0.0-11.0-1.0","2025-01-23T19:32:02.703Z","3_3h0v22","308509","{""PCIGanz1"":5,""PCIGanz2"":5,""PCIGanz3"":1,""PCIGanz4"":5,""PCIGanz5"":5,""PCIGanz6"":1,""PCIGanz7"":2,""PCIGanz8"":2,""PCIGanz9"":1,""PCIGanz10"":1,""PCIGanz11"":4,""PCIGanz12"":4,""PCIGanz13"":5,""PCIIntro"":null}","PCIGanzfeld","","","","","","","","","",""
"","","","","","call-function","15","14624746","0.0-11.0-2.0","2025-01-23T19:32:02.703Z","3_3h0v22","","","","","","","","","","","","",""
