"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part","stimulus","slider_start","value","view_history","rndSet","rndV1","rndV2","videoA","videoB","videoStimulus"
"true","false","[]","[]","[]","preload","0","15312","0.0-0.0","2025-01-26T15:10:58.054Z","2_gk1m9v","","","","","","","","","","","","",""
"","","","","","survey","1","22074","0.0-1.0","2025-01-26T15:10:58.054Z","2_gk1m9v","6712","{""testrun"":""Experiment""}","testrun","","","","","","","","","",""
"","","","","","survey-text","2","57095","0.0-2.0","2025-01-26T15:10:58.054Z","2_gk1m9v","34975","{""subject_id"":""2_gk1m9v""}","welcome","","","","","","","","","",""
"","","","","","html-slider-response","3","76076","0.0-3.0","2025-01-26T15:10:58.054Z","2_gk1m9v","18977","49","successBelief","<p>Before we begin, we would like to ask you about your attitude to the experiment.</p>
            <p style=""font-weight: bold;"">How likely do you think it is that you personally will succeed in your precognitive test today?</p>","50","","","","","","","",""
"","","","","","html-slider-response","4","84326","0.0-4.0","2025-01-26T15:10:58.054Z","2_gk1m9v","8247","91","comfortable","<p style=""font-weight: bold;"">Do you feel comfortable with the Ganzfeld setup?</p>","50","","","","","","","",""
"","","","","","html-button-response","5","102516","0.0-5.0","2025-01-26T15:10:58.054Z","2_gk1m9v","18187","0","restIntro","<p>Next we would like you to rest in a reclining chair for 3 minutes. Press Continue when you are ready, then make yourself comfortable in the chair, and rest until you hear a beep signaling the end of the three minute interval. Afterwards you can return to this program to proceed.</p>","","","","","","","","",""
"","","","","","html-keyboard-response","6","285034","0.0-6.0","2025-01-26T15:10:58.054Z","2_gk1m9v","null","null","rest","","","","","","","","","",""
"","","","","","call-function","7","285036","0.0-7.0-0.0","2025-01-26T15:10:58.054Z","2_gk1m9v","","","","","","","","","","","","",""
"","","","","","survey","8","419007","0.0-7.0-1.0","2025-01-26T15:10:58.054Z","2_gk1m9v","133869","{""PCIRest1"":4,""PCIRest2"":2,""PCIRest3"":5,""PCIRest4"":4,""PCIRest5"":3,""PCIRest6"":5,""PCIRest7"":5,""PCIRest8"":3,""PCIRest9"":3,""PCIRest10"":5,""PCIRest11"":0,""PCIRest12"":2,""PCIRest13"":3,""PCIIntro"":null}","PCIRest","","","","","","","","","",""
"","","","","","call-function","9","419009","0.0-7.0-2.0","2025-01-26T15:10:58.054Z","2_gk1m9v","","","","","","","","","","","","",""
"","","","","","instructions","10","459771","0.0-8.0","2025-01-26T15:10:58.054Z","2_gk1m9v","40760","","instructions1","","","","[{""page_index"":0,""viewing_time"":40758}]","","","","","",""
"","","","","","html-button-response","11","577068","0.0-9.0","2025-01-26T15:10:58.054Z","2_gk1m9v","117272","0","GanzfeldIntro","<p>Please tell the experimenter to assist you with the Ganzfeld equipment. The experimenter will click ""Continue"" when you are ready to begin.</p>
            <p>The audio level for the ganzfeld can be adjusted while playing the audio sample below.</p>
            <audio controls>
                <source src=""../audio/pinknoise_7min_128.mp3"" type=""audio/mpeg"">
                Your browser does not support the audio element.
            </audio>","","","","","","","","",""
"","","","","","audio-keyboard-response","12","2767250","0.0-10.0","2025-01-26T15:10:58.054Z","2_gk1m9v","null","null","GanzfeldPlay","../audio/English_Ganzfeld_Induction_v4.mp3","","","","","","","","",""
"","","","","","call-function","13","2767252","0.0-11.0-0.0","2025-01-26T15:10:58.054Z","2_gk1m9v","","","","","","","","","","","","",""
"","","","","","survey","14","3939518","0.0-11.0-1.0","2025-01-26T15:10:58.054Z","2_gk1m9v","1172179","{""PCIGanz1"":5,""PCIGanz2"":4,""PCIGanz3"":2,""PCIGanz4"":6,""PCIGanz5"":5,""PCIGanz6"":3,""PCIGanz7"":3,""PCIGanz8"":2,""PCIGanz9"":0,""PCIGanz10"":1,""PCIGanz11"":3,""PCIGanz12"":4,""PCIGanz13"":4,""PCIIntro"":null}","PCIGanzfeld","","","","","","","","","",""
"","","","","","call-function","15","3939521","0.0-11.0-2.0","2025-01-26T15:10:58.054Z","2_gk1m9v","","","","","","","","","","","","",""
"","","","","","survey","16","4005560","0.0-12.0","2025-01-26T15:10:58.054Z","2_gk1m9v","66007","{""DSSQ"":{""DSSQ01"":3,""DSSQ02"":2,""DSSQ03"":1,""DSSQ04"":1,""DSSQ05"":1,""DSSQ06"":1,""DSSQ07"":1,""DSSQ08"":1},""DSSQIntro"":null}","DSSQ","","","","","","","","","",""
"","","","","","html-slider-response","17","4019101","0.0-13.0","2025-01-26T15:10:58.054Z","2_gk1m9v","13538","7","time1","<p><i>Please answer the following two questions about your experiences during the 30 minutes of Ganzfeld.</i></p>
            <p>1. How often did you think about time <b>during the task</b>?</p>","50","","","","","","","",""
