"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part","stimulus","slider_start","value","view_history","rndSet","rndV1","rndV2","videoA","videoB","videoStimulus"
"true","false","[]","[]","[]","preload","0","6220","0.0-0.0","2025-01-29T16:14:45.012Z","5_6oh7av","","","","","","","","","","","","",""
"","","","","","survey","1","14033","0.0-1.0","2025-01-29T16:14:45.012Z","5_6oh7av","7789","{""testrun"":""Experiment""}","testrun","","","","","","","","","",""
"","","","","","survey-text","2","417900","0.0-2.0","2025-01-29T16:14:45.012Z","5_6oh7av","403852","{""subject_id"":""5_6oh7av""}","welcome","","","","","","","","","",""
"","","","","","html-slider-response","3","436012","0.0-3.0","2025-01-29T16:14:45.012Z","5_6oh7av","18109","58","successBelief","<p>Bevor wir beginnen, möchten wir Sie nach Ihrer Einstellung zum Experiment fragen.</p>
            <p style=""font-weight: bold;"">Wie wahrscheinlich halten Sie es, dass Sie persönlich bei Ihrem heutigen präkognitiven Test erfolgreich sein werden?</p>","50","","","","","","","",""
"","","","","","html-slider-response","4","442052","0.0-4.0","2025-01-29T16:14:45.012Z","5_6oh7av","6039","24","comfortable","<p style=""font-weight: bold;"">Fühlen Sie sich wohl mit dem Ganzfeld-Setup?</p>","50","","","","","","","",""
"","","","","","html-button-response","5","626364","0.0-5.0","2025-01-29T16:14:45.012Z","5_6oh7av","184311","0","restIntro","<p>Als nächstes möchten wir Sie bitten, sich für 3 Minuten auf einen bequemen Stuhl zu setzen. Drücken Sie auf ""Weiter"", wenn Sie bereit sind, machen Sie es sich dann im Stuhl bequem und ruhen Sie sich aus, bis Sie ein Signalton am Ende des dreiminütigen Intervalls hören. Danach können Sie zu diesem Programm zurückkehren, um fortzufahren.</p>","","","","","","","","",""
"","","","","","html-keyboard-response","6","809028","0.0-6.0","2025-01-29T16:14:45.012Z","5_6oh7av","null","null","rest","","","","","","","","","",""
"","","","","","call-function","7","809031","0.0-7.0-0.0","2025-01-29T16:14:45.012Z","5_6oh7av","","","","","","","","","","","","",""
"","","","","","survey","8","966450","0.0-7.0-1.0","2025-01-29T16:14:45.012Z","5_6oh7av","157380","{""PCIRest1"":5,""PCIRest2"":2,""PCIRest3"":3,""PCIRest4"":4,""PCIRest5"":4,""PCIRest6"":5,""PCIRest7"":2,""PCIRest8"":4,""PCIRest9"":2,""PCIRest10"":5,""PCIRest11"":2,""PCIRest12"":2,""PCIRest13"":3,""PCIIntro"":null}","PCIRest","","","","","","","","","",""
"","","","","","call-function","9","966451","0.0-7.0-2.0","2025-01-29T16:14:45.012Z","5_6oh7av","","","","","","","","","","","","",""
"","","","","","instructions","10","1076932","0.0-8.0","2025-01-29T16:14:45.012Z","5_6oh7av","110480","","instructions1","","","","[{""page_index"":0,""viewing_time"":110480}]","","","","","",""
"","","","","","html-button-response","11","1308468","0.0-9.0","2025-01-29T16:14:45.012Z","5_6oh7av","231533","0","GanzfeldIntro","<p>Bitte sagen Sie dem Versuchsleiter, dass er Ihnen bei der Ganzfeld-Ausrüstung behilflich sein soll. Der Versuchsleiter wird auf ""Weiter"" klicken, wenn Sie bereit sind, um zu beginnen.</p>
            <p>Der Audiopegel für das Ganzfeld kann während der Wiedergabe der unten stehenden Audiodatei angepasst werden.</p>
            <audio controls>
                <source src=""../audio/pinknoise_7min_128.mp3"" type=""audio/mpeg"">
                Your browser does not support the audio element.
            </audio>","","","","","","","","",""
