"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part","stimulus","slider_start","value","view_history","rndSet","rndV1","rndV2","videoA","videoB","videoStimulus"
"true","false","[]","[]","[]","preload","0","33968","0.0-0.0","2025-02-03T14:50:48.835Z","6_tl9xbo","","","","","","","","","","","","",""
"","","","","","survey","1","52385","0.0-1.0","2025-02-03T14:50:48.835Z","6_tl9xbo","18345","{""testrun"":""Experiment""}","testrun","","","","","","","","","",""
"","","","","","survey-text","2","1817242","0.0-2.0","2025-02-03T14:50:48.835Z","6_tl9xbo","1781298","{""subject_id"":""6_tl9xbo""}","welcome","","","","","","","","","",""
"","","","","","html-slider-response","3","1848606","0.0-3.0","2025-02-03T14:50:48.835Z","6_tl9xbo","31359","52","successBelief","<p>Bevor wir beginnen, möchten wir Sie nach Ihrer Einstellung zum Experiment fragen.</p>
            <p style=""font-weight: bold;"">Wie wahrscheinlich halten Sie es, dass Sie persönlich bei Ihrem heutigen präkognitiven Test erfolgreich sein werden?</p>","50","","","","","","","",""
"","","","","","html-slider-response","4","1859171","0.0-4.0","2025-02-03T14:50:48.835Z","6_tl9xbo","10560","68","comfortable","<p style=""font-weight: bold;"">Fühlen Sie sich wohl mit dem Ganzfeld-Setup?</p>","50","","","","","","","",""
"","","","","","html-button-response","5","1886829","0.0-5.0","2025-02-03T14:50:48.835Z","6_tl9xbo","27653","0","restIntro","<p>Als nächstes möchten wir Sie bitten, sich für 3 Minuten auf einen bequemen Stuhl zu setzen. Drücken Sie auf ""Weiter"", wenn Sie bereit sind, machen Sie es sich dann im Stuhl bequem und ruhen Sie sich aus, bis Sie ein Signalton am Ende des dreiminütigen Intervalls hören. Danach können Sie zu diesem Programm zurückkehren, um fortzufahren.</p>","","","","","","","","",""
"","","","","","html-keyboard-response","6","2069344","0.0-6.0","2025-02-03T14:50:48.835Z","6_tl9xbo","null","null","rest","","","","","","","","","",""
"","","","","","call-function","7","2069346","0.0-7.0-0.0","2025-02-03T14:50:48.835Z","6_tl9xbo","","","","","","","","","","","","",""
"","","","","","survey","8","2204457","0.0-7.0-1.0","2025-02-03T14:50:48.835Z","6_tl9xbo","134953","{""PCIRest1"":5,""PCIRest2"":2,""PCIRest3"":5,""PCIRest4"":5,""PCIRest5"":2,""PCIRest6"":5,""PCIRest7"":5,""PCIRest8"":1,""PCIRest9"":1,""PCIRest10"":5,""PCIRest11"":2,""PCIRest12"":2,""PCIRest13"":1,""PCIIntro"":null}","PCIRest","","","","","","","","","",""
"","","","","","call-function","9","2204460","0.0-7.0-2.0","2025-02-03T14:50:48.835Z","6_tl9xbo","","","","","","","","","","","","",""
"","","","","","instructions","10","2406420","0.0-8.0","2025-02-03T14:50:48.835Z","6_tl9xbo","201954","","instructions1","","","","[{""page_index"":0,""viewing_time"":201953}]","","","","","",""
