"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part","stimulus","slider_start","value","view_history","rndSet","rndV1","rndV2","videoA","videoB","videoStimulus"
"true","false","[]","[]","[]","preload","0","18260","0.0-0.0","2025-02-04T13:00:44.530Z","6_tbk4mj","","","","","","","","","","","","",""
"","","","","","survey","1","23692","0.0-1.0","2025-02-04T13:00:44.530Z","6_tbk4mj","5373","{""testrun"":""Experiment""}","testrun","","","","","","","","","",""
"","","","","","survey-text","2","215767","0.0-2.0","2025-02-04T13:00:44.530Z","6_tbk4mj","192062","{""subject_id"":""6_tbk4mj""}","welcome","","","","","","","","","",""
"","","","","","html-slider-response","3","225212","0.0-3.0","2025-02-04T13:00:44.530Z","6_tbk4mj","9441","81","successBelief","<p>Before we begin, we would like to ask you about your attitude to the experiment.</p>
            <p style=""font-weight: bold;"">How likely do you think it is that you personally will succeed in your precognitive test today?</p>","50","","","","","","","",""
"","","","","","html-slider-response","4","230004","0.0-4.0","2025-02-04T13:00:44.530Z","6_tbk4mj","4789","100","comfortable","<p style=""font-weight: bold;"">Do you feel comfortable with the Ganzfeld setup?</p>","50","","","","","","","",""
"","","","","","html-button-response","5","247988","0.0-5.0","2025-02-04T13:00:44.530Z","6_tbk4mj","17981","0","restIntro","<p>Next we would like you to rest in a reclining chair for 3 minutes. Press Continue when you are ready, then make yourself comfortable in the chair, and rest until you hear a beep signaling the end of the three minute interval. Afterwards you can return to this program to proceed.</p>","","","","","","","","",""
"","","","","","html-keyboard-response","6","430503","0.0-6.0","2025-02-04T13:00:44.530Z","6_tbk4mj","null","null","rest","","","","","","","","","",""
"","","","","","call-function","7","430506","0.0-7.0-0.0","2025-02-04T13:00:44.530Z","6_tbk4mj","","","","","","","","","","","","",""
"","","","","","survey","8","550460","0.0-7.0-1.0","2025-02-04T13:00:44.530Z","6_tbk4mj","119786","{""PCIRest1"":2,""PCIRest2"":4,""PCIRest3"":0,""PCIRest4"":5,""PCIRest5"":4,""PCIRest6"":4,""PCIRest7"":1,""PCIRest8"":4,""PCIRest9"":1,""PCIRest10"":6,""PCIRest11"":4,""PCIRest12"":2,""PCIRest13"":1,""PCIIntro"":null}","PCIRest","","","","","","","","","",""
"","","","","","call-function","9","550463","0.0-7.0-2.0","2025-02-04T13:00:44.530Z","6_tbk4mj","","","","","","","","","","","","",""
"","","","","","instructions","10","603307","0.0-8.0","2025-02-04T13:00:44.530Z","6_tbk4mj","52838","","instructions1","","","","[{""page_index"":0,""viewing_time"":52838}]","","","","","",""
"","","","","","html-button-response","11","714492","0.0-9.0","2025-02-04T13:00:44.530Z","6_tbk4mj","111137","0","GanzfeldIntro","<p>Please tell the experimenter to assist you with the Ganzfeld equipment. The experimenter will click ""Continue"" when you are ready to begin.</p>
            <p>The audio level for the ganzfeld can be adjusted while playing the audio sample below.</p>
            <audio controls>
                <source src=""../audio/pinknoise_7min_128.mp3"" type=""audio/mpeg"">
                Your browser does not support the audio element.
            </audio>","","","","","","","","",""
"","","","","","audio-keyboard-response","12","2904615","0.0-10.0","2025-02-04T13:00:44.530Z","6_tbk4mj","null","null","GanzfeldPlay","../audio/English_Ganzfeld_Induction_v4.mp3","","","","","","","","",""
"","","","","","call-function","13","2904620","0.0-11.0-0.0","2025-02-04T13:00:44.530Z","6_tbk4mj","","","","","","","","","","","","",""
"","","","","","survey","14","3001417","0.0-11.0-1.0","2025-02-04T13:00:44.530Z","6_tbk4mj","96561","{""PCIGanz1"":6,""PCIGanz2"":6,""PCIGanz3"":0,""PCIGanz4"":5,""PCIGanz5"":6,""PCIGanz6"":6,""PCIGanz7"":0,""PCIGanz8"":0,""PCIGanz9"":1,""PCIGanz10"":0,""PCIGanz11"":2,""PCIGanz12"":6,""PCIGanz13"":6,""PCIIntro"":null}","PCIGanzfeld","","","","","","","","","",""
"","","","","","call-function","15","3001422","0.0-11.0-2.0","2025-02-04T13:00:44.530Z","6_tbk4mj","","","","","","","","","","","","",""
"","","","","","survey","16","3033430","0.0-12.0","2025-02-04T13:00:44.530Z","6_tbk4mj","31954","{""DSSQ"":{""DSSQ01"":1,""DSSQ02"":3,""DSSQ03"":1,""DSSQ04"":2,""DSSQ05"":2,""DSSQ06"":3,""DSSQ07"":1,""DSSQ08"":1},""DSSQIntro"":null}","DSSQ","","","","","","","","","",""
"","","","","","html-slider-response","17","3046813","0.0-13.0","2025-02-04T13:00:44.530Z","6_tbk4mj","13379","23","time1","<p><i>Please answer the following two questions about your experiences during the 30 minutes of Ganzfeld.</i></p>
            <p>1. How often did you think about time <b>during the task</b>?</p>","50","","","","","","","",""
"","","","","","html-slider-response","18","3051784","0.0-14.0","2025-02-04T13:00:44.530Z","6_tbk4mj","4968","38","time2","<p><i>Please answer the following two questions about your experiences during the 30 minutes of Ganzfeld.</i></p>
            <p>2. How fast did time pass for you <b>during the task</b>?</p>","50","","","","","","","",""
"","","","","","instructions","19","3142242","0.0-15.0","2025-02-04T13:00:44.530Z","6_tbk4mj","90455","","instructions2","","","","[{""page_index"":0,""viewing_time"":90454}]","","","","","",""
"","","","","","html-button-response","20","3145689","0.0-16.0","2025-02-04T13:00:44.530Z","6_tbk4mj","3444","0","videoIntro","<p>Now we would like you to watch two short videos and rate how similar they are to your Ganzfeld experience.</p><p>Please click ""Continue"" when you are ready.</p>","","","","3","0","3","../video/11 A Airport Shooting.mp4","../video/11 D Underwater Baby.mp4",""
"true","false","[]","[]","[]","preload","21","3146220","0.0-17.0","2025-02-04T13:00:44.530Z","6_tbk4mj","","","","","","","","","","","","",""
"","","","","","survey-html-form","22","3300347","0.0-18.0-0.0","2025-02-04T13:00:44.530Z","6_tbk4mj","154098","{""ClipA"":""0"",""ClipB"":""80""}","videoRating","","","","","","","","","",""
"","","","","","html-button-response","23","3304432","0.0-19.0","2025-02-04T13:00:44.530Z","6_tbk4mj","4081","0","videoTargetIntro","<p>We will now select the target video.</p><p>Please watch the selected video a second time.</p>","","","","","","","","","[""../video/11 D Underwater Baby.mp4""]"
"","","","","","video-keyboard-response","24","3367136","0.0-20.0","2025-02-04T13:00:44.530Z","6_tbk4mj","null","null","videoTarget","[""../video/11 D Underwater Baby.mp4""]","","","","","","","","",""
