"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part","stimulus","slider_start","value","view_history"
"true","false","[]","[]","[]","preload","0","22272","0.0-0.0","2025-02-05T07:39:40.043Z","6_mguq6q","","","","","","",""
"","","","","","survey","1","95468","0.0-1.0","2025-02-05T07:39:40.043Z","6_mguq6q","73102","{""testrun"":""Experiment""}","testrun","","","",""
"","","","","","survey-text","2","475440","0.0-2.0","2025-02-05T07:39:40.043Z","6_mguq6q","379850","{""subject_id"":""6_mguq6q""}","welcome","","","",""
"","","","","","html-slider-response","3","496603","0.0-3.0","2025-02-05T07:39:40.043Z","6_mguq6q","21159","4","successBelief","<p>Bevor wir beginnen, möchten wir Sie nach Ihrer Einstellung zum Experiment fragen.</p>
            <p style=""font-weight: bold;"">Wie wahrscheinlich halten Sie es, dass Sie persönlich bei Ihrem heutigen präkognitiven Test erfolgreich sein werden?</p>","50","",""
"","","","","","html-slider-response","4","503957","0.0-4.0","2025-02-05T07:39:40.043Z","6_mguq6q","7350","90","comfortable","<p style=""font-weight: bold;"">Fühlen Sie sich wohl mit dem Ganzfeld-Setup?</p>","50","",""
"","","","","","html-button-response","5","546966","0.0-5.0","2025-02-05T07:39:40.043Z","6_mguq6q","43005","0","restIntro","<p>Als nächstes möchten wir Sie bitten, sich für 3 Minuten auf einen bequemen Stuhl zu setzen. Drücken Sie auf ""Weiter"", wenn Sie bereit sind, machen Sie es sich dann im Stuhl bequem und ruhen Sie sich aus, bis Sie ein Signalton am Ende des dreiminütigen Intervalls hören. Danach können Sie zu diesem Programm zurückkehren, um fortzufahren.</p>","","",""
"","","","","","html-keyboard-response","6","729469","0.0-6.0","2025-02-05T07:39:40.043Z","6_mguq6q","null","null","rest","","","",""
"","","","","","call-function","7","729472","0.0-7.0-0.0","2025-02-05T07:39:40.043Z","6_mguq6q","","","","","","",""
"","","","","","survey","8","977629","0.0-7.0-1.0","2025-02-05T07:39:40.043Z","6_mguq6q","247954","{""PCIRest1"":4,""PCIRest2"":2,""PCIRest3"":5,""PCIRest4"":5,""PCIRest5"":2,""PCIRest6"":5,""PCIRest7"":5,""PCIRest8"":1,""PCIRest9"":2,""PCIRest10"":5,""PCIRest11"":2,""PCIRest12"":3,""PCIRest13"":1,""PCIIntro"":null}","PCIRest","","","",""
"","","","","","call-function","9","977631","0.0-7.0-2.0","2025-02-05T07:39:40.043Z","6_mguq6q","","","","","","",""
"","","","","","instructions","10","1079452","0.0-8.0","2025-02-05T07:39:40.043Z","6_mguq6q","101816","","instructions1","","","","[{""page_index"":0,""viewing_time"":101816}]"
"","","","","","html-button-response","11","1276142","0.0-9.0","2025-02-05T07:39:40.043Z","6_mguq6q","196632","0","GanzfeldIntro","<p>Bitte sagen Sie dem Versuchsleiter, dass er Ihnen bei der Ganzfeld-Ausrüstung behilflich sein soll. Der Versuchsleiter wird auf ""Weiter"" klicken, wenn Sie bereit sind, um zu beginnen.</p>
            <p>Der Audiopegel für das Ganzfeld kann während der Wiedergabe der unten stehenden Audiodatei angepasst werden.</p>
            <audio controls>
                <source src=""../audio/pinknoise_7min_128.mp3"" type=""audio/mpeg"">
                Your browser does not support the audio element.
            </audio>","","",""
