"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part","stimulus","slider_start","value","view_history","rndSet","rndV1","rndV2","videoA","videoB","videoStimulus"
"true","false","[]","[]","[]","preload","0","6232","0.0-0.0","2025-02-06T11:11:46.756Z","5_h1ye1m","","","","","","","","","","","","",""
"","","","","","survey","1","8944","0.0-1.0","2025-02-06T11:11:46.756Z","5_h1ye1m","2688","{""testrun"":""Experiment""}","testrun","","","","","","","","","",""
"","","","","","survey-text","2","256260","0.0-2.0","2025-02-06T11:11:46.756Z","5_h1ye1m","247305","{""subject_id"":""5_h1ye1m""}","welcome","","","","","","","","","",""
"","","","","","html-slider-response","3","268132","0.0-3.0","2025-02-06T11:11:46.756Z","5_h1ye1m","11870","75","successBelief","<p>Bevor wir beginnen, möchten wir Sie nach Ihrer Einstellung zum Experiment fragen.</p>
            <p style=""font-weight: bold;"">Wie wahrscheinlich halten Sie es, dass Sie persönlich bei Ihrem heutigen präkognitiven Test erfolgreich sein werden?</p>","50","","","","","","","",""
"","","","","","html-slider-response","4","275548","0.0-4.0","2025-02-06T11:11:46.756Z","5_h1ye1m","7415","69","comfortable","<p style=""font-weight: bold;"">Fühlen Sie sich wohl mit dem Ganzfeld-Setup?</p>","50","","","","","","","",""
"","","","","","html-button-response","5","313027","0.0-5.0","2025-02-06T11:11:46.756Z","5_h1ye1m","37478","0","restIntro","<p>Als nächstes möchten wir Sie bitten, sich für 3 Minuten auf einen bequemen Stuhl zu setzen. Drücken Sie auf ""Weiter"", wenn Sie bereit sind, machen Sie es sich dann im Stuhl bequem und ruhen Sie sich aus, bis Sie ein Signalton am Ende des dreiminütigen Intervalls hören. Danach können Sie zu diesem Programm zurückkehren, um fortzufahren.</p>","","","","","","","","",""
"","","","","","html-keyboard-response","6","495544","0.0-6.0","2025-02-06T11:11:46.756Z","5_h1ye1m","null","null","rest","","","","","","","","","",""
"","","","","","call-function","7","495547","0.0-7.0-0.0","2025-02-06T11:11:46.756Z","5_h1ye1m","","","","","","","","","","","","",""
"","","","","","survey","8","696912","0.0-7.0-1.0","2025-02-06T11:11:46.756Z","5_h1ye1m","201331","{""PCIRest1"":5,""PCIRest2"":2,""PCIRest3"":3,""PCIRest4"":5,""PCIRest5"":4,""PCIRest6"":4,""PCIRest7"":3,""PCIRest8"":1,""PCIRest9"":1,""PCIRest10"":2,""PCIRest11"":3,""PCIRest12"":3,""PCIRest13"":4,""PCIIntro"":null}","PCIRest","","","","","","","","","",""
"","","","","","call-function","9","696913","0.0-7.0-2.0","2025-02-06T11:11:46.756Z","5_h1ye1m","","","","","","","","","","","","",""
"","","","","","instructions","10","822387","0.0-8.0","2025-02-06T11:11:46.756Z","5_h1ye1m","125474","","instructions1","","","","[{""page_index"":0,""viewing_time"":125474}]","","","","","",""
"","","","","","html-button-response","11","1145620","0.0-9.0","2025-02-06T11:11:46.756Z","5_h1ye1m","323230","0","GanzfeldIntro","<p>Bitte sagen Sie dem Versuchsleiter, dass er Ihnen bei der Ganzfeld-Ausrüstung behilflich sein soll. Der Versuchsleiter wird auf ""Weiter"" klicken, wenn Sie bereit sind, um zu beginnen.</p>
            <p>Der Audiopegel für das Ganzfeld kann während der Wiedergabe der unten stehenden Audiodatei angepasst werden.</p>
            <audio controls>
                <source src=""../audio/pinknoise_7min_128.mp3"" type=""audio/mpeg"">
                Your browser does not support the audio element.
            </audio>","","","","","","","","",""
"","","","","","audio-keyboard-response","12","3335723","0.0-10.0","2025-02-06T11:11:46.756Z","5_h1ye1m","null","null","GanzfeldPlay","../audio/German_Ganzfeld_Induction_v4.mp3","","","","","","","","",""
"","","","","","call-function","13","3335724","0.0-11.0-0.0","2025-02-06T11:11:46.756Z","5_h1ye1m","","","","","","","","","","","","",""
"","","","","","survey","14","3644403","0.0-11.0-1.0","2025-02-06T11:11:46.756Z","5_h1ye1m","308647","{""PCIGanz1"":5,""PCIGanz2"":1,""PCIGanz3"":5,""PCIGanz4"":5,""PCIGanz5"":4,""PCIGanz6"":5,""PCIGanz7"":5,""PCIGanz8"":1,""PCIGanz9"":2,""PCIGanz10"":2,""PCIGanz11"":1,""PCIGanz12"":1,""PCIGanz13"":2,""PCIIntro"":null}","PCIGanzfeld","","","","","","","","","",""
"","","","","","call-function","15","3644405","0.0-11.0-2.0","2025-02-06T11:11:46.756Z","5_h1ye1m","","","","","","","","","","","","",""
"","","","","","survey","16","3716670","0.0-12.0","2025-02-06T11:11:46.756Z","5_h1ye1m","72258","{""DSSQ"":{""DSSQ01"":3,""DSSQ02"":3,""DSSQ03"":1,""DSSQ04"":2,""DSSQ05"":3,""DSSQ06"":3,""DSSQ07"":1,""DSSQ08"":1},""DSSQIntro"":null}","DSSQ","","","","","","","","","",""
