"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part","stimulus","slider_start","value","view_history","rndSet","rndV1","rndV2","videoA","videoB","videoStimulus"
"true","false","[]","[]","[]","preload","0","6232","0.0-0.0","2025-02-07T10:14:04.226Z","5_9q665j","","","","","","","","","","","","",""
"","","","","","survey","1","10799","0.0-1.0","2025-02-07T10:14:04.226Z","5_9q665j","4543","{""testrun"":""Experiment""}","testrun","","","","","","","","","",""
"","","","","","survey-text","2","257234","0.0-2.0","2025-02-07T10:14:04.226Z","5_9q665j","246416","{""subject_id"":""5_9q665j""}","welcome","","","","","","","","","",""
"","","","","","html-slider-response","3","284217","0.0-3.0","2025-02-07T10:14:04.226Z","5_9q665j","26981","60","successBelief","<p>Bevor wir beginnen, möchten wir Sie nach Ihrer Einstellung zum Experiment fragen.</p>
            <p style=""font-weight: bold;"">Wie wahrscheinlich halten Sie es, dass Sie persönlich bei Ihrem heutigen präkognitiven Test erfolgreich sein werden?</p>","50","","","","","","","",""
"","","","","","html-slider-response","4","294105","0.0-4.0","2025-02-07T10:14:04.226Z","5_9q665j","9887","84","comfortable","<p style=""font-weight: bold;"">Fühlen Sie sich wohl mit dem Ganzfeld-Setup?</p>","50","","","","","","","",""
"","","","","","html-button-response","5","306457","0.0-5.0","2025-02-07T10:14:04.226Z","5_9q665j","12351","0","restIntro","<p>Als nächstes möchten wir Sie bitten, sich für 3 Minuten auf einen bequemen Stuhl zu setzen. Drücken Sie auf ""Weiter"", wenn Sie bereit sind, machen Sie es sich dann im Stuhl bequem und ruhen Sie sich aus, bis Sie ein Signalton am Ende des dreiminütigen Intervalls hören. Danach können Sie zu diesem Programm zurückkehren, um fortzufahren.</p>","","","","","","","","",""
"","","","","","html-keyboard-response","6","488973","0.0-6.0","2025-02-07T10:14:04.226Z","5_9q665j","null","null","rest","","","","","","","","","",""
"","","","","","call-function","7","488977","0.0-7.0-0.0","2025-02-07T10:14:04.226Z","5_9q665j","","","","","","","","","","","","",""
"","","","","","survey","8","822095","0.0-7.0-1.0","2025-02-07T10:14:04.226Z","5_9q665j","333085","{""PCIRest1"":5,""PCIRest2"":4,""PCIRest3"":2,""PCIRest4"":2,""PCIRest5"":1,""PCIRest6"":3,""PCIRest7"":1,""PCIRest8"":2,""PCIRest9"":4,""PCIRest10"":0,""PCIRest11"":5,""PCIRest12"":4,""PCIRest13"":2,""PCIIntro"":null}","PCIRest","","","","","","","","","",""
"","","","","","call-function","9","822096","0.0-7.0-2.0","2025-02-07T10:14:04.226Z","5_9q665j","","","","","","","","","","","","",""
"","","","","","instructions","10","969681","0.0-8.0","2025-02-07T10:14:04.226Z","5_9q665j","147584","","instructions1","","","","[{""page_index"":0,""viewing_time"":147584}]","","","","","",""
"","","","","","html-button-response","11","1123602","0.0-9.0","2025-02-07T10:14:04.226Z","5_9q665j","153918","0","GanzfeldIntro","<p>Bitte sagen Sie dem Versuchsleiter, dass er Ihnen bei der Ganzfeld-Ausrüstung behilflich sein soll. Der Versuchsleiter wird auf ""Weiter"" klicken, wenn Sie bereit sind, um zu beginnen.</p>
            <p>Der Audiopegel für das Ganzfeld kann während der Wiedergabe der unten stehenden Audiodatei angepasst werden.</p>
            <audio controls>
                <source src=""../audio/pinknoise_7min_128.mp3"" type=""audio/mpeg"">
                Your browser does not support the audio element.
            </audio>","","","","","","","","",""
"","","","","","audio-keyboard-response","12","3313708","0.0-10.0","2025-02-07T10:14:04.226Z","5_9q665j","null","null","GanzfeldPlay","../audio/German_Ganzfeld_Induction_v4.mp3","","","","","","","","",""
