"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part","stimulus","slider_start","value","view_history"
"true","false","[]","[]","[]","preload","0","24685","0.0-0.0","2025-02-07T18:15:48.947Z","3_yf7cvh","","","","","","",""
"","","","","","survey","1","33897","0.0-1.0","2025-02-07T18:15:48.947Z","3_yf7cvh","9106","{""testrun"":""Experiment""}","testrun","","","",""
"","","","","","survey-text","2","4199539","0.0-2.0","2025-02-07T18:15:48.947Z","3_yf7cvh","4165616","{""subject_id"":""3_yf7cvh""}","welcome","","","",""
"","","","","","html-slider-response","3","4219620","0.0-3.0","2025-02-07T18:15:48.947Z","3_yf7cvh","20064","98","successBelief","<p>Before we begin, we would like to ask you about your attitude to the experiment.</p>
            <p style=""font-weight: bold;"">How likely do you think it is that you personally will succeed in your precognitive test today?</p>","50","",""
"","","","","","html-slider-response","4","4224598","0.0-4.0","2025-02-07T18:15:48.947Z","3_yf7cvh","4973","100","comfortable","<p style=""font-weight: bold;"">Do you feel comfortable with the Ganzfeld setup?</p>","50","",""
"","","","","","html-button-response","5","4234652","0.0-5.0","2025-02-07T18:15:48.947Z","3_yf7cvh","10050","0","restIntro","<p>Next we would like you to rest in a reclining chair for 3 minutes. Press Continue when you are ready, then make yourself comfortable in the chair, and rest until you hear a beep signaling the end of the three minute interval. Afterwards you can return to this program to proceed.</p>","","",""
"","","","","","html-keyboard-response","6","4417325","0.0-6.0","2025-02-07T18:15:48.947Z","3_yf7cvh","null","null","rest","","","",""
"","","","","","call-function","7","4417330","0.0-7.0-0.0","2025-02-07T18:15:48.947Z","3_yf7cvh","","","","","","",""
"","","","","","survey","8","4581115","0.0-7.0-1.0","2025-02-07T18:15:48.947Z","3_yf7cvh","163641","{""PCIRest1"":5,""PCIRest2"":5,""PCIRest3"":4,""PCIRest4"":5,""PCIRest5"":5,""PCIRest6"":1,""PCIRest7"":4,""PCIRest8"":3,""PCIRest9"":2,""PCIRest10"":3,""PCIRest11"":4,""PCIRest12"":3,""PCIRest13"":4,""PCIIntro"":null}","PCIRest","","","",""
"","","","","","call-function","9","4581118","0.0-7.0-2.0","2025-02-07T18:15:48.947Z","3_yf7cvh","","","","","","",""
"","","","","","instructions","10","4659791","0.0-8.0","2025-02-07T18:15:48.947Z","3_yf7cvh","78672","","instructions1","","","","[{""page_index"":0,""viewing_time"":78671}]"
"","","","","","html-button-response","11","4936174","0.0-9.0","2025-02-07T18:15:48.947Z","3_yf7cvh","276376","0","GanzfeldIntro","<p>Please tell the experimenter to assist you with the Ganzfeld equipment. The experimenter will click ""Continue"" when you are ready to begin.</p>
            <p>The audio level for the ganzfeld can be adjusted while playing the audio sample below.</p>
            <audio controls>
                <source src=""../audio/pinknoise_7min_128.mp3"" type=""audio/mpeg"">
                Your browser does not support the audio element.
            </audio>","","",""
