"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part","stimulus","slider_start","value","view_history"
"true","false","[]","[]","[]","preload","0","6307","0.0-0.0","2025-02-24T12:42:56.690Z","5_49f1hf","","","","","","",""
"","","","","","survey","1","76159","0.0-1.0","2025-02-24T12:42:56.690Z","5_49f1hf","69829","{""testrun"":""Experiment""}","testrun","","","",""
"","","","","","survey-text","2","307770","0.0-2.0","2025-02-24T12:42:56.690Z","5_49f1hf","231602","{""subject_id"":""5_49f1hf""}","welcome","","","",""
"","","","","","html-slider-response","3","326105","0.0-3.0","2025-02-24T12:42:56.690Z","5_49f1hf","18334","69","successBelief","<p>Bevor wir beginnen, möchten wir Sie nach Ihrer Einstellung zum Experiment fragen.</p>
            <p style=""font-weight: bold;"">Wie wahrscheinlich halten Sie es, dass Sie persönlich bei Ihrem heutigen präkognitiven Test erfolgreich sein werden?</p>","50","",""
"","","","","","html-slider-response","4","334921","0.0-4.0","2025-02-24T12:42:56.690Z","5_49f1hf","8815","70","comfortable","<p style=""font-weight: bold;"">Fühlen Sie sich wohl mit dem Ganzfeld-Setup?</p>","50","",""
"","","","","","html-button-response","5","391129","0.0-5.0","2025-02-24T12:42:56.690Z","5_49f1hf","56207","0","restIntro","<p>Als nächstes möchten wir Sie bitten, sich für 3 Minuten auf einen bequemen Stuhl zu setzen. Drücken Sie auf ""Weiter"", wenn Sie bereit sind, machen Sie es sich dann im Stuhl bequem und ruhen Sie sich aus, bis Sie ein Signalton am Ende des dreiminütigen Intervalls hören. Danach können Sie zu diesem Programm zurückkehren, um fortzufahren.</p>","","",""
"","","","","","html-keyboard-response","6","573645","0.0-6.0","2025-02-24T12:42:56.690Z","5_49f1hf","null","null","rest","","","",""
"","","","","","call-function","7","573648","0.0-7.0-0.0","2025-02-24T12:42:56.690Z","5_49f1hf","","","","","","",""
"","","","","","survey","8","777814","0.0-7.0-1.0","2025-02-24T12:42:56.690Z","5_49f1hf","204132","{""PCIRest1"":4,""PCIRest2"":3,""PCIRest3"":1,""PCIRest4"":5,""PCIRest5"":5,""PCIRest6"":2,""PCIRest7"":1,""PCIRest8"":2,""PCIRest9"":2,""PCIRest10"":4,""PCIRest11"":5,""PCIRest12"":4,""PCIRest13"":4,""PCIIntro"":null}","PCIRest","","","",""
"","","","","","call-function","9","777815","0.0-7.0-2.0","2025-02-24T12:42:56.690Z","5_49f1hf","","","","","","",""
"","","","","","instructions","10","962145","0.0-8.0","2025-02-24T12:42:56.690Z","5_49f1hf","184330","","instructions1","","","","[{""page_index"":0,""viewing_time"":184329}]"
"","","","","","html-button-response","11","1431577","0.0-9.0","2025-02-24T12:42:56.690Z","5_49f1hf","469429","0","GanzfeldIntro","<p>Bitte sagen Sie dem Versuchsleiter, dass er Ihnen bei der Ganzfeld-Ausrüstung behilflich sein soll. Der Versuchsleiter wird auf ""Weiter"" klicken, wenn Sie bereit sind, um zu beginnen.</p>
            <p>Der Audiopegel für das Ganzfeld kann während der Wiedergabe der unten stehenden Audiodatei angepasst werden.</p>
            <audio controls>
                <source src=""../audio/pinknoise_7min_128.mp3"" type=""audio/mpeg"">
                Your browser does not support the audio element.
            </audio>","","",""
