"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part","stimulus","slider_start","value","view_history","rndSet","rndV1","rndV2","videoA","videoB","videoStimulus"
"true","false","[]","[]","[]","preload","0","33178","0.0-0.0","2025-02-28T09:48:58.081Z","2_5fysv2","","","","","","","","","","","","",""
"","","","","","survey","1","3010585","0.0-1.0","2025-02-28T09:48:58.081Z","2_5fysv2","2977266","{""testrun"":""Experiment""}","testrun","","","","","","","","","",""
"","","","","","survey-text","2","3023790","0.0-2.0","2025-02-28T09:48:58.081Z","2_5fysv2","13102","{""subject_id"":""2_5fysv2""}","welcome","","","","","","","","","",""
"","","","","","html-slider-response","3","3037481","0.0-3.0","2025-02-28T09:48:58.081Z","2_5fysv2","13676","87","successBelief","<p>Before we begin, we would like to ask you about your attitude to the experiment.</p>
            <p style=""font-weight: bold;"">How likely do you think it is that you personally will succeed in your precognitive test today?</p>","50","","","","","","","",""
"","","","","","html-slider-response","4","3042637","0.0-4.0","2025-02-28T09:48:58.081Z","2_5fysv2","5151","100","comfortable","<p style=""font-weight: bold;"">Do you feel comfortable with the Ganzfeld setup?</p>","50","","","","","","","",""
"","","","","","html-button-response","5","3049649","0.0-5.0","2025-02-28T09:48:58.081Z","2_5fysv2","7005","0","restIntro","<p>Next we would like you to rest in a reclining chair for 3 minutes. Press Continue when you are ready, then make yourself comfortable in the chair, and rest until you hear a beep signaling the end of the three minute interval. Afterwards you can return to this program to proceed.</p>","","","","","","","","",""
"","","","","","html-keyboard-response","6","3232290","0.0-6.0","2025-02-28T09:48:58.081Z","2_5fysv2","null","null","rest","","","","","","","","","",""
"","","","","","call-function","7","3232292","0.0-7.0-0.0","2025-02-28T09:48:58.081Z","2_5fysv2","","","","","","","","","","","","",""
"","","","","","survey","8","3436163","0.0-7.0-1.0","2025-02-28T09:48:58.081Z","2_5fysv2","203772","{""PCIRest1"":5,""PCIRest2"":0,""PCIRest3"":6,""PCIRest4"":1,""PCIRest5"":1,""PCIRest6"":6,""PCIRest7"":6,""PCIRest8"":1,""PCIRest9"":3,""PCIRest10"":6,""PCIRest11"":0,""PCIRest12"":1,""PCIRest13"":1,""PCIIntro"":null}","PCIRest","","","","","","","","","",""
"","","","","","call-function","9","3436168","0.0-7.0-2.0","2025-02-28T09:48:58.081Z","2_5fysv2","","","","","","","","","","","","",""
"","","","","","instructions","10","3545313","0.0-8.0","2025-02-28T09:48:58.081Z","2_5fysv2","109140","","instructions1","","","","[{""page_index"":0,""viewing_time"":109139}]","","","","","",""
"","","","","","html-button-response","11","3684866","0.0-9.0","2025-02-28T09:48:58.081Z","2_5fysv2","139540","0","GanzfeldIntro","<p>Please tell the experimenter to assist you with the Ganzfeld equipment. The experimenter will click ""Continue"" when you are ready to begin.</p>
            <p>The audio level for the ganzfeld can be adjusted while playing the audio sample below.</p>
            <audio controls>
                <source src=""../audio/pinknoise_7min_128.mp3"" type=""audio/mpeg"">
                Your browser does not support the audio element.
            </audio>","","","","","","","","",""
