"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part","stimulus","slider_start","value","view_history","rndSet","rndV1","rndV2","videoA","videoB","videoStimulus"
"true","false","[]","[]","[]","preload","0","6187","0.0-0.0","2025-03-05T13:46:51.201Z","5_7lsgev","","","","","","","","","","","","",""
"","","","","","survey","1","29190","0.0-1.0","2025-03-05T13:46:51.201Z","5_7lsgev","22979","{""testrun"":""Experiment""}","testrun","","","","","","","","","",""
"","","","","","survey-text","2","127361","0.0-2.0","2025-03-05T13:46:51.201Z","5_7lsgev","98154","{""subject_id"":""5_7lsgev""}","welcome","","","","","","","","","",""
"","","","","","html-slider-response","3","266864","0.0-3.0","2025-03-05T13:46:51.201Z","5_7lsgev","139501","66","successBelief","<p>Bevor wir beginnen, möchten wir Sie nach Ihrer Einstellung zum Experiment fragen.</p>
            <p style=""font-weight: bold;"">Wie wahrscheinlich halten Sie es, dass Sie persönlich bei Ihrem heutigen präkognitiven Test erfolgreich sein werden?</p>","50","","","","","","","",""
"","","","","","html-slider-response","4","272080","0.0-4.0","2025-03-05T13:46:51.201Z","5_7lsgev","5214","93","comfortable","<p style=""font-weight: bold;"">Fühlen Sie sich wohl mit dem Ganzfeld-Setup?</p>","50","","","","","","","",""
"","","","","","html-button-response","5","305800","0.0-5.0","2025-03-05T13:46:51.201Z","5_7lsgev","33719","0","restIntro","<p>Als nächstes möchten wir Sie bitten, sich für 3 Minuten auf einen bequemen Stuhl zu setzen. Drücken Sie auf ""Weiter"", wenn Sie bereit sind, machen Sie es sich dann im Stuhl bequem und ruhen Sie sich aus, bis Sie ein Signalton am Ende des dreiminütigen Intervalls hören. Danach können Sie zu diesem Programm zurückkehren, um fortzufahren.</p>","","","","","","","","",""
"","","","","","html-keyboard-response","6","488315","0.0-6.0","2025-03-05T13:46:51.201Z","5_7lsgev","null","null","rest","","","","","","","","","",""
"","","","","","call-function","7","488317","0.0-7.0-0.0","2025-03-05T13:46:51.201Z","5_7lsgev","","","","","","","","","","","","",""
"","","","","","survey","8","688462","0.0-7.0-1.0","2025-03-05T13:46:51.201Z","5_7lsgev","200099","{""PCIRest1"":3,""PCIRest2"":4,""PCIRest3"":1,""PCIRest4"":4,""PCIRest5"":4,""PCIRest6"":3,""PCIRest7"":1,""PCIRest8"":2,""PCIRest9"":3,""PCIRest10"":1,""PCIRest11"":5,""PCIRest12"":3,""PCIRest13"":4,""PCIIntro"":null}","PCIRest","","","","","","","","","",""
"","","","","","call-function","9","688463","0.0-7.0-2.0","2025-03-05T13:46:51.201Z","5_7lsgev","","","","","","","","","","","","",""
"","","","","","instructions","10","963743","0.0-8.0","2025-03-05T13:46:51.201Z","5_7lsgev","275279","","instructions1","","","","[{""page_index"":0,""viewing_time"":275279}]","","","","","",""
