"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part","stimulus","slider_start","value","view_history","rndSet","rndV1","rndV2","videoA","videoB","videoStimulus"
"true","false","[]","[]","[]","preload","0","11669","0.0-0.0","2025-03-17T13:05:55.331Z","5_jguwqs","","","","","","","","","","","","",""
"","","","","","survey","1","14223","0.0-1.0","2025-03-17T13:05:55.331Z","5_jguwqs","2542","{""testrun"":""Experiment""}","testrun","","","","","","","","","",""
"","","","","","survey-text","2","112196","0.0-2.0","2025-03-17T13:05:55.331Z","5_jguwqs","97969","{""subject_id"":""5_jguwqs""}","welcome","","","","","","","","","",""
"","","","","","html-slider-response","3","148283","0.0-3.0","2025-03-17T13:05:55.331Z","5_jguwqs","36085","59","successBelief","<p>Before we begin, we would like to ask you about your attitude to the experiment.</p>
            <p style=""font-weight: bold;"">How likely do you think it is that you personally will succeed in your precognitive test today?</p>","50","","","","","","","",""
"","","","","","html-slider-response","4","169667","0.0-4.0","2025-03-17T13:05:55.331Z","5_jguwqs","21383","83","comfortable","<p style=""font-weight: bold;"">Do you feel comfortable with the Ganzfeld setup?</p>","50","","","","","","","",""
"","","","","","html-button-response","5","188859","0.0-5.0","2025-03-17T13:05:55.331Z","5_jguwqs","19191","0","restIntro","<p>Next we would like you to rest in a reclining chair for 3 minutes. Press Continue when you are ready, then make yourself comfortable in the chair, and rest until you hear a beep signaling the end of the three minute interval. Afterwards you can return to this program to proceed.</p>","","","","","","","","",""
"","","","","","html-keyboard-response","6","371374","0.0-6.0","2025-03-17T13:05:55.331Z","5_jguwqs","null","null","rest","","","","","","","","","",""
"","","","","","call-function","7","371376","0.0-7.0-0.0","2025-03-17T13:05:55.331Z","5_jguwqs","","","","","","","","","","","","",""
"","","","","","survey","8","581056","0.0-7.0-1.0","2025-03-17T13:05:55.331Z","5_jguwqs","209637","{""PCIRest1"":5,""PCIRest2"":3,""PCIRest3"":4,""PCIRest4"":6,""PCIRest5"":3,""PCIRest6"":1,""PCIRest7"":4,""PCIRest8"":0,""PCIRest9"":1,""PCIRest10"":4,""PCIRest11"":1,""PCIRest12"":3,""PCIRest13"":2,""PCIIntro"":null}","PCIRest","","","","","","","","","",""
"","","","","","call-function","9","581057","0.0-7.0-2.0","2025-03-17T13:05:55.331Z","5_jguwqs","","","","","","","","","","","","",""
"","","","","","instructions","10","715291","0.0-8.0","2025-03-17T13:05:55.331Z","5_jguwqs","134232","","instructions1","","","","[{""page_index"":0,""viewing_time"":134232}]","","","","","",""
"","","","","","html-button-response","11","1033449","0.0-9.0","2025-03-17T13:05:55.331Z","5_jguwqs","318155","0","GanzfeldIntro","<p>Please tell the experimenter to assist you with the Ganzfeld equipment. The experimenter will click ""Continue"" when you are ready to begin.</p>
            <p>The audio level for the ganzfeld can be adjusted while playing the audio sample below.</p>
            <audio controls>
                <source src=""../audio/pinknoise_7min_128.mp3"" type=""audio/mpeg"">
                Your browser does not support the audio element.
            </audio>","","","","","","","","",""
"","","","","","audio-keyboard-response","12","3223575","0.0-10.0","2025-03-17T13:05:55.331Z","5_jguwqs","null","null","GanzfeldPlay","../audio/English_Ganzfeld_Induction_v4.mp3","","","","","","","","",""
"","","","","","call-function","13","3223576","0.0-11.0-0.0","2025-03-17T13:05:55.331Z","5_jguwqs","","","","","","","","","","","","",""
"","","","","","survey","14","3838521","0.0-11.0-1.0","2025-03-17T13:05:55.331Z","5_jguwqs","614918","{""PCIGanz1"":5,""PCIGanz2"":2,""PCIGanz3"":2,""PCIGanz4"":5,""PCIGanz5"":4,""PCIGanz6"":0,""PCIGanz7"":2,""PCIGanz8"":2,""PCIGanz9"":2,""PCIGanz10"":1,""PCIGanz11"":3,""PCIGanz12"":4,""PCIGanz13"":3,""PCIIntro"":null}","PCIGanzfeld","","","","","","","","","",""
"","","","","","call-function","15","3838522","0.0-11.0-2.0","2025-03-17T13:05:55.331Z","5_jguwqs","","","","","","","","","","","","",""
"","","","","","survey","16","3910630","0.0-12.0","2025-03-17T13:05:55.331Z","5_jguwqs","72096","{""DSSQ"":{""DSSQ01"":3,""DSSQ02"":2,""DSSQ03"":1,""DSSQ04"":1,""DSSQ05"":1,""DSSQ06"":2,""DSSQ07"":1,""DSSQ08"":2},""DSSQIntro"":null}","DSSQ","","","","","","","","","",""
"","","","","","html-slider-response","17","3927327","0.0-13.0","2025-03-17T13:05:55.331Z","5_jguwqs","16696","26","time1","<p><i>Please answer the following two questions about your experiences during the 30 minutes of Ganzfeld.</i></p>
            <p>1. How often did you think about time <b>during the task</b>?</p>","50","","","","","","","",""
"","","","","","html-slider-response","18","3946078","0.0-14.0","2025-03-17T13:05:55.331Z","5_jguwqs","18750","61","time2","<p><i>Please answer the following two questions about your experiences during the 30 minutes of Ganzfeld.</i></p>
            <p>2. How fast did time pass for you <b>during the task</b>?</p>","50","","","","","","","",""
"","","","","","instructions","19","4081110","0.0-15.0","2025-03-17T13:05:55.331Z","5_jguwqs","135031","","instructions2","","","","[{""page_index"":0,""viewing_time"":135031}]","","","","","",""
"","","","","","html-button-response","20","4108062","0.0-16.0","2025-03-17T13:05:55.331Z","5_jguwqs","26950","0","videoIntro","<p>Now we would like you to watch two short videos and rate how similar they are to your Ganzfeld experience.</p><p>Please click ""Continue"" when you are ready.</p>","","","","1","3","1","../video/2 D See.mp4","../video/2 B Mozart Symphony.mp4",""
"true","false","[]","[]","[]","preload","21","4115599","0.0-17.0","2025-03-17T13:05:55.331Z","5_jguwqs","","","","","","","","","","","","",""
"","","","","","survey-html-form","22","4580470","0.0-18.0-0.0","2025-03-17T13:05:55.331Z","5_jguwqs","464869","{""ClipA"":""27"",""ClipB"":""8""}","videoRating","","","","","","","","","",""
"","","","","","html-button-response","23","4585286","0.0-19.0","2025-03-17T13:05:55.331Z","5_jguwqs","4814","0","videoTargetIntro","<p>We will now select the target video.</p><p>Please watch the selected video a second time.</p>","","","","","","","","","[""../video/2 B Mozart Symphony.mp4""]"
"","","","","","video-keyboard-response","24","4650178","0.0-20.0","2025-03-17T13:05:55.331Z","5_jguwqs","null","null","videoTarget","[""../video/2 B Mozart Symphony.mp4""]","","","","","","","","",""
