"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part","stimulus","slider_start","value","view_history","rndSet","rndV1","rndV2","videoA","videoB","videoStimulus"
"true","false","[]","[]","[]","preload","0","34011","0.0-0.0","2025-03-21T15:59:01.760Z","3_y75z05","","","","","","","","","","","","",""
"","","","","","survey","1","78337","0.0-1.0","2025-03-21T15:59:01.760Z","3_y75z05","44248","{""testrun"":""Experiment""}","testrun","","","","","","","","","",""
"","","","","","survey-text","2","21784346","0.0-2.0","2025-03-21T15:59:01.760Z","3_y75z05","21706080","{""subject_id"":""3_y75z05""}","welcome","","","","","","","","","",""
"","","","","","html-slider-response","3","21834641","0.0-3.0","2025-03-21T15:59:01.760Z","3_y75z05","50278","50","successBelief","<p>Before we begin, we would like to ask you about your attitude to the experiment.</p>
            <p style=""font-weight: bold;"">How likely do you think it is that you personally will succeed in your precognitive test today?</p>","50","","","","","","","",""
"","","","","","html-slider-response","4","21841319","0.0-4.0","2025-03-21T15:59:01.760Z","3_y75z05","6676","100","comfortable","<p style=""font-weight: bold;"">Do you feel comfortable with the Ganzfeld setup?</p>","50","","","","","","","",""
"","","","","","html-button-response","5","21868189","0.0-5.0","2025-03-21T15:59:01.760Z","3_y75z05","26863","0","restIntro","<p>Next we would like you to rest in a reclining chair for 3 minutes. Press Continue when you are ready, then make yourself comfortable in the chair, and rest until you hear a beep signaling the end of the three minute interval. Afterwards you can return to this program to proceed.</p>","","","","","","","","",""
"","","","","","html-keyboard-response","6","22050820","0.0-6.0","2025-03-21T15:59:01.760Z","3_y75z05","null","null","rest","","","","","","","","","",""
"","","","","","call-function","7","22050827","0.0-7.0-0.0","2025-03-21T15:59:01.760Z","3_y75z05","","","","","","","","","","","","",""
"","","","","","survey","8","22204801","0.0-7.0-1.0","2025-03-21T15:59:01.760Z","3_y75z05","153822","{""PCIRest1"":6,""PCIRest2"":0,""PCIRest3"":6,""PCIRest4"":5,""PCIRest5"":0,""PCIRest6"":6,""PCIRest7"":6,""PCIRest8"":3,""PCIRest9"":1,""PCIRest10"":6,""PCIRest11"":0,""PCIRest12"":0,""PCIRest13"":0,""PCIIntro"":null}","PCIRest","","","","","","","","","",""
"","","","","","call-function","9","22204803","0.0-7.0-2.0","2025-03-21T15:59:01.760Z","3_y75z05","","","","","","","","","","","","",""
"","","","","","instructions","10","22288687","0.0-8.0","2025-03-21T15:59:01.760Z","3_y75z05","83882","","instructions1","","","","[{""page_index"":0,""viewing_time"":83881}]","","","","","",""
