"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part","stimulus","slider_start","value","view_history","rndSet","rndV1","rndV2","videoA","videoB"
"true","false","[]","[]","[]","preload","0","12458","0.0-0.0","2025-04-04T12:51:36.716Z","6_sdsdsa","","","","","","","","","","","",""
"","","","","","survey","1","203864","0.0-1.0","2025-04-04T12:51:36.716Z","6_sdsdsa","191388","{""testrun"":""Pilot (Testlauf)""}","testrun","","","","","","","","",""
"","","","","","survey-text","2","207289","0.0-2.0","2025-04-04T12:51:36.716Z","6_sdsdsa","3404","{""subject_id"":""6_sdsdsa""}","welcome","","","","","","","","",""
"","","","","","html-slider-response","3","301077","0.0-3.0","2025-04-04T12:51:36.716Z","6_sdsdsa","93787","68","successBelief","<p>Bevor wir beginnen, möchten wir Sie nach Ihrer Einstellung zum Experiment fragen.</p>
            <p style=""font-weight: bold;"">Wie wahrscheinlich halten Sie es, dass Sie persönlich bei Ihrem heutigen präkognitiven Test erfolgreich sein werden?</p>","50","","","","","","",""
"","","","","","html-slider-response","4","302244","0.0-4.0","2025-04-04T12:51:36.716Z","6_sdsdsa","1166","34","comfortable","<p style=""font-weight: bold;"">Fühlen Sie sich wohl mit dem Ganzfeld-Setup?</p>","50","","","","","","",""
"","","","","","html-button-response","5","302846","0.0-5.0","2025-04-04T12:51:36.716Z","6_sdsdsa","601","0","restIntro","<p>Als nächstes möchten wir Sie bitten, sich für 3 Minuten auf einen bequemen Stuhl zu setzen. Drücken Sie auf ""Weiter"", wenn Sie bereit sind, machen Sie es sich dann im Stuhl bequem und ruhen Sie sich aus, bis Sie ein Signalton am Ende des dreiminütigen Intervalls hören. Danach können Sie zu diesem Programm zurückkehren, um fortzufahren.</p>","","","","","","","",""
"","","","","","html-keyboard-response","6","303886","0.0-6.0","2025-04-04T12:51:36.716Z","6_sdsdsa","1038","s","rest","","","","","","","","",""
"","","","","","call-function","7","303886","0.0-7.0-0.0","2025-04-04T12:51:36.716Z","6_sdsdsa","","","","","","","","","","","",""
"","","","","","survey","8","311360","0.0-7.0-1.0","2025-04-04T12:51:36.716Z","6_sdsdsa","7443","{""PCIRest7"":0,""PCIRest8"":0,""PCIRest9"":0,""PCIRest10"":0,""PCIRest11"":0,""PCIRest13"":0,""PCIRest12"":0,""PCIIntro"":null,""PCIRest1"":null,""PCIRest2"":null,""PCIRest3"":null,""PCIRest4"":null,""PCIRest5"":null,""PCIRest6"":null}","PCIRest","","","","","","","","",""
"","","","","","call-function","9","311361","0.0-7.0-2.0","2025-04-04T12:51:36.716Z","6_sdsdsa","","","","","","","","","","","",""
"","","","","","instructions","10","319518","0.0-8.0","2025-04-04T12:51:36.716Z","6_sdsdsa","8156","","instructions1","","","","[{""page_index"":0,""viewing_time"":8156}]","","","","",""
"","","","","","html-button-response","11","320820","0.0-9.0","2025-04-04T12:51:36.716Z","6_sdsdsa","1297","0","GanzfeldIntro","<p>Bitte sagen Sie dem Versuchsleiter, dass er Ihnen bei der Ganzfeld-Ausrüstung behilflich sein soll. Der Versuchsleiter wird auf ""Weiter"" klicken, wenn Sie bereit sind, um zu beginnen.</p>
            <p>Der Audiopegel für das Ganzfeld kann während der Wiedergabe der unten stehenden Audiodatei angepasst werden.</p>
            <audio controls>
                <source src=""../audio/pinknoise_7min_128.mp3"" type=""audio/mpeg"">
                Your browser does not support the audio element.
            </audio>","","","","","","","",""
"","","","","","audio-keyboard-response","12","323701","0.0-10.0","2025-04-04T12:51:36.716Z","6_sdsdsa","2859","s","GanzfeldPlay","../audio/German_Ganzfeld_Induction_v4.mp3","","","","","","","",""
"","","","","","call-function","13","323701","0.0-11.0-0.0","2025-04-04T12:51:36.716Z","6_sdsdsa","","","","","","","","","","","",""
