"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part","stimulus","slider_start","value","view_history","rndSet","rndV1","rndV2","videoA","videoB","videoStimulus"
"true","false","[]","[]","[]","preload","0","32767","0.0-0.0","2025-04-15T08:13:57.627Z","6_3qkhe4","","","","","","","","","","","","",""
"","","","","","survey","1","194290","0.0-1.0","2025-04-15T08:13:57.627Z","6_3qkhe4","161419","{""testrun"":""Experiment""}","testrun","","","","","","","","","",""
"","","","","","survey-text","2","1512821","0.0-2.0","2025-04-15T08:13:57.627Z","6_3qkhe4","1407318","{""subject_id"":""6_3qkhe4""}","welcome","","","","","","","","","",""
"","","","","","html-slider-response","3","1520048","0.0-3.0","2025-04-15T08:13:57.627Z","6_3qkhe4","7218","4","successBelief","<p>Bevor wir beginnen, möchten wir Sie nach Ihrer Einstellung zum Experiment fragen.</p>
            <p style=""font-weight: bold;"">Wie wahrscheinlich halten Sie es, dass Sie persönlich bei Ihrem heutigen präkognitiven Test erfolgreich sein werden?</p>","50","","","","","","","",""
"","","","","","html-slider-response","4","1527496","0.0-4.0","2025-04-15T08:13:57.627Z","6_3qkhe4","7444","74","comfortable","<p style=""font-weight: bold;"">Fühlen Sie sich wohl mit dem Ganzfeld-Setup?</p>","50","","","","","","","",""
"","","","","","html-button-response","5","1552104","0.0-5.0","2025-04-15T08:13:57.627Z","6_3qkhe4","24605","0","restIntro","<p>Als nächstes möchten wir Sie bitten, sich für 3 Minuten auf einen bequemen Stuhl zu setzen. Drücken Sie auf ""Weiter"", wenn Sie bereit sind, machen Sie es sich dann im Stuhl bequem und ruhen Sie sich aus, bis Sie ein Signalton am Ende des dreiminütigen Intervalls hören. Danach können Sie zu diesem Programm zurückkehren, um fortzufahren.</p>","","","","","","","","",""
"","","","","","html-keyboard-response","6","1734618","0.0-6.0","2025-04-15T08:13:57.627Z","6_3qkhe4","null","null","rest","","","","","","","","","",""
"","","","","","call-function","7","1734621","0.0-7.0-0.0","2025-04-15T08:13:57.627Z","6_3qkhe4","","","","","","","","","","","","",""
"","","","","","survey","8","1824110","0.0-7.0-1.0","2025-04-15T08:13:57.627Z","6_3qkhe4","89281","{""PCIRest1"":1,""PCIRest2"":0,""PCIRest3"":2,""PCIRest4"":5,""PCIRest5"":0,""PCIRest6"":6,""PCIRest7"":2,""PCIRest8"":5,""PCIRest9"":3,""PCIRest10"":4,""PCIRest11"":4,""PCIRest12"":1,""PCIRest13"":1,""PCIIntro"":null}","PCIRest","","","","","","","","","",""
"","","","","","call-function","9","1824114","0.0-7.0-2.0","2025-04-15T08:13:57.627Z","6_3qkhe4","","","","","","","","","","","","",""
"","","","","","instructions","10","1895310","0.0-8.0","2025-04-15T08:13:57.627Z","6_3qkhe4","71186","","instructions1","","","","[{""page_index"":0,""viewing_time"":71186}]","","","","","",""
"","","","","","html-button-response","11","1918736","0.0-9.0","2025-04-15T08:13:57.627Z","6_3qkhe4","23362","0","GanzfeldIntro","<p>Bitte sagen Sie dem Versuchsleiter, dass er Ihnen bei der Ganzfeld-Ausrüstung behilflich sein soll. Der Versuchsleiter wird auf ""Weiter"" klicken, wenn Sie bereit sind, um zu beginnen.</p>
            <p>Der Audiopegel für das Ganzfeld kann während der Wiedergabe der unten stehenden Audiodatei angepasst werden.</p>
            <audio controls>
                <source src=""../audio/pinknoise_7min_128.mp3"" type=""audio/mpeg"">
                Your browser does not support the audio element.
            </audio>","","","","","","","","",""
"","","","","","audio-keyboard-response","12","4109713","0.0-10.0","2025-04-15T08:13:57.627Z","6_3qkhe4","null","null","GanzfeldPlay","../audio/German_Ganzfeld_Induction_v4.mp3","","","","","","","","",""
"","","","","","call-function","13","4109716","0.0-11.0-0.0","2025-04-15T08:13:57.627Z","6_3qkhe4","","","","","","","","","","","","",""
"","","","","","survey","14","4212589","0.0-11.0-1.0","2025-04-15T08:13:57.627Z","6_3qkhe4","102698","{""PCIGanz1"":1,""PCIGanz2"":4,""PCIGanz3"":0,""PCIGanz4"":6,""PCIGanz5"":1,""PCIGanz6"":1,""PCIGanz7"":0,""PCIGanz8"":5,""PCIGanz9"":2,""PCIGanz10"":5,""PCIGanz11"":5,""PCIGanz12"":5,""PCIGanz13"":1,""PCIIntro"":null}","PCIGanzfeld","","","","","","","","","",""
"","","","","","call-function","15","4212594","0.0-11.0-2.0","2025-04-15T08:13:57.627Z","6_3qkhe4","","","","","","","","","","","","",""
"","","","","","survey","16","4239784","0.0-12.0","2025-04-15T08:13:57.627Z","6_3qkhe4","27103","{""DSSQ"":{""DSSQ01"":5,""DSSQ02"":4,""DSSQ03"":1,""DSSQ04"":3,""DSSQ05"":5,""DSSQ06"":1,""DSSQ07"":4,""DSSQ08"":4},""DSSQIntro"":null}","DSSQ","","","","","","","","","",""
"","","","","","html-slider-response","17","4244829","0.0-13.0","2025-04-15T08:13:57.627Z","6_3qkhe4","5039","67","time1","<p><i>Bitte beantworten Sie die folgenden beiden Fragen zu Ihren Erfahrungen während der 30 Minuten Ganzfeld.</i></p>
            <p>1. Wie oft haben Sie <b>während der Aufgabe</b> an die Zeit gedacht?</p>","50","","","","","","","",""
"","","","","","html-slider-response","18","4248013","0.0-14.0","2025-04-15T08:13:57.627Z","6_3qkhe4","3178","78","time2","<p><i>Bitte beantworten Sie die folgenden beiden Fragen zu Ihren Erfahrungen während der 30 Minuten Ganzfeld.</i></p>
            <p>2. Wie schnell verging die Zeit für Sie <b>während der Aufgabe</b>?</p>","50","","","","","","","",""
"","","","","","instructions","19","4322250","0.0-15.0","2025-04-15T08:13:57.627Z","6_3qkhe4","74234","","instructions2","","","","[{""page_index"":0,""viewing_time"":74234}]","","","","","",""
"","","","","","html-button-response","20","4327947","0.0-16.0","2025-04-15T08:13:57.627Z","6_3qkhe4","5694","0","videoIntro","<p>Jetzt möchten wir, dass Sie sich zwei kurze Videos ansehen und bewerten, wie ähnlich sie Ihrem Ganzfeld-Erlebnis sind.</p>
            <p>Bitte klicken Sie auf ""Weiter"", wenn Sie bereit sind.</p>","","","","3","0","2","../video/11 A Airport Shooting.mp4","../video/11 C Subterranean Homsick Blues.mp4",""
"true","false","[]","[]","[]","preload","21","4328455","0.0-17.0","2025-04-15T08:13:57.627Z","6_3qkhe4","","","","","","","","","","","","",""
"","","","","","survey-html-form","22","4648151","0.0-18.0-0.0","2025-04-15T08:13:57.627Z","6_3qkhe4","319668","{""ClipA"":""4"",""ClipB"":""0""}","videoRating","","","","","","","","","",""
"","","","","","html-button-response","23","4652771","0.0-19.0","2025-04-15T08:13:57.627Z","6_3qkhe4","4617","0","videoTargetIntro","<p>Wir werden jetzt das Zielvideo auswählen.</p><p>Bitte sehen Sie sich das ausgewählte Video ein zweites Mal an.</p>","","","","","","","","","[""../video/11 A Airport Shooting.mp4""]"
"","","","","","video-keyboard-response","24","4716687","0.0-20.0","2025-04-15T08:13:57.627Z","6_3qkhe4","null","null","videoTarget","[""../video/11 A Airport Shooting.mp4""]","","","","","","","","",""
