"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part","stimulus","slider_start","value","view_history","rndSet","rndV1","rndV2","videoA","videoB","videoStimulus"
"true","false","[]","[]","[]","preload","0","6225","0.0-0.0","2025-04-25T08:33:24.941Z","5_nofar9","","","","","","","","","","","","",""
"","","","","","survey","1","10326","0.0-1.0","2025-04-25T08:33:24.941Z","5_nofar9","4078","{""testrun"":""Experiment""}","testrun","","","","","","","","","",""
"","","","","","survey-text","2","248243","0.0-2.0","2025-04-25T08:33:24.941Z","5_nofar9","237902","{""subject_id"":""5_nofar9""}","welcome","","","","","","","","","",""
"","","","","","html-slider-response","3","257627","0.0-3.0","2025-04-25T08:33:24.941Z","5_nofar9","9382","40","successBelief","<p>Bevor wir beginnen, möchten wir Sie nach Ihrer Einstellung zum Experiment fragen.</p>
            <p style=""font-weight: bold;"">Wie wahrscheinlich halten Sie es, dass Sie persönlich bei Ihrem heutigen präkognitiven Test erfolgreich sein werden?</p>","50","","","","","","","",""
"","","","","","html-slider-response","4","262818","0.0-4.0","2025-04-25T08:33:24.941Z","5_nofar9","5190","84","comfortable","<p style=""font-weight: bold;"">Fühlen Sie sich wohl mit dem Ganzfeld-Setup?</p>","50","","","","","","","",""
"","","","","","html-button-response","5","272731","0.0-5.0","2025-04-25T08:33:24.941Z","5_nofar9","9911","0","restIntro","<p>Als nächstes möchten wir Sie bitten, sich für 3 Minuten auf einen bequemen Stuhl zu setzen. Drücken Sie auf ""Weiter"", wenn Sie bereit sind, machen Sie es sich dann im Stuhl bequem und ruhen Sie sich aus, bis Sie ein Signalton am Ende des dreiminütigen Intervalls hören. Danach können Sie zu diesem Programm zurückkehren, um fortzufahren.</p>","","","","","","","","",""
"","","","","","html-keyboard-response","6","455244","0.0-6.0","2025-04-25T08:33:24.941Z","5_nofar9","null","null","rest","","","","","","","","","",""
"","","","","","call-function","7","455246","0.0-7.0-0.0","2025-04-25T08:33:24.941Z","5_nofar9","","","","","","","","","","","","",""
"","","","","","survey","8","568481","0.0-7.0-1.0","2025-04-25T08:33:24.941Z","5_nofar9","113200","{""PCIRest1"":2,""PCIRest2"":0,""PCIRest3"":4,""PCIRest4"":1,""PCIRest5"":4,""PCIRest6"":2,""PCIRest7"":5,""PCIRest8"":4,""PCIRest9"":1,""PCIRest10"":3,""PCIRest11"":0,""PCIRest12"":4,""PCIRest13"":2,""PCIIntro"":null}","PCIRest","","","","","","","","","",""
"","","","","","call-function","9","568481","0.0-7.0-2.0","2025-04-25T08:33:24.941Z","5_nofar9","","","","","","","","","","","","",""
"","","","","","instructions","10","626891","0.0-8.0","2025-04-25T08:33:24.941Z","5_nofar9","58409","","instructions1","","","","[{""page_index"":0,""viewing_time"":58408}]","","","","","",""
"","","","","","html-button-response","11","795915","0.0-9.0","2025-04-25T08:33:24.941Z","5_nofar9","169022","0","GanzfeldIntro","<p>Bitte sagen Sie dem Versuchsleiter, dass er Ihnen bei der Ganzfeld-Ausrüstung behilflich sein soll. Der Versuchsleiter wird auf ""Weiter"" klicken, wenn Sie bereit sind, um zu beginnen.</p>
            <p>Der Audiopegel für das Ganzfeld kann während der Wiedergabe der unten stehenden Audiodatei angepasst werden.</p>
            <audio controls>
                <source src=""../audio/pinknoise_7min_128.mp3"" type=""audio/mpeg"">
                Your browser does not support the audio element.
            </audio>","","","","","","","","",""
"","","","","","audio-keyboard-response","12","2986046","0.0-10.0","2025-04-25T08:33:24.941Z","5_nofar9","null","null","GanzfeldPlay","../audio/German_Ganzfeld_Induction_v4.mp3","","","","","","","","",""
"","","","","","call-function","13","2986047","0.0-11.0-0.0","2025-04-25T08:33:24.941Z","5_nofar9","","","","","","","","","","","","",""
"","","","","","survey","14","3447939","0.0-11.0-1.0","2025-04-25T08:33:24.941Z","5_nofar9","461868","{""PCIGanz1"":2,""PCIGanz2"":4,""PCIGanz3"":5,""PCIGanz4"":4,""PCIGanz5"":4,""PCIGanz6"":1,""PCIGanz7"":5,""PCIGanz8"":4,""PCIGanz9"":3,""PCIGanz10"":2,""PCIGanz11"":0,""PCIGanz12"":5,""PCIGanz13"":4,""PCIIntro"":null}","PCIGanzfeld","","","","","","","","","",""
"","","","","","call-function","15","3447940","0.0-11.0-2.0","2025-04-25T08:33:24.941Z","5_nofar9","","","","","","","","","","","","",""
"","","","","","survey","16","3493344","0.0-12.0","2025-04-25T08:33:24.941Z","5_nofar9","45396","{""DSSQ"":{""DSSQ01"":1,""DSSQ02"":2,""DSSQ03"":1,""DSSQ04"":3,""DSSQ05"":1,""DSSQ06"":1,""DSSQ07"":1,""DSSQ08"":3},""DSSQIntro"":null}","DSSQ","","","","","","","","","",""
