"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part","stimulus","slider_start","value","view_history","rndSet","rndV1","rndV2","videoA","videoB","videoStimulus"
"true","false","[]","[]","[]","preload","0","11834","0.0-0.0","2025-05-02T11:41:06.516Z","5_hjvo9k","","","","","","","","","","","","",""
"","","","","","survey","1","14269","0.0-1.0","2025-05-02T11:41:06.516Z","5_hjvo9k","2423","{""testrun"":""Experiment""}","testrun","","","","","","","","","",""
"","","","","","survey-text","2","328194","0.0-2.0","2025-05-02T11:41:06.516Z","5_hjvo9k","313921","{""subject_id"":""5_hjvo9k""}","welcome","","","","","","","","","",""
"","","","","","html-slider-response","3","337329","0.0-3.0","2025-05-02T11:41:06.516Z","5_hjvo9k","9134","54","successBelief","<p>Before we begin, we would like to ask you about your attitude to the experiment.</p>
            <p style=""font-weight: bold;"">How likely do you think it is that you personally will succeed in your precognitive test today?</p>","50","","","","","","","",""
"","","","","","html-slider-response","4","346208","0.0-4.0","2025-05-02T11:41:06.516Z","5_hjvo9k","8878","81","comfortable","<p style=""font-weight: bold;"">Do you feel comfortable with the Ganzfeld setup?</p>","50","","","","","","","",""
"","","","","","html-button-response","5","356009","0.0-5.0","2025-05-02T11:41:06.516Z","5_hjvo9k","9800","0","restIntro","<p>Next we would like you to rest in a reclining chair for 3 minutes. Press Continue when you are ready, then make yourself comfortable in the chair, and rest until you hear a beep signaling the end of the three minute interval. Afterwards you can return to this program to proceed.</p>","","","","","","","","",""
"","","","","","html-keyboard-response","6","538552","0.0-6.0","2025-05-02T11:41:06.516Z","5_hjvo9k","null","null","rest","","","","","","","","","",""
"","","","","","call-function","7","538555","0.0-7.0-0.0","2025-05-02T11:41:06.516Z","5_hjvo9k","","","","","","","","","","","","",""
"","","","","","survey","8","677471","0.0-7.0-1.0","2025-05-02T11:41:06.516Z","5_hjvo9k","138879","{""PCIRest1"":2,""PCIRest2"":4,""PCIRest3"":3,""PCIRest4"":5,""PCIRest5"":4,""PCIRest6"":3,""PCIRest7"":2,""PCIRest8"":2,""PCIRest9"":2,""PCIRest10"":2,""PCIRest11"":4,""PCIRest12"":3,""PCIRest13"":3,""PCIIntro"":null}","PCIRest","","","","","","","","","",""
"","","","","","call-function","9","677472","0.0-7.0-2.0","2025-05-02T11:41:06.516Z","5_hjvo9k","","","","","","","","","","","","",""
"","","","","","instructions","10","706897","0.0-8.0","2025-05-02T11:41:06.516Z","5_hjvo9k","29424","","instructions1","","","","[{""page_index"":0,""viewing_time"":29424}]","","","","","",""
"","","","","","html-button-response","11","907280","0.0-9.0","2025-05-02T11:41:06.516Z","5_hjvo9k","200382","0","GanzfeldIntro","<p>Please tell the experimenter to assist you with the Ganzfeld equipment. The experimenter will click ""Continue"" when you are ready to begin.</p>
            <p>The audio level for the ganzfeld can be adjusted while playing the audio sample below.</p>
            <audio controls>
                <source src=""../audio/pinknoise_7min_128.mp3"" type=""audio/mpeg"">
                Your browser does not support the audio element.
            </audio>","","","","","","","","",""
"","","","","","audio-keyboard-response","12","3097400","0.0-10.0","2025-05-02T11:41:06.516Z","5_hjvo9k","null","null","GanzfeldPlay","../audio/English_Ganzfeld_Induction_v4.mp3","","","","","","","","",""
"","","","","","call-function","13","3097401","0.0-11.0-0.0","2025-05-02T11:41:06.516Z","5_hjvo9k","","","","","","","","","","","","",""
"","","","","","survey","14","3417424","0.0-11.0-1.0","2025-05-02T11:41:06.516Z","5_hjvo9k","320000","{""PCIGanz1"":2,""PCIGanz2"":4,""PCIGanz3"":2,""PCIGanz4"":5,""PCIGanz5"":4,""PCIGanz6"":2,""PCIGanz7"":2,""PCIGanz8"":4,""PCIGanz9"":2,""PCIGanz10"":2,""PCIGanz11"":4,""PCIGanz12"":4,""PCIGanz13"":4,""PCIIntro"":null}","PCIGanzfeld","","","","","","","","","",""
"","","","","","call-function","15","3417424","0.0-11.0-2.0","2025-05-02T11:41:06.516Z","5_hjvo9k","","","","","","","","","","","","",""
