"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part","stimulus","slider_start","value","view_history","rndSet","rndV1","rndV2","videoA","videoB","videoStimulus"
"true","false","[]","[]","[]","preload","0","19184","0.0-0.0","2025-05-02T21:01:12.286Z","3_kjw051","","","","","","","","","","","","",""
"","","","","","survey","1","23590","0.0-1.0","2025-05-02T21:01:12.286Z","3_kjw051","4367","{""testrun"":""Experiment""}","testrun","","","","","","","","","",""
"","","","","","survey-text","2","2353901","0.0-2.0","2025-05-02T21:01:12.286Z","3_kjw051","2330285","{""subject_id"":""3_kjw051""}","welcome","","","","","","","","","",""
"","","","","","html-slider-response","3","3549576","0.0-3.0","2025-05-02T21:01:12.286Z","3_kjw051","1195671","2","successBelief","<p>Before we begin, we would like to ask you about your attitude to the experiment.</p>
            <p style=""font-weight: bold;"">How likely do you think it is that you personally will succeed in your precognitive test today?</p>","50","","","","","","","",""
"","","","","","html-slider-response","4","3553378","0.0-4.0","2025-05-02T21:01:12.286Z","3_kjw051","3799","100","comfortable","<p style=""font-weight: bold;"">Do you feel comfortable with the Ganzfeld setup?</p>","50","","","","","","","",""
"","","","","","html-button-response","5","3604550","0.0-5.0","2025-05-02T21:01:12.286Z","3_kjw051","51168","0","restIntro","<p>Next we would like you to rest in a reclining chair for 3 minutes. Press Continue when you are ready, then make yourself comfortable in the chair, and rest until you hear a beep signaling the end of the three minute interval. Afterwards you can return to this program to proceed.</p>","","","","","","","","",""
"","","","","","html-keyboard-response","6","3787230","0.0-6.0","2025-05-02T21:01:12.286Z","3_kjw051","null","null","rest","","","","","","","","","",""
"","","","","","call-function","7","3787232","0.0-7.0-0.0","2025-05-02T21:01:12.286Z","3_kjw051","","","","","","","","","","","","",""
"","","","","","survey","8","3965346","0.0-7.0-1.0","2025-05-02T21:01:12.286Z","3_kjw051","177953","{""PCIRest1"":3,""PCIRest2"":0,""PCIRest3"":5,""PCIRest4"":3,""PCIRest5"":0,""PCIRest6"":6,""PCIRest7"":5,""PCIRest8"":3,""PCIRest9"":2,""PCIRest10"":5,""PCIRest11"":1,""PCIRest12"":0,""PCIRest13"":1,""PCIIntro"":null}","PCIRest","","","","","","","","","",""
"","","","","","call-function","9","3965348","0.0-7.0-2.0","2025-05-02T21:01:12.286Z","3_kjw051","","","","","","","","","","","","",""
"","","","","","instructions","10","4028655","0.0-8.0","2025-05-02T21:01:12.286Z","3_kjw051","63305","","instructions1","","","","[{""page_index"":0,""viewing_time"":63304}]","","","","","",""
"","","","","","html-button-response","11","4161517","0.0-9.0","2025-05-02T21:01:12.286Z","3_kjw051","132853","0","GanzfeldIntro","<p>Please tell the experimenter to assist you with the Ganzfeld equipment. The experimenter will click ""Continue"" when you are ready to begin.</p>
            <p>The audio level for the ganzfeld can be adjusted while playing the audio sample below.</p>
            <audio controls>
                <source src=""../audio/pinknoise_7min_128.mp3"" type=""audio/mpeg"">
                Your browser does not support the audio element.
            </audio>","","","","","","","","",""
"","","","","","audio-keyboard-response","12","6351636","0.0-10.0","2025-05-02T21:01:12.286Z","3_kjw051","null","null","GanzfeldPlay","../audio/English_Ganzfeld_Induction_v4.mp3","","","","","","","","",""
"","","","","","call-function","13","6351637","0.0-11.0-0.0","2025-05-02T21:01:12.286Z","3_kjw051","","","","","","","","","","","","",""
"","","","","","survey","14","6793839","0.0-11.0-1.0","2025-05-02T21:01:12.286Z","3_kjw051","442129","{""PCIGanz1"":5,""PCIGanz2"":4,""PCIGanz3"":0,""PCIGanz4"":2,""PCIGanz5"":5,""PCIGanz6"":1,""PCIGanz7"":1,""PCIGanz8"":2,""PCIGanz9"":4,""PCIGanz10"":1,""PCIGanz11"":4,""PCIGanz12"":4,""PCIGanz13"":4,""PCIIntro"":null}","PCIGanzfeld","","","","","","","","","",""
"","","","","","call-function","15","6793842","0.0-11.0-2.0","2025-05-02T21:01:12.286Z","3_kjw051","","","","","","","","","","","","",""
"","","","","","survey","16","6835490","0.0-12.0","2025-05-02T21:01:12.286Z","3_kjw051","41626","{""DSSQ"":{""DSSQ01"":3,""DSSQ02"":2,""DSSQ03"":2,""DSSQ04"":1,""DSSQ05"":3,""DSSQ06"":1,""DSSQ07"":4,""DSSQ08"":1},""DSSQIntro"":null}","DSSQ","","","","","","","","","",""
"","","","","","html-slider-response","17","6842946","0.0-13.0","2025-05-02T21:01:12.286Z","3_kjw051","7453","3","time1","<p><i>Please answer the following two questions about your experiences during the 30 minutes of Ganzfeld.</i></p>
            <p>1. How often did you think about time <b>during the task</b>?</p>","50","","","","","","","",""
"","","","","","html-slider-response","18","6850709","0.0-14.0","2025-05-02T21:01:12.286Z","3_kjw051","7761","100","time2","<p><i>Please answer the following two questions about your experiences during the 30 minutes of Ganzfeld.</i></p>
            <p>2. How fast did time pass for you <b>during the task</b>?</p>","50","","","","","","","",""
"","","","","","instructions","19","6927771","0.0-15.0","2025-05-02T21:01:12.286Z","3_kjw051","77060","","instructions2","","","","[{""page_index"":0,""viewing_time"":77060}]","","","","","",""
"","","","","","html-button-response","20","6930537","0.0-16.0","2025-05-02T21:01:12.286Z","3_kjw051","2764","0","videoIntro","<p>Now we would like you to watch two short videos and rate how similar they are to your Ganzfeld experience.</p><p>Please click ""Continue"" when you are ready.</p>","","","","2","0","3","../video/10 A Travelling through Dreams.mp4","../video/10 D Rifle Prayer.mp4",""
"true","false","[]","[]","[]","preload","21","6940202","0.0-17.0","2025-05-02T21:01:12.286Z","3_kjw051","","","","","","","","","","","","",""
"","","","","","survey-html-form","22","7089902","0.0-18.0-0.0","2025-05-02T21:01:12.286Z","3_kjw051","149695","{""ClipA"":""79"",""ClipB"":""0""}","videoRating","","","","","","","","","",""
"","","","","","html-button-response","23","7097394","0.0-19.0","2025-05-02T21:01:12.286Z","3_kjw051","7490","0","videoTargetIntro","<p>We will now select the target video.</p><p>Please watch the selected video a second time.</p>","","","","","","","","","[""../video/10 D Rifle Prayer.mp4""]"
"","","","","","video-keyboard-response","24","7164352","0.0-20.0","2025-05-02T21:01:12.286Z","3_kjw051","null","null","videoTarget","[""../video/10 D Rifle Prayer.mp4""]","","","","","","","","",""
