"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part","stimulus","slider_start","value","view_history","rndSet","rndV1","rndV2","videoA","videoB","videoStimulus"
"true","false","[]","[]","[]","preload","0","42884","0.0-0.0","2025-05-07T09:06:08.836Z","6_c518ky","","","","","","","","","","","","",""
"","","","","","survey","1","446497","0.0-1.0","2025-05-07T09:06:08.836Z","6_c518ky","403542","{""testrun"":""Experiment""}","testrun","","","","","","","","","",""
"","","","","","survey-text","2","510386","0.0-2.0","2025-05-07T09:06:08.836Z","6_c518ky","63750","{""subject_id"":""6_c518ky""}","welcome","","","","","","","","","",""
"","","","","","html-slider-response","3","520808","0.0-3.0-0.0","2025-05-07T09:06:08.836Z","6_c518ky","10416","22","successBelief","<p>Bevor wir beginnen, möchten wir Sie nach Ihrer Einstellung zum Experiment fragen.</p>
            <p style=""font-weight: bold;"">Wie wahrscheinlich halten Sie es, dass Sie persönlich bei Ihrem heutigen präkognitiven Test erfolgreich sein werden?</p>","50","","","","","","","",""
"","","","","","html-slider-response","4","523768","0.0-3.0-1.0","2025-05-07T09:06:08.836Z","6_c518ky","2957","100","comfortable","<p style=""font-weight: bold;"">Fühlen Sie sich wohl mit dem Ganzfeld-Setup?</p>","50","","","","","","","",""
"","","","","","html-button-response","5","578152","0.0-3.0-2.0","2025-05-07T09:06:08.836Z","6_c518ky","54380","0","restIntro","<p>Als nächstes möchten wir Sie bitten, sich für 3 Minuten auf einen bequemen Stuhl zu setzen. Drücken Sie auf ""Weiter"", wenn Sie bereit sind, machen Sie es sich dann im Stuhl bequem und ruhen Sie sich aus, bis Sie ein Signalton am Ende des dreiminütigen Intervalls hören. Danach können Sie zu diesem Programm zurückkehren, um fortzufahren.</p>","","","","","","","","",""
"","","","","","html-keyboard-response","6","760658","0.0-3.0-3.0","2025-05-07T09:06:08.836Z","6_c518ky","null","null","rest","","","","","","","","","",""
"","","","","","call-function","7","760660","0.0-3.0-4.0-0.0","2025-05-07T09:06:08.836Z","6_c518ky","","","","","","","","","","","","",""
"","","","","","survey","8","873531","0.0-3.0-4.0-1.0","2025-05-07T09:06:08.836Z","6_c518ky","112720","{""PCIRest1"":6,""PCIRest2"":3,""PCIRest3"":6,""PCIRest4"":6,""PCIRest5"":4,""PCIRest6"":5,""PCIRest7"":6,""PCIRest8"":1,""PCIRest9"":0,""PCIRest10"":4,""PCIRest11"":0,""PCIRest12"":3,""PCIRest13"":2,""PCIIntro"":null}","PCIRest","","","","","","","","","",""
"","","","","","call-function","9","873534","0.0-3.0-4.0-2.0","2025-05-07T09:06:08.836Z","6_c518ky","","","","","","","","","","","","",""
"","","","","","instructions","10","978064","0.0-3.0-5.0","2025-05-07T09:06:08.836Z","6_c518ky","104525","","instructions1","","","","[{""page_index"":0,""viewing_time"":104525}]","","","","","",""
"","","","","","html-button-response","11","1008347","0.0-3.0-6.0","2025-05-07T09:06:08.836Z","6_c518ky","30219","0","GanzfeldIntro","<p>Bitte sagen Sie dem Versuchsleiter, dass er Ihnen bei der Ganzfeld-Ausrüstung behilflich sein soll. Der Versuchsleiter wird auf ""Weiter"" klicken, wenn Sie bereit sind, um zu beginnen.</p>
            <p>Der Audiopegel für das Ganzfeld kann während der Wiedergabe der unten stehenden Audiodatei angepasst werden.</p>
            <audio controls>
                <source src=""../audio/pinknoise_7min_128.mp3"" type=""audio/mpeg"">
                Your browser does not support the audio element.
            </audio>","","","","","","","","",""
"","","","","","audio-keyboard-response","12","3198608","0.0-3.0-7.0","2025-05-07T09:06:08.836Z","6_c518ky","null","null","GanzfeldPlay","../audio/German_Ganzfeld_Induction_v4.mp3","","","","","","","","",""
"","","","","","call-function","13","3198610","0.0-3.0-8.0-0.0","2025-05-07T09:06:08.836Z","6_c518ky","","","","","","","","","","","","",""
"","","","","","survey","14","3340659","0.0-3.0-8.0-1.0","2025-05-07T09:06:08.836Z","6_c518ky","141874","{""PCIGanz1"":5,""PCIGanz2"":5,""PCIGanz3"":2,""PCIGanz4"":6,""PCIGanz5"":4,""PCIGanz6"":2,""PCIGanz7"":1,""PCIGanz8"":2,""PCIGanz9"":5,""PCIGanz10"":1,""PCIGanz11"":4,""PCIGanz12"":4,""PCIGanz13"":4,""PCIIntro"":null}","PCIGanzfeld","","","","","","","","","",""
"","","","","","call-function","15","3340664","0.0-3.0-8.0-2.0","2025-05-07T09:06:08.836Z","6_c518ky","","","","","","","","","","","","",""
"","","","","","survey","16","3368324","0.0-3.0-9.0","2025-05-07T09:06:08.836Z","6_c518ky","27571","{""DSSQ"":{""DSSQ01"":3,""DSSQ02"":3,""DSSQ03"":3,""DSSQ04"":3,""DSSQ05"":4,""DSSQ06"":2,""DSSQ07"":1,""DSSQ08"":3},""DSSQIntro"":null}","DSSQ","","","","","","","","","",""
"","","","","","html-slider-response","17","3378214","0.0-3.0-10.0","2025-05-07T09:06:08.836Z","6_c518ky","9884","41","time1","<p><i>Bitte beantworten Sie die folgenden beiden Fragen zu Ihren Erfahrungen während der 30 Minuten Ganzfeld.</i></p>
            <p>1. Wie oft haben Sie <b>während der Aufgabe</b> an die Zeit gedacht?</p>","50","","","","","","","",""
"","","","","","html-slider-response","18","3382892","0.0-3.0-11.0","2025-05-07T09:06:08.836Z","6_c518ky","4674","74","time2","<p><i>Bitte beantworten Sie die folgenden beiden Fragen zu Ihren Erfahrungen während der 30 Minuten Ganzfeld.</i></p>
            <p>2. Wie schnell verging die Zeit für Sie <b>während der Aufgabe</b>?</p>","50","","","","","","","",""
"","","","","","instructions","19","3446740","0.0-4.0","2025-05-07T09:06:08.836Z","6_c518ky","63846","","instructions2","","","","[{""page_index"":0,""viewing_time"":63845}]","","","","","",""
