"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part","stimulus","slider_start","value","view_history"
"true","false","[]","[]","[]","preload","0","11898","0.0-0.0","2025-05-27T17:41:49.920Z","4_0000p3","","","","","","",""
"","","","","","survey","1","74100","0.0-1.0","2025-05-27T17:41:49.920Z","4_0000p3","62149","{""testrun"":""Pilot (Test run)""}","testrun","","","",""
"","","","","","survey-text","2","159267","0.0-2.0","2025-05-27T17:41:49.920Z","4_0000p3","85123","{""subject_id"":""4_0000p3""}","welcome","","","",""
"","","","","","html-slider-response","3","216722","0.0-3.0-0.0","2025-05-27T17:41:49.920Z","4_0000p3","57453","54","successBelief","<p>Before we begin, we would like to ask you about your attitude to the experiment.</p>
            <p style=""font-weight: bold;"">How likely do you think it is that you personally will succeed in your precognitive test today?</p>","50","",""
"","","","","","html-slider-response","4","220330","0.0-3.0-1.0","2025-05-27T17:41:49.920Z","4_0000p3","3607","99","comfortable","<p style=""font-weight: bold;"">Do you feel comfortable with the Ganzfeld setup?</p>","50","",""
"","","","","","html-button-response","5","304315","0.0-3.0-2.0","2025-05-27T17:41:49.920Z","4_0000p3","83983","0","restIntro","<p>Next we would like you to rest in a reclining chair for 3 minutes. Press Continue when you are ready, then make yourself comfortable in the chair, and rest until you hear a beep signaling the end of the three minute interval. Afterwards you can return to this program to proceed.</p>","","",""
"","","","","","html-keyboard-response","6","486843","0.0-3.0-3.0","2025-05-27T17:41:49.920Z","4_0000p3","null","null","rest","","","",""
"","","","","","call-function","7","486846","0.0-3.0-4.0-0.0","2025-05-27T17:41:49.920Z","4_0000p3","","","","","","",""
"","","","","","survey","8","595474","0.0-3.0-4.0-1.0","2025-05-27T17:41:49.920Z","4_0000p3","108534","{""PCIRest1"":4,""PCIRest2"":4,""PCIRest3"":3,""PCIRest4"":3,""PCIRest5"":3,""PCIRest6"":3,""PCIRest7"":3,""PCIRest8"":3,""PCIRest9"":3,""PCIRest10"":3,""PCIRest11"":2,""PCIRest12"":3,""PCIRest13"":3,""PCIIntro"":null}","PCIRest","","","",""
"","","","","","call-function","9","595475","0.0-3.0-4.0-2.0","2025-05-27T17:41:49.920Z","4_0000p3","","","","","","",""
"","","","","","instructions","10","753570","0.0-3.0-5.0","2025-05-27T17:41:49.920Z","4_0000p3","158094","","instructions1","","","","[{""page_index"":0,""viewing_time"":158094}]"
"","","","","","html-button-response","11","922522","0.0-3.0-6.0","2025-05-27T17:41:49.920Z","4_0000p3","168949","0","GanzfeldIntro","<p>Please tell the experimenter to assist you with the Ganzfeld equipment. The experimenter will click ""Continue"" when you are ready to begin.</p>
            <p>The audio level for the ganzfeld can be adjusted while playing the audio sample below.</p>
            <audio controls>
                <source src=""../audio/pinknoise_7min_128.mp3"" type=""audio/mpeg"">
                Your browser does not support the audio element.
            </audio>","","",""
"","","","","","audio-keyboard-response","12","3113226","0.0-3.0-7.0","2025-05-27T17:41:49.920Z","4_0000p3","null","null","GanzfeldPlay","../audio/English_Ganzfeld_Induction_v4.mp3","","",""
