"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part","stimulus","slider_start","value","view_history","rndSet","rndV1","rndV2","videoA","videoB","videoStimulus"
"true","false","[]","[]","[]","preload","0","23294","0.0-0.0","2025-06-02T11:45:51.858Z","6_63w3ny","","","","","","","","","","","","",""
"","","","","","survey","1","56701","0.0-1.0","2025-06-02T11:45:51.858Z","6_63w3ny","33322","{""testrun"":""Pilot (Testlauf)""}","testrun","","","","","","","","","",""
"","","","","","survey-text","2","184737","0.0-2.0","2025-06-02T11:45:51.858Z","6_63w3ny","127985","{""subject_id"":""6_63w3ny""}","welcome","","","","","","","","","",""
"","","","","","html-slider-response","3","194206","0.0-3.0-0.0","2025-06-02T11:45:51.858Z","6_63w3ny","9464","16","successBelief","<p>Bevor wir beginnen, möchten wir Sie nach Ihrer Einstellung zum Experiment fragen.</p>
            <p style=""font-weight: bold;"">Wie wahrscheinlich halten Sie es, dass Sie persönlich bei Ihrem heutigen präkognitiven Test erfolgreich sein werden?</p>","50","","","","","","","",""
"","","","","","html-slider-response","4","200983","0.0-3.0-1.0","2025-06-02T11:45:51.858Z","6_63w3ny","6773","71","comfortable","<p style=""font-weight: bold;"">Fühlen Sie sich wohl mit dem Ganzfeld-Setup?</p>","50","","","","","","","",""
"","","","","","html-button-response","5","255687","0.0-3.0-2.0","2025-06-02T11:45:51.858Z","6_63w3ny","54700","0","restIntro","<p>Als nächstes möchten wir Sie bitten, sich für 3 Minuten auf einen bequemen Stuhl zu setzen. Drücken Sie auf ""Weiter"", wenn Sie bereit sind, machen Sie es sich dann im Stuhl bequem und ruhen Sie sich aus, bis Sie ein Signalton am Ende des dreiminütigen Intervalls hören. Danach können Sie zu diesem Programm zurückkehren, um fortzufahren.</p>","","","","","","","","",""
"","","","","","html-keyboard-response","6","266696","0.0-3.0-3.0","2025-06-02T11:45:51.858Z","6_63w3ny","11006","s","rest","","","","","","","","","",""
"","","","","","call-function","7","266698","0.0-3.0-4.0-0.0","2025-06-02T11:45:51.858Z","6_63w3ny","","","","","","","","","","","","",""
"","","","","","survey","8","309619","0.0-3.0-4.0-1.0","2025-06-02T11:45:51.858Z","6_63w3ny","42726","{""PCIRest1"":3,""PCIRest2"":3,""PCIRest3"":3,""PCIRest4"":3,""PCIRest5"":3,""PCIRest6"":3,""PCIRest7"":3,""PCIRest8"":3,""PCIRest9"":3,""PCIRest10"":3,""PCIRest11"":3,""PCIRest12"":3,""PCIRest13"":3,""PCIIntro"":null}","PCIRest","","","","","","","","","",""
"","","","","","call-function","9","309621","0.0-3.0-4.0-2.0","2025-06-02T11:45:51.858Z","6_63w3ny","","","","","","","","","","","","",""
