"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part","stimulus","slider_start","value","view_history","rndSet","rndV1","rndV2","videoA","videoB","videoStimulus"
"true","false","[]","[]","[]","preload","0","11382","0.0-0.0","2025-06-05T16:52:51.361Z","4_0000p6","","","","","","","","","","","","",""
"","","","","","survey","1","29075","0.0-1.0","2025-06-05T16:52:51.361Z","4_0000p6","17661","{""testrun"":""Pilot (Test run)""}","testrun","","","","","","","","","",""
"","","","","","survey-text","2","204373","0.0-2.0","2025-06-05T16:52:51.361Z","4_0000p6","175269","{""subject_id"":""4_0000p6""}","welcome","","","","","","","","","",""
"","","","","","html-slider-response","3","213757","0.0-3.0-0.0","2025-06-05T16:52:51.361Z","4_0000p6","9380","87","successBelief","<p>Before we begin, we would like to ask you about your attitude to the experiment.</p>
            <p style=""font-weight: bold;"">How likely do you think it is that you personally will succeed in your precognitive test today?</p>","50","","","","","","","",""
"","","","","","html-slider-response","4","216517","0.0-3.0-1.0","2025-06-05T16:52:51.361Z","4_0000p6","2759","100","comfortable","<p style=""font-weight: bold;"">Do you feel comfortable with the Ganzfeld setup?</p>","50","","","","","","","",""
"","","","","","html-button-response","5","262229","0.0-3.0-2.0","2025-06-05T16:52:51.361Z","4_0000p6","45710","0","restIntro","<p>Next we would like you to rest in a reclining chair for 3 minutes. Press Continue when you are ready, then make yourself comfortable in the chair, and rest until you hear a beep signaling the end of the three minute interval. Afterwards you can return to this program to proceed.</p>","","","","","","","","",""
"","","","","","html-keyboard-response","6","444747","0.0-3.0-3.0","2025-06-05T16:52:51.361Z","4_0000p6","null","null","rest","","","","","","","","","",""
"","","","","","call-function","7","444748","0.0-3.0-4.0-0.0","2025-06-05T16:52:51.361Z","4_0000p6","","","","","","","","","","","","",""
"","","","","","survey","8","539145","0.0-3.0-4.0-1.0","2025-06-05T16:52:51.361Z","4_0000p6","94312","{""PCIRest1"":4,""PCIRest2"":6,""PCIRest3"":0,""PCIRest4"":6,""PCIRest5"":5,""PCIRest6"":4,""PCIRest7"":0,""PCIRest8"":1,""PCIRest9"":1,""PCIRest10"":2,""PCIRest11"":4,""PCIRest12"":4,""PCIRest13"":4,""PCIIntro"":null}","PCIRest","","","","","","","","","",""
"","","","","","call-function","9","539147","0.0-3.0-4.0-2.0","2025-06-05T16:52:51.361Z","4_0000p6","","","","","","","","","","","","",""
"","","","","","instructions","10","578030","0.0-3.0-5.0","2025-06-05T16:52:51.361Z","4_0000p6","38881","","instructions1","","","","[{""page_index"":0,""viewing_time"":38881}]","","","","","",""
"","","","","","html-button-response","11","787271","0.0-3.0-6.0","2025-06-05T16:52:51.361Z","4_0000p6","209238","0","GanzfeldIntro","<p>Please tell the experimenter to assist you with the Ganzfeld equipment. The experimenter will click ""Continue"" when you are ready to begin.</p>
            <p>The audio level for the ganzfeld can be adjusted while playing the audio sample below.</p>
            <audio controls>
                <source src=""../audio/pinknoise_7min_128.mp3"" type=""audio/mpeg"">
                Your browser does not support the audio element.
            </audio>","","","","","","","","",""
"","","","","","audio-keyboard-response","12","2977481","0.0-3.0-7.0","2025-06-05T16:52:51.361Z","4_0000p6","null","null","GanzfeldPlay","../audio/English_Ganzfeld_Induction_v4.mp3","","","","","","","","",""
"","","","","","call-function","13","2977484","0.0-3.0-8.0-0.0","2025-06-05T16:52:51.361Z","4_0000p6","","","","","","","","","","","","",""
