"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part","stimulus","slider_start","value","view_history","rndSet","rndV1","rndV2","videoA","videoB","videoStimulus"
"true","false","[]","[]","[]","preload","0","13317","0.0-0.0","2025-06-06T09:07:09.267Z","2_cwbtpo","","","","","","","","","","","","",""
"","","","","","survey","1","19359","0.0-1.0","2025-06-06T09:07:09.267Z","2_cwbtpo","6005","{""testrun"":""Experiment""}","testrun","","","","","","","","","",""
"","","","","","survey-text","2","53862","0.0-2.0","2025-06-06T09:07:09.267Z","2_cwbtpo","34450","{""subject_id"":""2_cwbtpo""}","welcome","","","","","","","","","",""
"","","","","","html-slider-response","3","73700","0.0-3.0-0.0","2025-06-06T09:07:09.267Z","2_cwbtpo","19835","34","successBelief","<p>Before we begin, we would like to ask you about your attitude to the experiment.</p>
            <p style=""font-weight: bold;"">How likely do you think it is that you personally will succeed in your precognitive test today?</p>","50","","","","","","","",""
"","","","","","html-slider-response","4","82170","0.0-3.0-1.0","2025-06-06T09:07:09.267Z","2_cwbtpo","8467","73","comfortable","<p style=""font-weight: bold;"">Do you feel comfortable with the Ganzfeld setup?</p>","50","","","","","","","",""
"","","","","","html-button-response","5","97947","0.0-3.0-2.0","2025-06-06T09:07:09.267Z","2_cwbtpo","15775","0","restIntro","<p>Next we would like you to rest in a reclining chair for 3 minutes. Press Continue when you are ready, then make yourself comfortable in the chair, and rest until you hear a beep signaling the end of the three minute interval. Afterwards you can return to this program to proceed.</p>","","","","","","","","",""
"","","","","","html-keyboard-response","6","280463","0.0-3.0-3.0","2025-06-06T09:07:09.267Z","2_cwbtpo","null","null","rest","","","","","","","","","",""
"","","","","","call-function","7","280465","0.0-3.0-4.0-0.0","2025-06-06T09:07:09.267Z","2_cwbtpo","","","","","","","","","","","","",""
"","","","","","survey","8","432190","0.0-3.0-4.0-1.0","2025-06-06T09:07:09.267Z","2_cwbtpo","151625","{""PCIRest1"":5,""PCIRest2"":1,""PCIRest3"":6,""PCIRest4"":4,""PCIRest5"":1,""PCIRest6"":6,""PCIRest7"":6,""PCIRest8"":1,""PCIRest9"":2,""PCIRest10"":5,""PCIRest11"":1,""PCIRest12"":1,""PCIRest13"":1,""PCIIntro"":null}","PCIRest","","","","","","","","","",""
"","","","","","call-function","9","432193","0.0-3.0-4.0-2.0","2025-06-06T09:07:09.267Z","2_cwbtpo","","","","","","","","","","","","",""
"","","","","","instructions","10","532321","0.0-3.0-5.0","2025-06-06T09:07:09.267Z","2_cwbtpo","100125","","instructions1","","","","[{""page_index"":0,""viewing_time"":100125}]","","","","","",""
"","","","","","html-button-response","11","561982","0.0-3.0-6.0","2025-06-06T09:07:09.267Z","2_cwbtpo","29633","0","GanzfeldIntro","<p>Please tell the experimenter to assist you with the Ganzfeld equipment. The experimenter will click ""Continue"" when you are ready to begin.</p>
            <p>The audio level for the ganzfeld can be adjusted while playing the audio sample below.</p>
            <audio controls>
                <source src=""../audio/pinknoise_7min_128.mp3"" type=""audio/mpeg"">
                Your browser does not support the audio element.
            </audio>","","","","","","","","",""
"","","","","","audio-keyboard-response","12","2752161","0.0-3.0-7.0","2025-06-06T09:07:09.267Z","2_cwbtpo","null","null","GanzfeldPlay","../audio/English_Ganzfeld_Induction_v4.mp3","","","","","","","","",""
"","","","","","call-function","13","2752164","0.0-3.0-8.0-0.0","2025-06-06T09:07:09.267Z","2_cwbtpo","","","","","","","","","","","","",""
"","","","","","survey","14","3020164","0.0-3.0-8.0-1.0","2025-06-06T09:07:09.267Z","2_cwbtpo","267867","{""PCIGanz1"":2,""PCIGanz2"":4,""PCIGanz3"":1,""PCIGanz4"":4,""PCIGanz5"":4,""PCIGanz6"":3,""PCIGanz7"":1,""PCIGanz8"":2,""PCIGanz9"":2,""PCIGanz10"":1,""PCIGanz11"":4,""PCIGanz12"":2,""PCIGanz13"":5,""PCIIntro"":null}","PCIGanzfeld","","","","","","","","","",""
"","","","","","call-function","15","3020166","0.0-3.0-8.0-2.0","2025-06-06T09:07:09.267Z","2_cwbtpo","","","","","","","","","","","","",""
"","","","","","survey","16","3065742","0.0-3.0-9.0","2025-06-06T09:07:09.267Z","2_cwbtpo","45551","{""DSSQ"":{""DSSQ01"":3,""DSSQ02"":3,""DSSQ03"":1,""DSSQ04"":1,""DSSQ05"":2,""DSSQ06"":3,""DSSQ07"":1,""DSSQ08"":1},""DSSQIntro"":null}","DSSQ","","","","","","","","","",""
"","","","","","html-slider-response","17","3076364","0.0-3.0-10.0","2025-06-06T09:07:09.267Z","2_cwbtpo","10618","72","time1","<p><i>Please answer the following two questions about your experiences during the 30 minutes of Ganzfeld.</i></p>
            <p>1. How often did you think about time <b>during the task</b>?</p>","50","","","","","","","",""
"","","","","","html-slider-response","18","3091029","0.0-3.0-11.0","2025-06-06T09:07:09.267Z","2_cwbtpo","14662","75","time2","<p><i>Please answer the following two questions about your experiences during the 30 minutes of Ganzfeld.</i></p>
            <p>2. How fast did time pass for you <b>during the task</b>?</p>","50","","","","","","","",""
"","","","","","instructions","19","3469258","0.0-4.0","2025-06-06T09:07:09.267Z","2_cwbtpo","378227","","instructions2","","","","[{""page_index"":0,""viewing_time"":378227}]","","","","","",""
"","","","","","html-button-response","20","3476004","0.0-5.0","2025-06-06T09:07:09.267Z","2_cwbtpo","6742","0","videoIntro","<p>Now we would like you to watch two short videos and rate how similar they are to your Ganzfeld experience.</p><p>Please click ""Continue"" when you are ready.</p>","","","","12","3","0","../video/20 D The Sorcerer’s Apprentice.mp4","../video/20 A Saloon Tension.mp4",""
"true","false","[]","[]","[]","preload","21","3478061","0.0-6.0","2025-06-06T09:07:09.267Z","2_cwbtpo","","","","","","","","","","","","",""
"","","","","","survey-html-form","22","3942663","0.0-7.0-0.0","2025-06-06T09:07:09.267Z","2_cwbtpo","464584","{""ClipA"":""15"",""ClipB"":""40""}","videoRating","","","","","","","","","",""
"","","","","","html-button-response","23","3945277","0.0-8.0","2025-06-06T09:07:09.267Z","2_cwbtpo","2609","0","videoTargetIntro","<p>We will now select the target video.</p><p>Please watch the selected video a second time.</p>","","","","","","","","","[""../video/20 A Saloon Tension.mp4""]"
"","","","","","video-keyboard-response","24","4008395","0.0-9.0","2025-06-06T09:07:09.267Z","2_cwbtpo","null","null","videoTarget","[""../video/20 A Saloon Tension.mp4""]","","","","","","","","",""
