"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part","stimulus","slider_start","value","view_history"
"true","false","[]","[]","[]","preload","0","18590","0.0-0.0","2025-06-06T19:35:17.180Z","6_gh456b","","","","","","",""
"","","","","","survey","1","34755","0.0-1.0","2025-06-06T19:35:17.180Z","6_gh456b","16111","{""testrun"":""Pilot (Testlauf)""}","testrun","","","",""
"","","","","","survey-text","2","48570","0.0-2.0","2025-06-06T19:35:17.180Z","6_gh456b","13684","{""subject_id"":""6_gh456b""}","welcome","","","",""
"","","","","","html-slider-response","3","51238","0.0-3.0-0.0","2025-06-06T19:35:17.180Z","6_gh456b","2664","70","successBelief","<p>Bevor wir beginnen, möchten wir Sie nach Ihrer Einstellung zum Experiment fragen.</p>
            <p style=""font-weight: bold;"">Wie wahrscheinlich halten Sie es, dass Sie persönlich bei Ihrem heutigen präkognitiven Test erfolgreich sein werden?</p>","50","",""
"","","","","","html-slider-response","4","52671","0.0-3.0-1.0","2025-06-06T19:35:17.180Z","6_gh456b","1431","59","comfortable","<p style=""font-weight: bold;"">Fühlen Sie sich wohl mit dem Ganzfeld-Setup?</p>","50","",""
"","","","","","html-button-response","5","75487","0.0-3.0-2.0","2025-06-06T19:35:17.180Z","6_gh456b","22811","0","restIntro","<p>Als nächstes möchten wir Sie bitten, sich für 3 Minuten auf einen bequemen Stuhl zu setzen. Drücken Sie auf ""Weiter"", wenn Sie bereit sind, machen Sie es sich dann im Stuhl bequem und ruhen Sie sich aus, bis Sie ein Signalton am Ende des dreiminütigen Intervalls hören. Danach können Sie zu diesem Programm zurückkehren, um fortzufahren.</p>","","",""
"","","","","","html-keyboard-response","6","92426","0.0-3.0-3.0","2025-06-06T19:35:17.180Z","6_gh456b","16934","s","rest","","","",""
"","","","","","call-function","7","92428","0.0-3.0-4.0-0.0","2025-06-06T19:35:17.180Z","6_gh456b","","","","","","",""
"","","","","","survey","8","109085","0.0-3.0-4.0-1.0","2025-06-06T19:35:17.180Z","6_gh456b","16510","{""PCIRest1"":3,""PCIRest2"":3,""PCIRest4"":3,""PCIRest3"":3,""PCIRest5"":3,""PCIRest6"":3,""PCIRest7"":3,""PCIRest8"":3,""PCIRest9"":3,""PCIRest10"":3,""PCIRest11"":3,""PCIRest12"":3,""PCIRest13"":3,""PCIIntro"":null}","PCIRest","","","",""
"","","","","","call-function","9","109088","0.0-3.0-4.0-2.0","2025-06-06T19:35:17.180Z","6_gh456b","","","","","","",""
"","","","","","instructions","10","222816","0.0-3.0-5.0","2025-06-06T19:35:17.180Z","6_gh456b","113722","","instructions1","","","","[{""page_index"":0,""viewing_time"":113721}]"
"","","","","","html-button-response","11","255257","0.0-3.0-6.0","2025-06-06T19:35:17.180Z","6_gh456b","32378","0","GanzfeldIntro","<p>Bitte sagen Sie dem Versuchsleiter, dass er Ihnen bei der Ganzfeld-Ausrüstung behilflich sein soll. Der Versuchsleiter wird auf ""Weiter"" klicken, wenn Sie bereit sind, um zu beginnen.</p>
            <p>Der Audiopegel für das Ganzfeld kann während der Wiedergabe der unten stehenden Audiodatei angepasst werden.</p>
            <audio controls>
                <source src=""../audio/pinknoise_7min_128.mp3"" type=""audio/mpeg"">
                Your browser does not support the audio element.
            </audio>","","",""
"","","","","","audio-keyboard-response","12","585625","0.0-3.0-7.0","2025-06-06T19:35:17.180Z","6_gh456b","330347","s","GanzfeldPlay","../audio/German_Ganzfeld_Induction_v4.mp3","","",""
"","","","","","call-function","13","585629","0.0-3.0-8.0-0.0","2025-06-06T19:35:17.180Z","6_gh456b","","","","","","",""
