"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part","stimulus","slider_start","value","view_history"
"true","false","[]","[]","[]","preload","0","18775","0.0-0.0","2025-06-10T08:48:00.516Z","6_63w3ny","","","","","","",""
"","","","","","survey","1","34673","0.0-1.0","2025-06-10T08:48:00.516Z","6_63w3ny","15833","{""testrun"":""Experiment""}","testrun","","","",""
"","","","","","survey-text","2","185508","0.0-2.0","2025-06-10T08:48:00.516Z","6_63w3ny","150713","{""subject_id"":""6_63w3ny""}","welcome","","","",""
"","","","","","html-slider-response","3","226842","0.0-3.0-0.0","2025-06-10T08:48:00.516Z","6_63w3ny","41329","50","successBelief","<p>Bevor wir beginnen, möchten wir Sie nach Ihrer Einstellung zum Experiment fragen.</p>
            <p style=""font-weight: bold;"">Wie wahrscheinlich halten Sie es, dass Sie persönlich bei Ihrem heutigen präkognitiven Test erfolgreich sein werden?</p>","50","",""
"","","","","","html-slider-response","4","233939","0.0-3.0-1.0","2025-06-10T08:48:00.516Z","6_63w3ny","7091","83","comfortable","<p style=""font-weight: bold;"">Fühlen Sie sich wohl mit dem Ganzfeld-Setup?</p>","50","",""
"","","","","","html-button-response","5","579074","0.0-3.0-2.0","2025-06-10T08:48:00.516Z","6_63w3ny","345132","0","restIntro","<p>Als nächstes möchten wir Sie bitten, sich für 3 Minuten auf einen bequemen Stuhl zu setzen. Drücken Sie auf ""Weiter"", wenn Sie bereit sind, machen Sie es sich dann im Stuhl bequem und ruhen Sie sich aus, bis Sie ein Signalton am Ende des dreiminütigen Intervalls hören. Danach können Sie zu diesem Programm zurückkehren, um fortzufahren.</p>","","",""
"","","","","","html-keyboard-response","6","582579","0.0-3.0-3.0","2025-06-10T08:48:00.516Z","6_63w3ny","3499","s","rest","","","",""
"","","","","","call-function","7","582581","0.0-3.0-4.0-0.0","2025-06-10T08:48:00.516Z","6_63w3ny","","","","","","",""
"","","","","","survey","8","824395","0.0-3.0-4.0-1.0","2025-06-10T08:48:00.516Z","6_63w3ny","241671","{""PCIRest1"":6,""PCIRest2"":4,""PCIRest3"":5,""PCIRest4"":5,""PCIRest5"":0,""PCIRest6"":5,""PCIRest7"":6,""PCIRest8"":0,""PCIRest9"":1,""PCIRest10"":6,""PCIRest11"":0,""PCIRest12"":1,""PCIRest13"":0,""PCIIntro"":null}","PCIRest","","","",""
"","","","","","call-function","9","824398","0.0-3.0-4.0-2.0","2025-06-10T08:48:00.516Z","6_63w3ny","","","","","","",""
"","","","","","instructions","10","997305","0.0-3.0-5.0","2025-06-10T08:48:00.516Z","6_63w3ny","172901","","instructions1","","","","[{""page_index"":0,""viewing_time"":172900}]"
"","","","","","html-button-response","11","1010470","0.0-3.0-6.0","2025-06-10T08:48:00.516Z","6_63w3ny","13103","0","GanzfeldIntro","<p>Bitte sagen Sie dem Versuchsleiter, dass er Ihnen bei der Ganzfeld-Ausrüstung behilflich sein soll. Der Versuchsleiter wird auf ""Weiter"" klicken, wenn Sie bereit sind, um zu beginnen.</p>
            <p>Der Audiopegel für das Ganzfeld kann während der Wiedergabe der unten stehenden Audiodatei angepasst werden.</p>
            <audio controls>
                <source src=""../audio/pinknoise_7min_128.mp3"" type=""audio/mpeg"">
                Your browser does not support the audio element.
            </audio>","","",""
"","","","","","audio-keyboard-response","12","1014419","0.0-3.0-7.0","2025-06-10T08:48:00.516Z","6_63w3ny","3939","s","GanzfeldPlay","../audio/German_Ganzfeld_Induction_v4.mp3","","",""
"","","","","","call-function","13","1014421","0.0-3.0-8.0-0.0","2025-06-10T08:48:00.516Z","6_63w3ny","","","","","","",""
