"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","time","subject","rt","response","test_part","stimulus","slider_start","value","view_history","rndSet","rndV1","rndV2","videoA","videoB","videoStimulus"
"true","false","[]","[]","[]","preload","0","40460","0.0-0.0","2025-07-15T00:36:16.340Z","3_n89e47","","","","","","","","","","","","",""
"","","","","","survey","1","72001851","0.0-1.0","2025-07-15T00:36:16.340Z","3_n89e47","71973372","{""testrun"":""Experiment""}","testrun","","","","","","","","","",""
"","","","","","survey-text","2","75019524","0.0-2.0","2025-07-15T00:36:16.340Z","3_n89e47","3031362","{""subject_id"":""3_n89e47""}","welcome","","","","","","","","","",""
"","","","","","html-slider-response","3","75061936","0.0-3.0-0.0","2025-07-15T00:36:16.340Z","3_n89e47","42402","15","successBelief","<p>Before we begin, we would like to ask you about your attitude to the experiment.</p>
            <p style=""font-weight: bold;"">How likely do you think it is that you personally will succeed in your precognitive test today?</p>","50","","","","","","","",""
"","","","","","html-slider-response","4","75067138","0.0-3.0-1.0","2025-07-15T00:36:16.340Z","3_n89e47","5197","78","comfortable","<p style=""font-weight: bold;"">Do you feel comfortable with the Ganzfeld setup?</p>","50","","","","","","","",""
"","","","","","html-button-response","5","75078361","0.0-3.0-2.0","2025-07-15T00:36:16.340Z","3_n89e47","11217","0","restIntro","<p>Next we would like you to rest in a reclining chair for 3 minutes. Press Continue when you are ready, then make yourself comfortable in the chair, and rest until you hear a beep signaling the end of the three minute interval. Afterwards you can return to this program to proceed.</p>","","","","","","","","",""
"","","","","","html-keyboard-response","6","75260982","0.0-3.0-3.0","2025-07-15T00:36:16.340Z","3_n89e47","null","null","rest","","","","","","","","","",""
"","","","","","call-function","7","75260986","0.0-3.0-4.0-0.0","2025-07-15T00:36:16.340Z","3_n89e47","","","","","","","","","","","","",""
"","","","","","survey","8","75343489","0.0-3.0-4.0-1.0","2025-07-15T00:36:16.340Z","3_n89e47","82377","{""PCIRest1"":5,""PCIRest2"":1,""PCIRest3"":5,""PCIRest4"":4,""PCIRest5"":2,""PCIRest6"":5,""PCIRest7"":3,""PCIRest8"":1,""PCIRest9"":2,""PCIRest10"":2,""PCIRest11"":3,""PCIRest12"":3,""PCIRest13"":1,""PCIIntro"":null}","PCIRest","","","","","","","","","",""
"","","","","","call-function","9","75343490","0.0-3.0-4.0-2.0","2025-07-15T00:36:16.340Z","3_n89e47","","","","","","","","","","","","",""
"","","","","","instructions","10","75387693","0.0-3.0-5.0","2025-07-15T00:36:16.340Z","3_n89e47","44201","","instructions1","","","","[{""page_index"":0,""viewing_time"":44200}]","","","","","",""
"","","","","","html-button-response","11","75519451","0.0-3.0-6.0","2025-07-15T00:36:16.340Z","3_n89e47","131749","0","GanzfeldIntro","<p>Please tell the experimenter to assist you with the Ganzfeld equipment. The experimenter will click ""Continue"" when you are ready to begin.</p>
            <p>The audio level for the ganzfeld can be adjusted while playing the audio sample below.</p>
            <audio controls>
                <source src=""../audio/pinknoise_7min_128.mp3"" type=""audio/mpeg"">
                Your browser does not support the audio element.
            </audio>","","","","","","","","",""
"","","","","","audio-keyboard-response","12","77709573","0.0-3.0-7.0","2025-07-15T00:36:16.340Z","3_n89e47","null","null","GanzfeldPlay","../audio/English_Ganzfeld_Induction_v4.mp3","","","","","","","","",""
"","","","","","call-function","13","77709574","0.0-3.0-8.0-0.0","2025-07-15T00:36:16.340Z","3_n89e47","","","","","","","","","","","","",""
"","","","","","survey","14","77894294","0.0-3.0-8.0-1.0","2025-07-15T00:36:16.340Z","3_n89e47","184629","{""PCIGanz1"":5,""PCIGanz2"":4,""PCIGanz3"":2,""PCIGanz4"":5,""PCIGanz5"":4,""PCIGanz6"":3,""PCIGanz7"":1,""PCIGanz8"":2,""PCIGanz9"":2,""PCIGanz10"":2,""PCIGanz11"":4,""PCIGanz12"":4,""PCIGanz13"":4,""PCIIntro"":null}","PCIGanzfeld","","","","","","","","","",""
"","","","","","call-function","15","77894340","0.0-3.0-8.0-2.0","2025-07-15T00:36:16.340Z","3_n89e47","","","","","","","","","","","","",""
